@relation Aaron_Brooks
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,0,665,1610612766,1610612745,0,1,1,0,2,3,0
5,8,5,1377,1610612742,1610612745,1,2,0,0,1,0,13
1,4,0,1234,1610612762,1610612745,1,0,0,0,2,1,2
0,5,4,1051,1610612746,1610612745,0,0,1,1,0,2,9
1,1,0,61,1610612757,1610612745,0,0,0,0,0,0,0
0,0,0,6,1610612761,1610612745,0,0,0,0,0,0,0
1,1,0,263,1610612755,1610612745,0,0,0,0,0,1,0
0,0,0,2,1610612752,1610612745,0,0,0,0,0,0,0
0,0,0,60,1610612743,1610612745,0,0,0,0,0,0,0
0,4,0,551,1610612738,1610612745,0,0,0,0,1,3,4
7,14,0,1476,1610612750,1610612745,1,5,2,0,4,0,26
4,6,0,971,1610612763,1610612745,2,1,1,0,1,3,3
6,12,3,1649,1610612737,1610612745,0,4,2,0,3,4,21
5,8,1,1695,1610612751,1610612745,1,7,3,1,1,3,14
3,8,2,952,1610612759,1610612745,0,4,3,0,4,3,3
3,12,2,1441,1610612762,1610612745,0,2,0,0,1,1,13
5,18,0,2007,1610612756,1610612745,2,6,3,0,2,3,17
5,7,0,1023,1610612744,1610612745,1,2,1,0,1,1,8
2,4,0,797,1610612753,1610612745,0,1,0,0,3,1,2
4,8,4,1639,1610612758,1610612745,0,2,1,0,3,1,13
1,6,0,1058,1610612741,1610612745,1,4,1,0,0,3,2
1,7,2,1079,1610612754,1610612745,1,1,1,0,2,2,1
4,10,1,2066,1610612765,1610612745,0,7,0,0,1,4,10
7,13,0,1633,1610612742,1610612745,1,5,0,1,2,4,18
3,5,0,848,1610612759,1610612745,1,0,0,0,0,2,6
3,7,0,892,1610612763,1610612745,1,2,0,0,0,1,6
5,8,2,1209,1610612740,1610612745,1,1,0,0,1,2,9
7,14,2,1406,1610612760,1610612745,0,2,1,1,0,1,17
3,5,2,878,1610612758,1610612745,2,3,0,0,0,3,4
5,8,2,1172,1610612752,1610612745,1,1,0,0,2,4,5
5,6,0,903,1610612747,1610612745,1,1,0,0,2,1,9
5,9,2,1627,1610612737,1610612745,1,1,0,0,2,5,13
4,5,0,891,1610612764,1610612745,0,1,0,0,1,0,3
1,2,2,907,1610612738,1610612745,0,3,0,0,0,1,2
7,8,2,1432,1610612760,1610612745,2,3,1,0,2,3,11
4,6,2,1515,1610612749,1610612745,0,4,1,0,1,2,10
0,0,0,31,1610612757,1610612745,0,0,0,0,0,0,0
1,1,0,283,1610612758,1610612745,0,0,0,0,0,0,0
3,4,0,591,1610612763,1610612745,0,2,0,0,1,0,6
5,9,0,1339,1610612759,1610612745,1,1,0,1,2,2,8
5,7,4,1348,1610612742,1610612745,0,4,2,0,1,2,11
0,2,0,640,1610612764,1610612745,0,0,0,1,1,2,0
1,1,0,304,1610612747,1610612745,0,0,0,0,1,2,0
2,11,2,1669,1610612741,1610612743,0,1,0,1,1,2,17
5,12,2,1915,1610612758,1610612743,2,8,2,0,5,4,9
2,15,0,1794,1610612757,1610612743,2,6,0,0,2,2,14
5,8,2,2158,1610612751,1610612743,0,3,1,1,4,5,13
3,11,0,1523,1610612757,1610612743,0,2,0,0,0,3,6
5,9,0,1057,1610612750,1610612743,0,2,0,0,2,2,8
2,6,0,1022,1610612742,1610612743,0,4,4,0,0,1,4
3,8,0,1157,1610612747,1610612743,0,2,0,0,2,1,7
4,9,5,1346,1610612740,1610612743,2,4,1,0,0,1,15
4,11,5,1448,1610612766,1610612743,1,0,0,0,2,3,16
3,8,2,1229,1610612753,1610612743,0,7,1,0,3,2,9
4,5,0,906,1610612748,1610612743,0,5,0,0,1,2,9
4,9,0,1534,1610612737,1610612743,0,7,2,2,1,1,7
1,5,1,1036,1610612746,1610612743,0,5,2,0,3,4,3
5,19,7,2796,1610612765,1610612743,3,17,0,0,3,4,27
3,7,0,1269,1610612742,1610612743,1,2,0,0,1,1,6
4,13,4,1483,1610612764,1610612743,1,7,1,0,1,2,13
3,8,4,1659,1610612760,1610612743,0,3,0,0,5,2,5
6,18,3,1859,1610612759,1610612743,2,8,0,0,0,4,25
2,5,4,1775,1610612759,1610612743,0,3,1,0,1,2,8
4,8,0,1766,1610612763,1610612743,0,6,1,0,2,1,10
