@relation Alexey_Shved
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
1,5,0,950,1610612753,1610612750,1,2,0,0,2,0,2
2,3,6,1050,1610612760,1610612750,0,0,0,0,1,1,7
2,2,0,310,1610612752,1610612750,0,0,1,0,1,0,3
1,3,3,508,1610612739,1610612750,0,1,0,0,1,0,2
0,2,0,263,1610612744,1610612750,0,0,0,0,0,0,0
1,1,2,446,1610612742,1610612750,0,1,1,1,0,1,1
0,1,2,456,1610612747,1610612750,2,0,1,0,1,0,3
2,3,0,668,1610612746,1610612750,0,0,0,0,0,2,0
3,4,2,720,1610612739,1610612750,0,0,0,1,0,0,5
0,2,0,393,1610612738,1610612750,0,0,0,0,0,0,0
1,1,0,370,1610612764,1610612750,0,1,0,2,0,0,0
1,2,0,468,1610612746,1610612750,0,1,1,0,1,0,0
4,6,0,796,1610612751,1610612750,1,2,0,0,1,1,5
2,6,1,484,1610612745,1610612750,1,1,0,0,0,0,7
0,1,0,206,1610612743,1610612750,0,0,0,0,0,0,0
0,0,0,81,1610612760,1610612750,0,0,0,0,0,0,0
0,1,0,237,1610612759,1610612750,0,0,0,0,0,1,0
2,3,2,513,1610612748,1610612750,0,2,0,0,2,0,1
1,3,2,1067,1610612765,1610612750,0,3,1,0,2,2,2
0,2,0,514,1610612755,1610612750,0,1,1,1,1,1,0
1,3,2,556,1610612759,1610612750,1,1,0,0,0,2,7
2,4,1,767,1610612763,1610612750,0,0,0,0,0,1,6
6,9,4,1560,1610612738,1610612750,1,2,0,0,0,1,10
0,3,0,370,1610612757,1610612750,1,3,1,0,0,1,4
4,7,0,900,1610612747,1610612750,1,2,1,1,1,1,3
1,2,0,368,1610612746,1610612750,0,0,0,0,0,0,0
2,7,6,1384,1610612764,1610612750,2,1,0,1,1,1,13
5,8,0,1195,1610612749,1610612750,1,2,1,1,0,0,5
1,3,0,374,1610612742,1610612750,0,0,0,1,2,0,0
4,4,4,992,1610612740,1610612750,0,2,1,1,1,3,10
0,2,0,513,1610612760,1610612750,0,1,1,0,0,2,0
3,12,1,1353,1610612755,1610612750,1,4,3,1,0,1,10
1,6,2,837,1610612756,1610612750,1,1,0,1,0,0,7
3,8,4,1209,1610612766,1610612750,1,0,1,0,1,1,11
4,7,0,1357,1610612759,1610612750,1,1,2,0,2,0,11
4,10,5,1465,1610612758,1610612750,0,4,3,0,1,1,13
0,0,2,275,1610612761,1610612750,0,0,0,0,0,0,2
2,5,6,822,1610612762,1610612750,0,2,0,0,1,0,10
0,1,0,111,1610612762,1610612750,0,0,0,0,0,0,0
0,5,5,846,1610612744,1610612750,0,0,1,0,0,1,7
1,3,3,333,1610612757,1610612750,0,1,0,0,1,0,5
0,3,1,516,1610612741,1610612750,0,1,1,2,1,0,3
1,3,0,348,1610612763,1610612750,0,0,0,0,0,0,2
4,9,4,1360,1610612737,1610612750,2,1,1,0,1,2,9
3,7,4,1029,1610612760,1610612750,0,1,0,0,2,0,8
0,2,0,382,1610612757,1610612750,0,0,0,0,1,2,0
5,10,1,1169,1610612745,1610612750,0,1,1,1,3,1,11
1,1,0,410,1610612743,1610612750,0,0,0,0,0,1,0
2,5,2,858,1610612754,1610612750,0,1,0,0,2,0,6
0,1,0,217,1610612757,1610612750,0,1,0,0,0,1,0
0,1,0,287,1610612756,1610612750,1,0,1,0,0,0,0
1,1,0,60,1610612752,1610612750,0,0,0,0,0,0,0
0,0,0,176,1610612761,1610612750,1,1,0,0,0,0,0
0,0,0,88,1610612749,1610612750,0,0,0,0,0,0,0
1,1,0,123,1610612766,1610612750,0,0,0,0,1,0,0
3,4,0,525,1610612745,1610612750,0,1,0,0,3,0,8
3,7,2,980,1610612763,1610612750,0,5,1,1,1,0,5
2,2,0,236,1610612737,1610612750,0,2,0,0,1,0,0
1,3,1,370,1610612747,1610612750,0,3,0,0,3,1,5
0,0,0,129,1610612751,1610612750,0,0,0,0,1,0,0
2,4,2,512,1610612753,1610612750,0,0,0,0,0,0,1
3,7,2,932,1610612741,1610612750,1,5,0,0,3,2,9
3,6,6,1050,1610612762,1610612750,0,3,0,0,1,1,11
6,11,6,1436,1610612754,1610612755,1,5,0,0,0,4,18
2,6,2,978,1610612749,1610612755,0,4,1,0,2,0,3
4,4,3,887,1610612748,1610612755,0,6,0,0,2,0,6
2,8,7,1231,1610612745,1610612755,0,1,1,0,3,2,12
4,9,4,1121,1610612753,1610612755,0,3,0,0,0,1,9
1,5,4,854,1610612741,1610612755,0,2,1,0,1,1,6
7,11,1,984,1610612761,1610612755,1,3,0,0,2,1,14
3,4,2,712,1610612759,1610612755,0,1,1,0,0,0,4
5,9,0,1078,1610612756,1610612755,0,5,2,0,2,1,15
4,7,2,463,1610612752,1610612755,0,2,0,0,0,0,3
1,4,2,610,1610612757,1610612755,0,2,1,0,0,0,8
4,9,8,1551,1610612742,1610612755,0,5,2,0,4,3,18
6,16,3,1663,1610612759,1610612755,2,4,2,0,0,3,19
3,8,6,984,1610612737,1610612755,0,2,1,0,0,1,13
2,5,0,658,1610612751,1610612755,1,0,0,0,0,1,0
1,6,4,1203,1610612763,1610612755,1,1,1,0,0,2,11
2,8,3,692,1610612738,1610612755,2,0,1,1,2,1,10
2,4,0,687,1610612757,1610612745,0,1,0,0,1,0,3
2,2,4,391,1610612763,1610612745,1,0,0,0,0,1,3
1,1,0,80,1610612762,1610612745,0,0,0,0,0,0,3
1,2,0,204,1610612751,1610612745,0,0,0,0,0,0,0
2,5,4,824,1610612753,1610612745,0,1,0,0,0,1,6
1,1,0,99,1610612760,1610612745,0,0,0,0,0,0,0
0,3,1,307,1610612744,1610612745,0,0,1,0,1,0,5
3,6,2,846,1610612744,1610612745,0,1,0,0,1,0,9
0,0,0,102,1610612747,1610612745,0,0,0,0,2,0,0
1,1,0,204,1610612739,1610612752,0,0,0,0,0,0,0
2,7,8,1162,1610612738,1610612752,1,1,0,0,0,1,11
2,12,2,1194,1610612765,1610612752,2,4,1,0,0,1,11
4,7,5,1198,1610612761,1610612752,0,5,2,0,3,1,15
4,11,9,1961,1610612758,1610612752,2,3,1,0,3,0,15
3,7,2,965,1610612754,1610612752,1,1,0,0,0,0,8
4,15,5,1624,1610612754,1610612752,3,3,0,0,1,2,15
6,12,6,1554,1610612743,1610612752,0,1,0,0,0,3,19
7,12,5,2481,1610612762,1610612752,0,7,1,2,2,5,21
5,13,4,2004,1610612747,1610612752,1,6,0,0,1,2,14
5,10,7,1283,1610612744,1610612752,1,5,3,1,4,1,14
6,15,8,1919,1610612756,1610612752,1,3,2,0,2,1,18
4,14,12,2171,1610612759,1610612752,1,7,3,0,1,3,21
7,21,6,2554,1610612750,1610612752,1,6,1,1,4,3,20
8,14,2,2095,1610612755,1610612752,0,3,1,1,2,1,25
2,10,1,1021,1610612761,1610612752,0,2,0,0,2,1,9
