@relation Avery_Bradley
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
3,13,0,1878,1610612761,1610612738,1,4,2,1,4,6,8
3,14,0,1955,1610612749,1610612738,0,2,1,0,4,6,8
2,14,0,2040,1610612765,1610612738,4,3,3,0,6,2,13
2,12,2,1949,1610612763,1610612738,0,3,1,0,1,3,14
2,8,2,1818,1610612762,1610612738,2,1,1,0,2,2,8
2,13,4,1733,1610612753,1610612738,3,1,3,1,2,1,14
1,14,0,1781,1610612748,1610612738,0,1,0,0,0,2,17
1,15,4,1743,1610612753,1610612738,0,0,3,0,3,3,24
2,8,0,1375,1610612766,1610612738,0,0,1,0,1,5,7
2,5,4,1240,1610612757,1610612738,1,0,1,0,1,1,6
4,23,2,2181,1610612750,1610612738,1,0,1,0,3,4,27
4,22,0,1639,1610612745,1610612738,3,0,2,0,3,1,11
2,18,0,2136,1610612759,1610612738,0,2,0,0,2,4,19
1,10,0,1870,1610612754,1610612738,0,2,1,0,3,2,6
1,13,2,2061,1610612737,1610612738,0,2,1,0,0,2,12
0,6,0,522,1610612766,1610612738,0,1,0,0,1,4,2
