@relation CJ_Miles
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
4,6,0,920,1610612751,1610612739,0,0,0,0,2,1,10
7,16,1,1765,1610612766,1610612739,0,1,3,0,1,3,22
5,9,4,1120,1610612754,1610612739,1,2,2,0,0,3,8
5,13,0,1114,1610612750,1610612739,2,1,2,2,1,1,19
10,11,0,1448,1610612749,1610612739,1,2,0,0,0,2,14
4,7,2,1095,1610612755,1610612739,0,3,0,0,2,2,13
5,8,0,1139,1610612755,1610612739,0,0,0,0,1,0,6
4,10,0,1137,1610612741,1610612739,0,0,1,3,1,3,9
1,4,1,419,1610612750,1610612739,0,0,0,0,0,0,3
4,13,0,1981,1610612766,1610612739,1,1,2,0,0,2,8
2,3,2,938,1610612764,1610612739,0,0,0,0,2,4,8
0,1,0,152,1610612764,1610612739,0,0,1,0,0,0,0
3,5,0,937,1610612741,1610612739,0,2,1,2,1,1,6
2,4,0,955,1610612743,1610612739,2,1,1,1,0,2,0
4,8,0,706,1610612737,1610612739,0,0,0,0,2,2,3
4,7,2,1160,1610612746,1610612739,0,2,1,0,2,2,5
5,8,0,1552,1610612752,1610612739,0,2,2,0,0,1,10
3,10,0,1191,1610612753,1610612739,0,2,0,0,0,3,10
4,4,2,782,1610612748,1610612739,0,1,0,0,2,4,5
1,8,0,1115,1610612757,1610612739,1,0,0,0,0,1,8
4,8,4,1779,1610612749,1610612739,0,3,0,1,2,3,15
2,5,2,1306,1610612741,1610612739,0,1,2,1,1,2,4
6,9,2,1222,1610612765,1610612739,0,0,2,0,3,3,6
3,7,0,824,1610612737,1610612739,0,0,1,0,2,1,10
1,5,0,644,1610612738,1610612739,0,0,0,1,0,2,0
6,12,3,1409,1610612744,1610612739,0,1,3,0,0,4,17
1,5,1,888,1610612754,1610612739,0,0,1,0,2,2,5
5,8,3,1678,1610612753,1610612739,0,1,0,1,0,4,14
8,19,8,1883,1610612751,1610612739,1,0,2,0,1,4,19
5,13,5,2204,1610612754,1610612739,3,3,3,0,3,1,21
14,18,3,1884,1610612755,1610612739,2,2,2,0,0,3,34
1,7,4,1420,1610612762,1610612739,0,0,1,0,0,1,17
3,8,1,1475,1610612758,1610612739,1,1,1,0,1,2,14
2,6,0,882,1610612747,1610612739,0,3,1,0,1,2,5
3,6,0,713,1610612757,1610612739,0,0,0,0,0,2,5
7,12,4,2280,1610612743,1610612739,1,2,0,1,0,4,19
5,7,2,1599,1610612742,1610612739,0,3,0,0,1,3,6
4,9,0,1229,1610612741,1610612739,1,1,1,0,1,0,8
2,6,2,915,1610612749,1610612739,1,3,1,0,0,3,4
7,11,0,1222,1610612756,1610612739,0,1,1,1,1,4,12
1,2,0,735,1610612740,1610612739,0,0,1,0,2,2,2
4,4,0,761,1610612752,1610612739,0,2,2,0,1,1,9
4,6,0,656,1610612745,1610612739,0,0,0,0,1,2,2
5,7,0,758,1610612742,1610612739,0,0,1,0,0,2,10
11,15,10,1763,1610612747,1610612739,0,3,0,0,0,2,27
3,11,2,1472,1610612764,1610612739,0,1,2,0,1,2,18
7,11,1,1428,1610612763,1610612739,0,0,1,1,2,2,14
2,6,0,530,1610612765,1610612739,0,0,0,0,0,0,5
6,6,2,805,1610612755,1610612739,0,0,0,0,1,0,10
2,5,2,942,1610612753,1610612739,0,1,1,0,0,3,4
0,0,0,117,1610612748,1610612739,0,0,0,0,0,0,0
