@relation Chris_Kaman
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,10,0,1180,1610612746,1610612747,4,0,1,2,1,1,10
0,9,2,1063,1610612744,1610612747,2,0,0,0,0,1,11
0,3,0,760,1610612759,1610612747,2,1,0,0,1,2,4
0,7,0,963,1610612737,1610612747,0,1,0,1,3,5,10
0,7,0,1032,1610612742,1610612747,2,0,0,1,3,2,10
0,5,0,1179,1610612745,1610612747,2,1,2,2,4,3,6
0,13,2,1411,1610612740,1610612747,0,2,0,2,2,3,16
0,10,0,1155,1610612750,1610612747,0,0,0,0,3,2,8
0,9,0,1284,1610612740,1610612747,2,6,1,0,3,3,8
0,9,2,1112,1610612743,1610612747,3,2,0,0,3,4,8
0,10,0,938,1610612763,1610612747,0,0,0,1,0,2,6
0,4,0,324,1610612765,1610612747,1,0,0,0,0,0,2
0,4,5,720,1610612760,1610612747,1,1,0,1,1,2,9
0,6,0,984,1610612750,1610612747,0,0,0,2,0,1,6
1,17,0,1699,1610612744,1610612747,2,1,0,3,2,3,10
0,2,2,799,1610612756,1610612747,0,1,0,0,1,0,1
0,11,6,1803,1610612762,1610612747,1,0,1,3,4,2,19
0,2,2,585,1610612755,1610612747,1,0,0,2,1,1,4
0,4,2,842,1610612745,1610612747,2,3,1,2,1,5,5
0,6,2,1164,1610612746,1610612747,1,0,0,0,4,3,6
1,6,0,703,1610612739,1610612747,1,1,0,0,1,2,6
0,7,6,960,1610612756,1610612747,0,2,0,0,2,1,18
0,3,0,389,1610612738,1610612747,1,0,0,0,3,1,4
0,6,6,1026,1610612750,1610612747,0,1,1,1,4,5,9
0,7,1,846,1610612739,1610612747,1,1,0,0,0,6,13
0,14,4,1513,1610612755,1610612747,3,3,1,3,2,3,17
1,23,4,1660,1610612741,1610612747,0,3,0,2,3,1,27
0,24,3,2204,1610612762,1610612747,4,4,1,3,3,3,25
0,13,7,2103,1610612760,1610612747,3,6,0,1,2,2,19
0,11,1,1325,1610612745,1610612747,0,2,0,1,1,3,9
0,9,2,1553,1610612738,1610612747,2,3,0,0,2,3,16
0,8,2,1127,1610612751,1610612747,2,0,0,0,2,1,8
0,6,0,868,1610612754,1610612747,0,0,0,2,1,2,6
0,2,0,228,1610612758,1610612747,0,0,0,1,1,2,0
0,10,3,1360,1610612752,1610612747,4,3,0,1,2,3,13
0,12,2,1287,1610612749,1610612747,1,2,0,0,3,2,13
0,2,0,337,1610612750,1610612747,0,0,1,0,0,1,2
0,19,2,1922,1610612756,1610612747,5,6,0,0,3,5,28
0,16,0,1744,1610612757,1610612747,1,2,1,3,2,2,12
0,10,0,1290,1610612760,1610612757,1,2,0,1,2,2,12
0,10,0,1249,1610612758,1610612757,1,0,0,2,0,3,12
0,5,0,1250,1610612744,1610612757,1,1,0,0,2,2,2
0,4,2,1043,1610612739,1610612757,1,0,0,1,3,2,5
0,6,1,1063,1610612742,1610612757,1,0,0,1,1,2,12
0,5,0,1108,1610612746,1610612757,3,0,0,0,3,2,8
0,9,5,1121,1610612743,1610612757,2,0,0,5,1,0,12
0,10,0,1076,1610612766,1610612757,3,2,0,2,1,3,12
0,8,5,1298,1610612743,1610612757,2,2,1,2,2,3,16
0,11,9,1098,1610612751,1610612757,1,0,0,0,1,2,12
0,10,1,1246,1610612740,1610612757,2,0,1,0,3,4,15
0,11,3,1003,1610612741,1610612757,0,0,0,2,1,3,10
0,13,4,1076,1610612738,1610612757,3,0,1,0,1,2,16
0,7,4,1127,1610612755,1610612757,2,1,0,0,1,2,8
0,12,2,1056,1610612766,1610612757,1,2,0,0,0,2,12
0,16,3,1487,1610612763,1610612757,5,0,0,2,2,6,16
0,7,6,1071,1610612750,1610612757,2,1,0,1,1,2,8
0,6,0,1013,1610612743,1610612757,0,0,0,1,2,2,4
0,6,2,1070,1610612754,1610612757,0,4,0,0,1,0,6
0,8,0,1027,1610612752,1610612757,2,1,0,0,1,2,8
0,10,0,1240,1610612765,1610612757,1,2,0,2,1,3,14
0,9,1,1064,1610612750,1610612757,2,2,0,4,5,1,8
0,4,0,1165,1610612741,1610612757,0,2,0,1,2,2,2
0,11,1,1072,1610612754,1610612757,2,1,0,0,2,3,10
0,6,4,1176,1610612759,1610612757,1,0,0,0,0,2,11
0,12,0,1076,1610612749,1610612757,1,0,0,0,0,2,6
0,5,2,1107,1610612759,1610612757,2,1,1,0,2,2,6
0,10,3,1337,1610612740,1610612757,1,0,1,0,2,3,16
0,7,2,926,1610612745,1610612757,2,1,1,0,3,0,9
0,8,0,1296,1610612760,1610612757,3,1,0,0,4,3,6
0,9,4,1188,1610612752,1610612757,3,2,0,1,0,1,13
0,9,2,995,1610612761,1610612757,3,1,0,1,1,2,10
0,4,0,899,1610612737,1610612757,0,3,0,0,3,1,2
0,8,2,1638,1610612747,1610612757,5,3,0,3,2,2,8
0,9,2,1279,1610612748,1610612757,4,0,0,2,1,4,10
0,8,0,1174,1610612753,1610612757,2,0,0,2,5,5,10
0,10,1,1921,1610612747,1610612757,3,3,2,0,0,2,9
0,11,1,1595,1610612746,1610612757,3,1,1,0,3,4,15
0,5,2,1466,1610612759,1610612757,2,2,0,2,1,3,6
0,9,0,1816,1610612763,1610612757,7,0,1,1,0,4,4
0,7,0,1141,1610612758,1610612757,1,1,0,1,1,3,4
0,9,2,1268,1610612756,1610612757,3,0,0,1,2,0,14
0,11,2,1719,1610612738,1610612757,3,1,0,0,2,1,13
0,9,0,1510,1610612764,1610612757,2,0,1,0,2,0,6
0,5,2,1693,1610612739,1610612757,2,1,0,1,0,3,7
0,8,0,1501,1610612737,1610612757,4,0,1,0,2,1,8
0,3,2,605,1610612749,1610612757,0,0,0,0,0,1,3
0,3,0,1284,1610612762,1610612757,1,2,0,1,0,2,0
0,6,0,932,1610612742,1610612757,2,0,0,1,2,1,4
0,2,0,811,1610612745,1610612757,1,1,0,1,1,2,4
0,7,2,1453,1610612763,1610612757,1,3,0,1,1,3,6
0,6,0,832,1610612760,1610612757,2,0,0,0,0,0,8
0,5,0,1081,1610612758,1610612757,0,1,0,0,0,1,6
0,6,0,960,1610612746,1610612757,1,0,0,0,2,1,8
0,7,2,985,1610612742,1610612757,1,1,1,0,3,1,6
0,5,2,1115,1610612750,1610612757,3,1,1,0,4,1,8
0,6,0,993,1610612745,1610612757,4,0,0,0,2,1,6
0,10,1,1092,1610612765,1610612757,2,1,0,0,1,1,14
0,4,0,1036,1610612761,1610612757,2,2,0,2,0,2,6
0,5,0,982,1610612762,1610612757,0,0,0,2,1,3,6
0,5,3,1060,1610612759,1610612757,3,0,0,0,1,3,11
0,8,2,771,1610612764,1610612757,2,0,0,0,1,1,12
0,4,1,543,1610612753,1610612757,2,0,0,0,1,1,8
0,8,0,1092,1610612756,1610612757,3,0,1,0,1,3,4
0,12,0,1031,1610612743,1610612757,4,2,0,2,3,2,14
0,7,0,985,1610612756,1610612757,1,0,0,1,1,0,12
0,6,2,1113,1610612746,1610612757,2,1,0,0,1,1,8
0,3,0,979,1610612747,1610612757,0,0,0,0,0,0,2
0,10,2,1286,1610612740,1610612757,6,1,2,0,0,0,16
0,4,0,976,1610612750,1610612757,3,1,1,1,2,2,6
0,6,1,582,1610612744,1610612757,1,1,0,0,1,0,4
0,0,0,258,1610612762,1610612757,0,0,0,0,1,1,0
0,9,0,946,1610612760,1610612757,1,1,0,0,2,3,14
0,6,1,855,1610612763,1610612757,3,2,0,0,2,2,7
0,2,0,1041,1610612763,1610612757,2,1,0,0,0,2,2
0,2,0,214,1610612763,1610612757,0,0,0,0,0,0,0
0,6,0,1421,1610612763,1610612757,1,3,0,0,3,3,8
0,7,0,1193,1610612759,1610612757,1,1,0,0,0,2,2
