@relation Chris_Singleton
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,0,65,1610612747,1610612764,0,0,0,0,0,0,0
2,3,0,482,1610612754,1610612764,0,0,0,1,0,0,3
1,4,2,997,1610612737,1610612764,1,0,2,0,2,2,4
2,7,2,1464,1610612753,1610612764,0,0,0,0,3,4,11
4,10,4,1998,1610612749,1610612764,6,2,3,0,2,3,7
1,5,1,1319,1610612743,1610612764,1,0,0,1,1,2,3
2,3,0,202,1610612746,1610612764,0,0,0,0,0,1,6
1,3,0,849,1610612750,1610612764,0,1,1,0,0,2,2
1,2,0,566,1610612765,1610612764,0,1,1,0,1,1,5
0,1,0,88,1610612761,1610612764,0,0,0,0,0,0,2
1,3,2,497,1610612744,1610612764,0,0,0,1,0,0,7
1,1,0,175,1610612754,1610612764,0,0,0,0,0,1,0
0,1,0,54,1610612748,1610612764,0,0,0,0,0,0,2
0,1,0,193,1610612755,1610612764,1,0,0,0,1,0,0
0,6,0,835,1610612753,1610612764,2,0,0,0,1,1,4
0,7,8,1503,1610612761,1610612764,4,2,1,0,0,3,13
2,5,4,1008,1610612755,1610612764,1,0,1,0,1,1,3
1,4,0,684,1610612763,1610612764,1,0,0,0,0,0,2
0,0,0,652,1610612762,1610612764,1,0,0,0,3,1,0
0,0,0,11,1610612749,1610612764,0,0,0,0,0,0,0
0,0,0,74,1610612758,1610612764,0,0,0,0,0,0,0
0,0,0,810,1610612757,1610612764,0,0,0,0,0,2,0
0,0,0,222,1610612738,1610612764,0,0,0,0,2,1,0
0,1,2,196,1610612741,1610612764,0,0,0,0,0,0,1
0,0,0,56,1610612749,1610612764,0,0,0,0,0,0,0
