@relation Corey_Brewer
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
4,11,3,2380,1610612753,1610612750,1,2,3,0,3,2,16
3,8,2,1257,1610612760,1610612750,1,1,0,0,0,2,9
2,8,6,1443,1610612752,1610612750,1,1,1,0,0,4,10
4,12,3,2256,1610612739,1610612750,1,1,6,0,3,4,13
2,14,3,1999,1610612744,1610612750,0,0,0,0,1,5,18
3,14,3,2249,1610612742,1610612750,1,4,0,0,2,3,17
3,9,6,2282,1610612747,1610612750,0,3,4,2,2,2,17
5,10,0,2141,1610612746,1610612750,1,2,1,0,4,4,9
5,17,3,1798,1610612739,1610612750,3,1,2,0,0,2,27
4,9,2,2174,1610612743,1610612750,1,0,1,0,3,4,11
1,8,0,1653,1610612738,1610612750,1,2,2,1,1,2,4
5,17,1,2080,1610612764,1610612750,3,0,4,0,1,3,16
6,12,8,2412,1610612746,1610612750,0,1,1,0,2,2,17
6,13,0,1674,1610612751,1610612750,1,1,1,1,1,2,15
4,14,7,2270,1610612745,1610612750,0,1,5,0,1,2,22
5,12,4,2409,1610612754,1610612750,0,1,1,1,6,3,9
5,9,3,2433,1610612743,1610612750,1,1,2,2,1,3,14
5,8,0,2012,1610612742,1610612750,0,3,1,0,1,0,13
6,14,0,2306,1610612760,1610612750,1,3,2,0,3,3,10
1,8,3,1711,1610612759,1610612750,0,2,4,0,2,1,14
6,10,6,1926,1610612748,1610612750,4,0,0,0,3,3,13
5,10,0,1692,1610612765,1610612750,0,4,1,0,1,1,11
3,13,0,2061,1610612755,1610612750,0,0,0,0,0,3,10
3,9,4,2149,1610612759,1610612750,0,2,1,2,0,2,9
4,8,2,2222,1610612763,1610612750,2,2,3,0,1,1,9
3,8,2,1311,1610612738,1610612750,0,0,0,0,2,1,4
2,6,2,1968,1610612757,1610612750,0,1,1,0,0,2,6
3,7,6,1653,1610612747,1610612750,1,3,1,0,3,2,5
3,5,0,1405,1610612746,1610612750,0,1,1,1,2,1,3
3,9,2,1441,1610612764,1610612750,0,2,1,0,0,1,10
2,9,2,1986,1610612749,1610612750,2,3,3,0,3,3,12
5,12,0,2035,1610612742,1610612750,0,1,1,1,1,4,16
1,4,0,1391,1610612740,1610612750,2,4,4,1,1,4,5
4,14,4,2404,1610612760,1610612750,0,3,3,0,1,6,15
3,8,3,1667,1610612755,1610612750,0,2,2,0,0,3,15
2,10,4,2229,1610612756,1610612750,1,0,1,1,1,1,15
0,3,0,1659,1610612766,1610612750,0,1,0,1,2,3,4
1,5,0,1389,1610612759,1610612750,1,1,2,0,0,2,2
1,8,5,2076,1610612758,1610612750,2,2,1,1,2,4,12
1,3,2,1154,1610612761,1610612750,0,1,0,0,1,4,4
0,3,0,1625,1610612762,1610612750,0,2,1,0,0,5,2
3,11,4,1980,1610612762,1610612750,0,2,1,2,0,3,19
5,11,0,2000,1610612744,1610612750,0,4,2,0,0,2,15
2,8,0,1455,1610612757,1610612750,1,1,2,2,2,4,11
2,8,0,2101,1610612741,1610612750,0,3,3,2,2,2,11
2,4,2,1520,1610612740,1610612750,0,2,1,0,1,2,3
1,7,2,2049,1610612763,1610612750,0,0,0,0,1,3,6
0,7,0,1902,1610612737,1610612750,1,5,1,0,3,4,10
3,10,2,1840,1610612747,1610612750,1,1,3,0,2,3,11
2,10,4,2471,1610612740,1610612750,0,0,2,0,2,0,16
1,23,6,2329,1610612757,1610612750,3,2,0,1,0,1,26
3,6,0,1104,1610612745,1610612750,0,1,2,0,1,4,5
