@relation D
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
3,7,1,795,1610612738,1610612761,0,2,0,0,1,1,5
1,5,0,745,1610612737,1610612761,0,4,0,0,0,1,4
3,4,2,832,1610612749,1610612761,0,1,1,0,3,1,2
0,0,0,753,1610612748,1610612761,0,0,0,0,3,2,0
0,1,3,372,1610612766,1610612761,0,0,0,0,0,0,3
1,2,0,346,1610612754,1610612761,0,0,0,0,0,1,0
1,2,0,399,1610612762,1610612761,0,0,0,0,1,0,2
0,1,0,80,1610612763,1610612761,0,0,0,0,0,0,2
1,1,0,326,1610612764,1610612761,0,2,0,0,1,0,3
1,1,0,265,1610612751,1610612761,0,1,0,0,0,1,0
2,3,0,707,1610612749,1610612741,0,1,1,0,0,2,0
5,7,2,1185,1610612761,1610612741,0,6,0,0,0,2,5
7,15,2,2227,1610612753,1610612741,0,8,1,0,2,5,14
4,6,2,1857,1610612745,1610612741,0,9,2,0,1,3,8
7,10,2,2159,1610612760,1610612741,0,5,1,0,5,4,15
6,12,1,2784,1610612739,1610612741,1,10,2,0,5,1,18
4,7,4,1953,1610612751,1610612741,1,5,2,0,3,3,13
1,8,0,1883,1610612742,1610612741,0,3,3,0,3,3,11
7,8,4,1717,1610612763,1610612741,0,9,4,0,4,3,10
0,4,0,1203,1610612761,1610612741,0,3,0,0,0,2,6
3,6,6,1536,1610612738,1610612741,0,4,0,0,4,2,8
6,13,2,1710,1610612737,1610612741,2,7,0,1,2,4,11
4,9,4,1732,1610612756,1610612741,0,9,1,0,1,4,13
6,8,0,1415,1610612749,1610612741,0,1,1,0,1,1,6
3,13,7,2108,1610612766,1610612741,0,12,1,1,3,2,20
5,11,2,1547,1610612764,1610612741,1,7,2,0,3,4,7
8,18,2,2401,1610612753,1610612741,1,9,0,0,0,2,19
6,10,2,1171,1610612764,1610612741,0,2,1,0,0,1,16
4,10,3,1698,1610612755,1610612741,0,8,3,0,2,1,19
7,16,3,2223,1610612747,1610612741,1,4,1,0,3,1,27
8,14,6,2322,1610612739,1610612741,0,7,0,0,2,1,27
2,8,0,1828,1610612746,1610612741,0,6,0,0,0,4,7
12,19,6,2631,1610612766,1610612741,0,3,2,0,2,3,28
9,15,4,2365,1610612750,1610612741,0,6,0,0,2,5,19
5,17,2,2278,1610612759,1610612741,0,5,1,0,1,2,15
5,17,6,2383,1610612740,1610612741,0,7,0,0,2,2,23
5,11,6,1846,1610612758,1610612741,0,7,2,0,3,3,8
6,10,5,1689,1610612756,1610612741,0,2,1,0,3,4,18
2,12,0,1413,1610612744,1610612741,0,1,1,0,2,2,10
3,13,5,1800,1610612747,1610612741,1,6,2,0,3,1,15
6,11,1,1854,1610612737,1610612741,0,4,1,0,2,2,13
3,4,5,1654,1610612751,1610612741,0,5,0,0,5,3,8
5,15,1,1577,1610612761,1610612741,0,1,0,0,3,4,19
7,10,7,1840,1610612743,1610612741,0,8,2,0,3,0,22
5,10,2,2176,1610612748,1610612741,0,5,0,0,0,1,2
