@relation Devin_Harris
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,4,4,1044,1610612757,1610612742,0,2,0,0,0,1,6
3,7,0,839,1610612739,1610612742,0,0,0,0,0,1,2
3,3,0,856,1610612761,1610612742,0,3,1,0,0,1,3
3,6,4,948,1610612751,1610612742,0,4,0,0,0,6,14
4,7,4,1443,1610612765,1610612742,0,7,0,0,1,3,14
2,8,6,1472,1610612745,1610612742,0,3,0,0,1,5,14
3,7,3,1065,1610612758,1610612742,2,5,0,0,0,1,7
3,8,6,1146,1610612739,1610612742,0,4,0,0,1,1,16
2,3,3,1018,1610612763,1610612742,0,3,0,0,2,1,3
1,11,0,1045,1610612762,1610612742,1,2,0,0,2,0,7
1,9,4,1385,1610612738,1610612742,0,7,0,0,2,2,12
1,7,2,1225,1610612766,1610612742,0,5,1,0,1,1,9
1,3,4,1134,1610612748,1610612742,0,5,0,0,3,1,9
1,4,5,1177,1610612755,1610612742,0,7,1,0,3,2,9
1,5,2,1131,1610612765,1610612742,0,3,0,1,1,3,6
1,3,2,860,1610612752,1610612742,0,8,0,0,2,2,2
