@relation Dwight_Buycks
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
1,3,0,346,1610612737,1610612761,0,0,0,0,1,1,3
0,1,1,114,1610612754,1610612761,0,0,0,0,0,0,3
1,3,0,1247,1610612762,1610612761,0,2,1,0,1,2,2
1,6,1,912,1610612745,1610612761,2,0,0,0,1,1,5
0,1,4,708,1610612763,1610612761,1,0,1,0,1,0,4
4,5,0,1057,1610612741,1610612761,0,1,0,0,1,2,0
0,3,2,474,1610612757,1610612761,0,0,0,0,1,0,5
3,4,0,629,1610612755,1610612761,0,2,0,0,0,2,3
2,3,0,338,1610612751,1610612761,0,1,0,0,0,1,3
2,3,0,301,1610612748,1610612761,0,1,1,0,0,0,3
1,9,1,1083,1610612759,1610612761,0,3,3,0,0,1,10
0,0,0,60,1610612741,1610612761,0,0,0,0,0,0,0
0,0,0,153,1610612737,1610612761,0,0,0,0,0,0,0
2,7,0,1340,1610612752,1610612761,1,0,2,0,4,1,2
2,4,0,390,1610612757,1610612747,0,1,0,0,2,0,8
2,6,1,1302,1610612746,1610612747,1,1,2,0,4,1,9
2,8,5,1989,1610612743,1610612747,1,3,1,0,4,0,15
2,7,0,1487,1610612750,1610612747,0,6,0,0,1,0,5
