@relation Festus_Ezeli
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,2,2,489,1610612758,1610612744,0,0,0,0,0,4,5
0,1,2,777,1610612747,1610612744,2,1,0,1,2,4,3
0,2,0,756,1610612757,1610612744,1,0,1,3,1,0,4
0,1,0,591,1610612746,1610612744,0,0,2,0,4,2,0
0,1,0,169,1610612745,1610612744,1,0,0,1,0,1,0
0,2,0,619,1610612756,1610612744,0,0,0,0,1,4,4
0,1,2,611,1610612759,1610612744,1,0,0,1,1,0,3
0,6,3,720,1610612766,1610612744,2,0,0,0,1,2,8
0,2,2,657,1610612747,1610612744,2,0,0,0,3,3,3
0,1,0,453,1610612762,1610612744,0,1,0,1,0,1,0
0,7,0,841,1610612760,1610612744,2,1,1,2,2,6,6
0,0,0,232,1610612753,1610612744,0,0,0,0,0,0,0
0,0,4,110,1610612740,1610612744,0,0,0,0,0,0,1
0,4,2,1289,1610612750,1610612744,3,0,0,1,2,3,7
0,4,4,982,1610612745,1610612744,0,0,0,0,0,2,7
0,2,2,1026,1610612742,1610612744,2,0,0,2,0,4,4
0,2,2,1179,1610612740,1610612744,1,0,0,2,1,1,4
0,3,2,796,1610612763,1610612744,2,0,0,1,1,4,3
0,4,0,587,1610612760,1610612744,0,1,0,1,0,3,4
0,11,2,1064,1610612758,1610612744,3,0,0,2,3,4,15
0,8,2,834,1610612747,1610612744,2,1,0,0,1,1,10
0,2,2,475,1610612758,1610612744,4,0,0,0,1,2,2
0,2,0,491,1610612761,1610612744,0,0,0,1,0,0,0
0,6,7,911,1610612751,1610612744,3,0,0,1,2,2,14
0,1,0,303,1610612749,1610612744,0,0,1,1,0,1,2
0,4,2,572,1610612742,1610612744,1,0,0,1,1,1,8
0,0,0,253,1610612746,1610612744,0,0,0,0,0,0,0
0,3,1,906,1610612756,1610612744,1,0,0,1,1,1,3
0,6,2,1014,1610612743,1610612744,2,1,1,4,0,3,9
0,3,0,441,1610612752,1610612744,0,0,0,0,0,1,0
0,2,0,178,1610612759,1610612744,0,0,0,1,0,0,0
0,3,2,454,1610612747,1610612744,2,0,0,1,0,0,6
0,2,4,810,1610612740,1610612744,3,0,0,0,0,0,4
0,0,0,222,1610612762,1610612744,0,0,0,0,0,0,0
0,5,2,839,1610612764,1610612744,4,0,0,2,0,2,4
0,3,0,677,1610612757,1610612744,1,1,0,1,0,3,4
0,4,2,908,1610612763,1610612744,3,0,0,2,0,2,4
0,0,0,179,1610612749,1610612744,1,1,0,0,1,0,0
0,3,0,673,1610612746,1610612744,0,0,0,0,1,0,6
0,2,0,185,1610612756,1610612744,0,0,0,0,0,1,2
0,6,4,917,1610612742,1610612744,5,0,1,1,0,4,10
0,4,2,696,1610612759,1610612744,2,0,0,0,0,0,5
0,2,6,704,1610612750,1610612744,1,0,0,1,0,0,7
0,5,5,1099,1610612763,1610612744,1,1,0,3,1,2,9
0,5,6,910,1610612743,1610612744,2,0,0,1,1,1,9
0,0,2,194,1610612740,1610612744,0,0,0,0,1,0,2
0,1,0,168,1610612740,1610612744,2,0,0,0,0,1,0
0,2,4,569,1610612740,1610612744,1,0,0,0,1,1,1
0,2,0,676,1610612763,1610612744,1,0,0,1,0,0,4
0,0,2,304,1610612763,1610612744,0,0,0,0,0,0,1
0,3,0,510,1610612763,1610612744,0,0,0,1,0,0,2
0,0,0,93,1610612763,1610612744,0,0,0,0,0,0,0
0,0,0,374,1610612763,1610612744,0,0,0,1,0,1,0
0,1,0,149,1610612763,1610612744,0,0,0,0,0,0,2
0,4,4,676,1610612745,1610612744,2,1,0,1,2,1,6
0,5,2,612,1610612745,1610612744,2,2,1,0,0,2,4
0,7,4,1707,1610612745,1610612744,5,1,0,1,3,3,12
0,1,4,731,1610612739,1610612744,0,1,0,0,1,1,5
0,2,0,362,1610612739,1610612744,0,0,0,0,0,3,2
0,6,2,1053,1610612739,1610612744,3,1,0,2,2,1,5
0,0,0,192,1610612739,1610612744,1,0,0,0,0,2,0
0,6,5,656,1610612739,1610612744,3,0,0,1,1,2,10
0,10,2,1021,1610612740,1610612744,3,1,1,1,1,2,13
0,9,4,1482,1610612745,1610612744,3,1,0,2,2,2,9
0,2,6,904,1610612740,1610612744,0,1,1,1,0,3,1
0,5,3,1226,1610612763,1610612744,3,0,0,3,1,2,11
0,8,1,1371,1610612746,1610612744,1,2,0,2,0,3,12
0,7,4,1072,1610612743,1610612744,3,2,1,2,3,4,16
0,9,5,1302,1610612758,1610612744,4,0,0,1,1,0,10
0,2,2,1213,1610612763,1610612744,2,0,1,0,1,4,3
0,6,0,961,1610612750,1610612744,1,3,0,0,0,4,10
0,4,2,1090,1610612751,1610612744,1,1,0,2,0,1,3
0,4,4,1334,1610612761,1610612744,1,1,2,4,2,3,8
0,2,4,1278,1610612746,1610612744,2,3,0,2,2,3,5
0,4,2,1403,1610612741,1610612744,5,1,0,2,0,3,7
0,7,4,742,1610612743,1610612744,2,0,0,1,1,3,4
0,5,5,959,1610612747,1610612744,2,1,0,0,0,3,9
0,8,2,994,1610612756,1610612744,4,2,0,3,1,3,6
0,6,4,1079,1610612758,1610612744,4,1,0,0,1,2,11
