@relation Gordon_Hayward
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
6,13,4,1654,1610612760,1610612762,1,5,3,0,4,4,12
5,17,4,2368,1610612756,1610612762,3,8,1,0,3,1,18
5,16,2,2290,1610612745,1610612762,2,2,0,0,1,3,15
3,16,5,1887,1610612751,1610612762,1,4,0,0,2,0,22
2,20,4,2376,1610612738,1610612762,2,5,1,0,2,3,28
2,15,5,2241,1610612741,1610612762,1,5,0,0,2,1,15
5,18,4,2181,1610612761,1610612762,1,4,4,0,2,2,24
5,16,6,2421,1610612743,1610612762,0,2,1,2,7,1,22
5,12,14,2518,1610612740,1610612762,2,10,2,1,5,1,27
7,23,6,2593,1610612759,1610612762,1,3,1,1,3,1,15
3,12,4,2105,1610612744,1610612762,0,2,1,0,3,2,14
4,14,4,2102,1610612744,1610612762,0,3,3,0,6,4,18
8,17,4,2348,1610612740,1610612762,1,11,1,2,1,4,6
3,12,2,2075,1610612742,1610612762,1,5,3,2,5,4,13
2,9,0,1516,1610612760,1610612762,0,1,1,0,6,3,5
0,15,7,2819,1610612741,1610612762,1,12,1,1,1,3,15
2,10,3,2064,1610612756,1610612762,2,6,1,0,2,2,11
2,11,8,2046,1610612756,1610612762,0,4,0,0,2,1,13
0,18,5,2349,1610612745,1610612762,0,3,1,0,4,2,29
7,14,4,2260,1610612754,1610612762,1,6,2,0,3,3,12
2,12,0,1376,1610612757,1610612762,0,3,2,0,4,3,10
4,17,10,2617,1610612758,1610612762,1,3,1,2,1,1,22
3,14,6,2331,1610612757,1610612762,0,0,1,0,2,1,17
1,15,2,1817,1610612758,1610612762,1,4,0,0,0,1,17
5,18,7,2283,1610612743,1610612762,2,5,1,0,0,4,30
4,16,5,2401,1610612759,1610612762,0,5,2,1,1,1,18
4,8,4,1643,1610612748,1610612762,1,2,1,0,5,4,7
5,15,3,2236,1610612753,1610612762,1,7,0,1,2,2,15
4,14,2,1745,1610612737,1610612762,1,3,0,3,2,0,11
4,11,4,2225,1610612766,1610612762,2,3,2,0,3,0,12
5,13,5,2308,1610612763,1610612762,4,9,1,4,1,2,16
5,17,5,2274,1610612747,1610612762,1,9,3,0,2,4,24
3,11,2,1904,1610612746,1610612762,0,7,2,0,0,3,9
3,10,2,1706,1610612766,1610612762,0,5,0,2,3,3,9
5,16,3,2405,1610612749,1610612762,0,2,2,3,2,2,22
6,16,2,2368,1610612747,1610612762,0,6,2,0,1,2,22
3,16,13,2230,1610612760,1610612762,0,7,2,1,4,0,37
5,17,6,2180,1610612750,1610612762,0,5,3,0,3,3,27
3,14,4,2303,1610612764,1610612762,0,4,2,0,3,1,16
3,13,4,2258,1610612758,1610612762,1,6,1,1,2,3,12
0,10,2,2403,1610612744,1610612762,2,5,0,0,8,0,8
6,13,9,2481,1610612746,1610612762,2,3,3,0,2,3,15
5,11,2,2314,1610612761,1610612762,2,3,1,1,3,1,8
5,7,2,1817,1610612742,1610612762,1,5,2,0,2,2,8
1,8,4,2260,1610612748,1610612762,2,11,3,0,2,3,9
4,13,4,2086,1610612747,1610612762,0,7,2,0,4,2,15
4,17,12,2267,1610612755,1610612762,2,7,2,3,1,2,17
6,11,2,1999,1610612751,1610612762,0,3,0,0,3,0,9
1,11,6,2173,1610612757,1610612762,0,7,3,0,1,1,17
2,10,2,1460,1610612750,1610612762,0,0,2,2,2,1,5
4,11,0,2133,1610612738,1610612762,1,10,1,0,6,1,8
3,13,5,2236,1610612756,1610612762,0,9,0,0,2,2,17
7,13,3,2145,1610612739,1610612762,2,7,2,2,1,0,18
7,15,3,2251,1610612754,1610612762,0,3,2,0,2,4,21
6,15,6,1997,1610612749,1610612762,1,3,1,0,5,1,20
2,12,5,2198,1610612764,1610612762,1,6,3,0,4,3,12
3,8,5,2217,1610612752,1610612762,2,5,0,0,3,1,18
3,15,10,2631,1610612755,1610612762,1,8,3,0,2,3,22
1,10,4,2292,1610612737,1610612762,2,7,2,0,5,4,13
5,7,2,2088,1610612742,1610612762,0,6,0,0,3,3,8
2,8,2,2214,1610612746,1610612762,0,10,2,1,2,3,7
1,13,4,2090,1610612759,1610612762,0,6,0,0,6,1,17
0,8,2,1717,1610612745,1610612762,0,3,3,0,3,2,11
3,16,5,2298,1610612763,1610612762,1,5,2,0,3,1,16
1,8,6,2382,1610612753,1610612762,0,6,1,0,2,4,14
6,19,10,2384,1610612765,1610612762,0,6,1,1,2,1,32
3,12,9,2688,1610612763,1610612762,0,1,4,0,4,1,18
2,13,8,2180,1610612740,1610612762,0,7,1,1,3,4,21
2,13,6,1986,1610612760,1610612762,0,9,0,0,2,2,16
8,14,8,2362,1610612752,1610612762,0,1,1,0,2,1,18
3,11,13,2236,1610612740,1610612762,0,6,3,0,1,0,21
0,9,2,1717,1610612744,1610612762,0,3,0,0,4,3,10
6,14,2,2476,1610612742,1610612762,2,5,2,0,1,2,11
3,9,6,1963,1610612757,1610612762,0,6,0,0,2,3,14
4,18,10,2080,1610612743,1610612762,0,2,2,0,2,2,23
3,13,8,2138,1610612747,1610612762,0,4,0,0,4,1,21
5,23,8,2795,1610612750,1610612762,3,9,1,2,3,2,23
3,11,2,2288,1610612745,1610612762,2,7,1,0,1,1,8
7,9,6,2130,1610612742,1610612762,1,6,1,0,2,3,16
5,15,3,2069,1610612756,1610612762,1,3,1,0,1,1,24
12,19,2,2161,1610612746,1610612762,1,5,1,0,3,1,27
1,12,7,2193,1610612739,1610612762,1,7,0,1,4,2,21
7,9,4,1711,1610612742,1610612762,0,4,0,1,0,0,12
6,13,6,2369,1610612765,1610612762,0,4,3,0,4,1,17
3,15,6,2167,1610612754,1610612762,0,5,0,1,2,1,30
2,16,3,1916,1610612737,1610612762,0,1,2,0,1,3,11
6,18,10,2272,1610612752,1610612762,1,6,4,0,3,4,33
2,10,7,1804,1610612761,1610612762,0,5,1,1,0,4,12
7,12,5,1799,1610612760,1610612762,0,2,2,0,4,3,13
2,11,2,1568,1610612744,1610612762,0,2,1,0,3,1,12
3,16,14,2330,1610612740,1610612762,2,3,2,1,3,2,31
3,11,1,2131,1610612741,1610612762,0,1,3,1,3,3,6
4,15,14,2180,1610612760,1610612762,1,3,4,0,8,2,24
5,18,8,2165,1610612746,1610612762,1,3,1,0,1,0,30
6,18,8,2321,1610612743,1610612762,0,1,1,0,4,2,25
5,15,4,2471,1610612761,1610612762,1,3,1,0,1,0,16
3,11,0,2188,1610612753,1610612762,0,4,3,0,3,4,9
7,16,10,2211,1610612758,1610612762,0,7,4,0,2,3,19
2,13,9,2176,1610612759,1610612762,0,4,1,0,5,3,20
7,13,4,2073,1610612748,1610612762,0,1,0,0,3,1,18
3,14,9,2010,1610612764,1610612762,1,3,1,1,2,3,16
3,16,4,2108,1610612740,1610612762,0,5,0,1,2,3,17
5,13,7,2291,1610612748,1610612762,0,7,0,1,3,3,29
1,10,10,2178,1610612753,1610612762,0,6,0,1,4,0,20
6,14,0,1923,1610612766,1610612762,0,6,1,0,1,1,14
2,12,8,2178,1610612763,1610612762,1,4,0,1,2,2,21
5,12,6,1670,1610612755,1610612762,0,1,1,0,2,3,15
7,20,3,2142,1610612746,1610612762,0,7,0,0,3,1,22
4,16,5,2185,1610612750,1610612762,0,3,2,0,3,1,26
3,14,5,2125,1610612737,1610612762,1,3,0,0,0,4,18
3,13,0,2093,1610612750,1610612762,0,4,0,1,2,3,9
5,17,13,2503,1610612754,1610612762,0,3,0,1,2,3,24
4,14,7,2011,1610612741,1610612762,0,5,2,1,2,2,18
5,18,6,2190,1610612760,1610612762,0,4,3,0,5,1,27
2,10,4,1796,1610612745,1610612762,1,5,2,0,5,1,9
4,11,6,1916,1610612744,1610612762,0,2,1,2,2,1,17
7,18,3,2137,1610612747,1610612762,0,7,1,1,3,0,31
2,15,2,1747,1610612759,1610612762,1,5,3,0,2,3,10
4,11,4,1711,1610612739,1610612762,3,4,2,0,5,0,14
4,13,12,2114,1610612749,1610612762,2,6,2,0,6,4,24
3,14,4,1889,1610612751,1610612762,0,3,3,0,5,1,24
5,17,12,2130,1610612738,1610612762,2,3,3,2,1,2,26
5,13,4,2270,1610612746,1610612762,0,5,0,2,1,2,11
3,20,8,2302,1610612744,1610612762,5,6,3,0,3,3,26
4,16,7,2184,1610612757,1610612762,3,5,1,1,1,4,27
5,10,2,2041,1610612763,1610612762,0,2,0,0,0,3,15
2,17,6,2051,1610612756,1610612762,0,5,0,0,4,2,24
8,23,1,2230,1610612758,1610612762,1,3,2,0,2,1,30
5,22,11,2336,1610612740,1610612762,1,8,2,1,4,1,32
5,14,2,2291,1610612742,1610612762,2,8,2,0,6,2,12
