@relation Henry_Sims
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,1,0,65,1610612754,1610612739,0,0,0,0,0,0,0
0,3,2,786,1610612755,1610612739,1,1,0,2,2,2,4
0,0,2,282,1610612741,1610612739,1,0,0,0,0,3,0
0,1,0,509,1610612750,1610612739,0,0,0,0,0,3,0
0,0,0,71,1610612766,1610612739,0,0,0,0,1,0,0
0,4,0,395,1610612764,1610612739,3,0,0,0,0,1,6
0,1,0,125,1610612741,1610612739,0,0,0,0,0,0,0
0,0,0,87,1610612754,1610612739,0,0,0,0,0,0,0
0,0,0,185,1610612751,1610612739,0,0,0,0,0,1,0
0,2,0,283,1610612755,1610612739,2,1,0,1,0,1,2
0,0,0,40,1610612757,1610612739,0,0,0,0,0,0,0
0,0,0,289,1610612749,1610612739,1,0,0,0,0,2,0
0,5,0,692,1610612740,1610612739,0,0,1,0,1,3,2
0,5,0,1323,1610612752,1610612739,3,2,1,2,0,1,4
0,7,2,1236,1610612745,1610612739,1,0,1,2,1,2,7
0,1,0,54,1610612742,1610612739,0,0,0,0,0,0,0
0,5,2,1076,1610612758,1610612739,3,0,0,0,2,6,7
0,3,0,827,1610612765,1610612739,1,0,2,0,1,1,0
0,5,4,1192,1610612755,1610612739,4,1,0,0,0,3,7
0,2,2,588,1610612753,1610612739,2,0,0,0,0,3,5
0,3,2,1194,1610612749,1610612755,1,1,1,0,0,2,4
0,9,2,1406,1610612753,1610612755,3,0,0,1,1,2,10
0,6,2,1462,1610612764,1610612755,3,1,1,1,1,5,7
0,6,6,1858,1610612753,1610612755,2,1,1,1,0,4,12
0,5,6,1572,1610612760,1610612755,2,1,0,0,2,3,10
0,8,2,1550,1610612762,1610612755,1,2,1,1,1,4,5
0,4,2,1213,1610612752,1610612755,2,3,1,1,2,4,10
0,12,11,1830,1610612758,1610612755,5,3,3,2,3,3,20
0,8,2,1248,1610612754,1610612755,2,2,2,0,0,1,6
0,4,4,1356,1610612763,1610612755,2,2,2,0,1,4,4
0,10,4,1685,1610612754,1610612755,3,3,0,1,1,5,9
0,9,1,1458,1610612741,1610612755,3,1,1,0,3,4,4
0,10,4,1752,1610612752,1610612755,8,2,0,0,1,4,16
1,15,2,1873,1610612741,1610612755,9,2,0,2,1,1,18
0,8,2,1953,1610612759,1610612755,4,7,2,0,1,4,10
0,11,8,1581,1610612745,1610612755,4,2,1,1,2,5,18
0,14,0,1624,1610612765,1610612755,4,1,1,0,3,4,16
0,8,3,1617,1610612737,1610612755,2,2,1,0,1,3,8
0,13,7,1875,1610612766,1610612755,4,2,1,0,1,2,15
0,10,18,2025,1610612738,1610612755,3,2,0,0,0,3,24
0,8,4,1671,1610612751,1610612755,5,0,0,0,0,5,11
0,15,2,1843,1610612761,1610612755,3,0,0,1,3,5,22
0,8,2,1448,1610612763,1610612755,1,1,1,1,1,3,9
0,8,7,1542,1610612766,1610612755,3,0,0,0,0,2,15
0,10,2,1911,1610612738,1610612755,1,3,1,0,2,1,13
0,7,2,1851,1610612748,1610612755,2,3,2,0,2,1,10
0,9,2,1409,1610612754,1610612755,1,0,0,0,1,4,10
0,8,2,1530,1610612749,1610612755,3,1,0,0,1,2,7
0,9,2,1659,1610612748,1610612755,1,2,0,1,0,1,9
0,3,0,799,1610612745,1610612755,0,1,0,0,1,0,2
0,5,2,1439,1610612753,1610612755,2,2,3,0,3,2,3
1,10,1,1565,1610612741,1610612755,5,5,0,0,2,3,16
0,11,2,1735,1610612761,1610612755,5,3,1,0,1,2,12
0,3,4,969,1610612742,1610612755,2,0,1,1,0,1,4
0,8,2,1808,1610612745,1610612755,0,1,0,3,1,2,14
0,6,4,1701,1610612759,1610612755,0,1,1,0,2,3,9
0,12,2,1899,1610612738,1610612755,3,1,0,0,0,2,14
0,5,1,1270,1610612756,1610612755,3,0,2,0,0,0,5
0,5,2,1080,1610612752,1610612755,0,0,2,0,1,4,6
1,14,6,2045,1610612757,1610612755,1,1,1,0,3,3,22
0,13,0,1596,1610612751,1610612755,2,0,2,0,2,2,12
0,8,4,1460,1610612742,1610612755,3,1,1,0,2,2,13
3,9,2,1485,1610612759,1610612755,1,0,0,0,0,4,12
0,8,3,1518,1610612750,1610612755,2,1,1,0,2,2,10
3,10,4,1393,1610612760,1610612755,1,1,0,0,2,0,10
3,10,0,1658,1610612765,1610612755,0,1,1,1,2,3,9
0,3,2,795,1610612737,1610612755,0,0,0,0,1,0,1
0,8,2,1425,1610612751,1610612755,4,0,1,0,2,2,14
0,5,2,1328,1610612763,1610612755,0,3,1,0,1,2,12
1,8,4,974,1610612738,1610612755,1,1,0,0,0,2,5
0,4,1,810,1610612766,1610612755,0,0,0,0,3,1,7
2,11,2,1262,1610612753,1610612755,3,2,0,0,0,2,12
1,6,2,952,1610612748,1610612755,3,1,1,0,3,3,8
0,6,0,904,1610612757,1610612755,4,1,0,1,0,0,8
0,4,2,1361,1610612762,1610612755,1,0,1,1,1,3,8
0,13,2,1406,1610612744,1610612755,4,0,0,0,3,2,19
0,7,4,1083,1610612756,1610612755,3,2,0,2,1,0,16
0,1,0,900,1610612746,1610612755,0,2,1,0,4,2,2
0,9,0,1438,1610612739,1610612755,0,2,0,0,4,3,12
0,8,1,1087,1610612749,1610612755,0,1,0,0,2,0,3
0,10,0,1063,1610612751,1610612755,2,2,0,0,0,1,8
0,7,6,1131,1610612754,1610612755,4,1,0,0,1,3,11
0,3,0,468,1610612737,1610612755,1,0,1,1,1,1,0
0,9,0,1439,1610612761,1610612755,2,2,0,1,1,2,8
0,4,2,639,1610612740,1610612755,0,1,2,0,1,1,3
0,6,2,1049,1610612765,1610612755,3,1,1,0,3,2,12
0,10,3,1238,1610612764,1610612755,1,2,0,1,1,1,13
0,12,4,1904,1610612752,1610612755,5,2,0,0,1,2,11
1,11,3,1143,1610612761,1610612755,1,0,0,0,2,2,11
0,2,0,494,1610612763,1610612755,1,1,0,0,0,1,2
0,9,8,1161,1610612740,1610612755,3,1,1,0,1,2,14
0,7,0,1077,1610612765,1610612755,2,1,0,2,4,3,10
0,6,0,1026,1610612750,1610612755,1,2,2,1,0,0,6
0,4,0,633,1610612737,1610612755,0,0,0,1,2,2,2
0,4,0,648,1610612739,1610612755,0,1,0,0,0,2,2
0,2,2,1060,1610612743,1610612755,1,2,0,0,3,2,1
0,10,2,1132,1610612738,1610612755,3,1,0,0,1,1,12
0,7,2,822,1610612766,1610612755,0,2,0,0,1,1,8
0,5,0,732,1610612744,1610612755,1,0,1,0,1,1,8
0,4,3,769,1610612754,1610612755,0,0,0,1,3,1,3
0,8,2,1165,1610612753,1610612755,3,1,0,0,4,3,8
0,6,3,1076,1610612748,1610612755,0,3,0,1,1,1,12
0,4,0,542,1610612749,1610612755,2,0,3,0,0,0,2
0,1,2,336,1610612764,1610612755,0,0,0,0,0,0,2
0,10,1,1387,1610612761,1610612755,1,3,0,0,2,2,10
0,3,2,602,1610612760,1610612755,2,0,0,0,0,2,4
0,5,0,696,1610612758,1610612755,2,0,1,0,0,3,8
0,5,4,820,1610612751,1610612755,3,3,1,1,1,3,3
