@relation Jahlil_Okafor
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,16,6,2285,1610612738,1610612755,4,1,1,2,8,4,26
0,12,4,2164,1610612762,1610612755,1,1,1,0,2,3,10
0,21,3,1614,1610612739,1610612755,2,0,0,0,1,4,24
0,13,3,2083,1610612749,1610612755,1,0,0,2,2,3,21
0,17,3,2224,1610612739,1610612755,1,3,0,0,2,3,18
0,14,10,1972,1610612753,1610612755,2,3,0,3,3,2,19
0,22,2,1959,1610612761,1610612755,2,1,0,4,4,5,26
0,18,0,1779,1610612760,1610612755,3,2,0,3,4,3,6
0,17,3,2341,1610612759,1610612755,3,2,0,2,2,3,21
0,15,3,1953,1610612742,1610612755,2,1,1,2,4,5,19
0,11,4,1882,1610612754,1610612755,1,0,1,0,3,1,14
0,12,3,1793,1610612766,1610612755,2,2,0,0,3,0,10
0,20,0,2058,1610612748,1610612755,2,1,0,3,3,2,16
0,15,7,1977,1610612750,1610612755,5,1,0,2,4,3,25
1,17,5,2155,1610612738,1610612755,0,1,0,4,3,4,19
0,12,4,1603,1610612745,1610612755,4,2,1,0,1,2,11
1,11,4,1919,1610612763,1610612755,2,1,1,0,3,4,9
