@relation Jared_Cunningham
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,0,229,1610612743,1610612737,0,0,0,0,0,0,0
0,0,0,171,1610612739,1610612737,0,1,0,0,1,0,0
0,0,0,104,1610612752,1610612737,0,0,0,0,0,0,0
1,2,0,513,1610612749,1610612737,0,1,0,0,1,2,2
0,0,2,298,1610612755,1610612737,0,1,0,0,0,1,0
0,3,0,253,1610612740,1610612758,1,0,0,0,0,1,2
0,0,0,117,1610612747,1610612758,0,0,0,0,0,0,0
3,5,4,784,1610612744,1610612758,0,1,1,0,0,2,6
1,1,0,25,1610612742,1610612758,0,0,0,0,0,2,0
0,2,6,383,1610612760,1610612758,0,1,1,0,0,2,8
1,6,0,693,1610612757,1610612758,0,1,1,0,0,1,2
1,2,4,851,1610612746,1610612758,0,2,0,0,0,3,6
0,0,0,389,1610612756,1610612758,0,0,0,0,0,2,0
0,2,0,634,1610612758,1610612746,0,1,0,0,0,2,0
1,3,2,575,1610612744,1610612746,0,1,0,0,0,2,5
0,1,0,27,1610612759,1610612746,0,0,1,0,0,1,0
0,0,0,106,1610612756,1610612746,0,0,0,0,0,1,0
0,0,0,76,1610612741,1610612746,0,0,0,0,0,0,0
1,2,0,317,1610612753,1610612746,0,0,0,0,0,0,2
2,5,0,254,1610612748,1610612746,0,0,0,0,1,1,2
1,1,0,165,1610612763,1610612746,0,0,0,0,0,0,0
0,1,4,284,1610612745,1610612746,0,2,0,0,2,0,1
3,4,4,707,1610612750,1610612746,1,2,1,0,0,2,8
1,1,0,344,1610612753,1610612746,0,2,0,0,2,1,0
0,3,0,564,1610612740,1610612746,0,1,0,0,0,0,0
2,2,1,270,1610612756,1610612746,0,0,0,0,0,1,4
0,1,0,129,1610612764,1610612746,0,0,0,0,1,1,0
0,0,2,142,1610612765,1610612746,0,1,0,0,0,0,1
0,1,0,70,1610612744,1610612746,0,0,0,0,0,0,2
1,3,0,102,1610612761,1610612746,0,0,0,0,0,0,5
0,1,0,234,1610612752,1610612746,0,0,0,0,1,0,2
1,2,0,341,1610612755,1610612746,0,0,1,0,0,0,3
0,2,0,191,1610612741,1610612739,0,0,0,0,0,0,0
1,5,4,909,1610612763,1610612739,0,1,0,1,1,2,12
1,4,0,552,1610612748,1610612739,0,2,0,0,0,1,4
0,3,4,1023,1610612755,1610612739,0,0,0,0,0,2,4
0,0,4,609,1610612752,1610612739,0,0,0,0,0,1,1
0,1,0,1213,1610612755,1610612739,0,1,1,0,1,2,0
3,5,0,532,1610612754,1610612739,0,0,0,0,0,0,5
0,0,0,203,1610612749,1610612739,0,0,0,0,0,1,0
0,1,0,144,1610612765,1610612739,0,0,0,0,0,0,0
1,2,6,1037,1610612749,1610612739,0,4,0,0,2,2,7
3,9,2,1189,1610612737,1610612739,0,0,2,0,2,3,8
4,8,2,1637,1610612753,1610612739,1,2,2,1,2,3,4
4,10,0,1243,1610612761,1610612739,0,2,1,0,2,2,6
0,0,0,8,1610612766,1610612739,0,0,0,0,0,0,0
0,0,0,59,1610612751,1610612739,0,0,0,0,0,0,0
