@relation Jarrett_Jack
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
1,6,6,1350,1610612751,1610612739,0,3,1,0,1,1,12
3,13,0,1660,1610612766,1610612739,0,3,0,0,3,0,15
2,8,0,1468,1610612754,1610612739,0,3,2,0,4,3,8
2,7,0,1609,1610612750,1610612739,0,5,0,1,3,3,2
1,8,0,1134,1610612749,1610612739,0,2,0,0,2,3,6
4,10,4,1509,1610612755,1610612739,1,3,2,0,3,1,13
6,14,4,2196,1610612755,1610612739,1,5,3,3,3,1,20
1,6,2,1512,1610612741,1610612739,0,1,1,0,1,1,2
1,9,0,1410,1610612750,1610612739,0,5,0,0,1,1,6
1,9,2,1429,1610612766,1610612739,0,3,2,1,2,0,11
4,13,2,2019,1610612764,1610612739,1,4,1,0,5,1,13
4,10,0,1703,1610612764,1610612739,0,6,1,0,1,0,14
3,13,0,1962,1610612740,1610612739,0,4,0,0,3,1,19
0,3,0,1042,1610612759,1610612739,0,5,0,0,0,1,0
4,6,0,2233,1610612748,1610612739,1,6,1,1,5,1,8
2,9,1,1318,1610612738,1610612739,0,2,0,0,1,2,9
2,6,0,1430,1610612741,1610612739,0,3,0,0,1,2,5
2,7,1,1925,1610612743,1610612739,0,4,1,3,2,2,6
4,10,2,1736,1610612737,1610612739,0,3,1,0,1,2,12
2,7,5,1918,1610612746,1610612739,0,3,1,0,2,3,11
5,8,3,1445,1610612752,1610612739,0,1,0,0,2,0,17
1,5,3,1213,1610612753,1610612739,0,6,0,0,1,1,5
3,11,2,1302,1610612748,1610612739,1,4,1,0,1,0,14
1,14,1,1663,1610612757,1610612739,0,4,1,0,0,2,12
4,17,3,2258,1610612749,1610612739,1,5,0,0,0,1,17
3,13,2,1832,1610612741,1610612739,0,6,0,0,2,1,11
2,6,0,1213,1610612765,1610612739,0,1,0,0,1,2,0
1,5,8,1941,1610612737,1610612739,1,3,0,0,2,2,9
2,8,2,1856,1610612738,1610612739,0,4,0,0,0,3,14
3,11,0,2048,1610612744,1610612739,0,4,2,1,2,4,12
2,9,0,1485,1610612754,1610612739,0,6,0,0,2,3,8
2,16,3,2522,1610612753,1610612739,1,7,0,0,1,3,14
1,8,0,2305,1610612751,1610612739,1,7,0,0,1,2,2
2,6,1,1557,1610612762,1610612739,0,2,0,0,0,1,12
2,6,0,1130,1610612758,1610612739,0,2,1,0,3,4,2
1,5,2,1108,1610612747,1610612739,0,5,1,0,1,1,4
1,3,0,741,1610612757,1610612739,0,3,0,0,0,0,3
1,7,3,888,1610612743,1610612739,0,1,1,0,1,2,13
2,4,2,1291,1610612742,1610612739,0,2,0,0,2,1,6
0,4,2,1320,1610612741,1610612739,0,5,0,0,0,1,2
3,8,3,1346,1610612749,1610612739,0,3,0,0,0,1,10
2,8,0,1690,1610612756,1610612739,1,2,1,1,0,1,8
1,4,2,1239,1610612740,1610612739,0,3,2,0,0,0,2
3,8,2,1201,1610612752,1610612739,0,1,2,0,3,1,4
6,9,0,1859,1610612745,1610612739,0,6,0,0,1,2,7
2,7,2,2382,1610612742,1610612739,0,8,0,0,3,3,12
2,5,4,1047,1610612747,1610612739,2,1,0,1,1,2,7
0,3,2,735,1610612764,1610612739,0,0,0,0,0,0,0
1,4,0,883,1610612763,1610612739,0,1,0,0,1,0,2
0,3,0,1064,1610612758,1610612739,0,4,2,1,3,3,2
2,7,3,1675,1610612765,1610612739,0,8,2,0,1,2,9
0,6,2,1403,1610612755,1610612739,2,7,1,0,4,3,6
2,10,4,2060,1610612753,1610612739,0,6,2,2,1,2,10
1,9,2,2450,1610612761,1610612739,0,5,1,0,3,2,9
3,11,0,2305,1610612764,1610612739,1,3,0,0,3,2,6
1,10,1,1580,1610612761,1610612739,0,4,2,0,1,2,12
7,14,6,2324,1610612760,1610612739,2,4,1,0,1,2,21
4,9,2,1652,1610612762,1610612739,0,4,0,0,1,2,5
1,6,0,2089,1610612763,1610612739,1,5,1,0,1,1,6
2,5,0,1245,1610612759,1610612739,0,3,0,0,0,2,4
1,6,4,1625,1610612766,1610612739,1,6,0,1,3,1,10
4,13,2,2369,1610612752,1610612739,0,3,2,0,3,2,12
1,7,6,2039,1610612756,1610612739,1,4,0,0,1,2,11
0,5,1,1666,1610612744,1610612739,0,4,1,0,1,5,9
3,8,3,2110,1610612746,1610612739,0,5,0,0,6,1,12
6,13,4,2490,1610612748,1610612739,0,4,0,1,3,2,22
1,8,2,2032,1610612760,1610612739,1,4,1,0,2,2,6
1,13,1,2152,1610612745,1610612739,0,5,1,1,2,1,11
2,19,5,2521,1610612752,1610612739,0,10,0,1,3,0,31
1,9,3,2233,1610612761,1610612739,0,5,2,1,1,2,13
4,15,1,1710,1610612765,1610612739,0,1,0,0,2,0,17
5,12,0,2432,1610612751,1610612739,0,7,2,0,1,2,9
2,11,2,2130,1610612754,1610612739,0,9,1,1,0,2,11
3,9,2,1814,1610612753,1610612739,0,4,1,0,3,2,13
6,13,0,1348,1610612737,1610612739,0,2,0,1,0,1,9
1,8,3,1625,1610612766,1610612739,0,2,0,0,0,3,5
1,6,2,1344,1610612765,1610612739,0,3,0,0,4,2,7
5,13,5,2045,1610612749,1610612739,0,2,1,0,2,2,21
4,14,2,2004,1610612738,1610612739,1,6,1,0,0,3,15
3,10,0,1529,1610612751,1610612739,0,9,2,0,2,2,5
0,9,2,1805,1610612738,1610612751,0,2,2,0,1,1,11
2,4,0,1330,1610612765,1610612751,0,3,0,0,1,3,2
0,6,0,1657,1610612760,1610612751,1,1,4,0,0,1,4
0,8,4,1439,1610612750,1610612751,0,4,1,0,3,3,14
0,5,0,1143,1610612752,1610612751,0,5,1,0,2,2,4
0,6,0,1377,1610612753,1610612751,0,1,2,1,0,1,6
1,4,4,1416,1610612756,1610612751,0,3,1,0,5,1,8
0,10,4,1530,1610612744,1610612751,0,3,0,0,3,4,23
3,12,2,1564,1610612757,1610612751,0,1,1,0,1,3,10
1,9,4,1419,1610612748,1610612751,0,4,1,0,1,4,15
2,9,6,2113,1610612749,1610612751,0,4,1,0,3,2,14
2,15,7,1888,1610612760,1610612751,0,5,0,0,2,1,23
0,7,2,1509,1610612759,1610612751,1,5,1,1,2,1,6
3,7,0,1119,1610612755,1610612751,0,4,0,0,1,2,4
1,13,2,1645,1610612741,1610612751,1,4,1,0,0,0,12
2,8,0,1051,1610612752,1610612751,1,1,1,0,4,1,4
1,10,0,1653,1610612759,1610612751,0,3,0,0,2,1,8
0,7,0,1135,1610612737,1610612751,0,1,2,0,1,2,6
1,4,2,1388,1610612739,1610612751,0,5,1,0,2,1,4
2,8,6,1804,1610612741,1610612751,1,4,0,0,1,1,7
2,8,0,1269,1610612755,1610612751,0,5,1,0,1,4,4
0,9,4,1214,1610612766,1610612751,0,5,0,0,2,3,14
3,6,4,1727,1610612748,1610612751,0,5,3,0,4,3,5
0,6,0,1423,1610612761,1610612751,0,3,1,1,0,1,4
2,11,0,1976,1610612739,1610612751,0,3,1,1,3,3,13
1,14,1,2221,1610612765,1610612751,0,10,2,0,2,3,15
2,13,3,2287,1610612743,1610612751,0,8,1,0,3,1,17
2,14,10,2043,1610612738,1610612751,0,5,3,1,4,1,27
2,15,1,2329,1610612754,1610612751,0,2,1,1,5,3,22
1,12,8,1912,1610612758,1610612751,1,2,1,0,2,2,16
1,9,2,1685,1610612741,1610612751,1,5,1,0,1,2,11
1,8,0,1969,1610612753,1610612751,0,4,1,0,6,1,6
1,9,0,1479,1610612748,1610612751,0,3,2,3,2,0,4
3,16,8,2625,1610612742,1610612751,0,10,0,0,3,4,20
2,13,0,2360,1610612738,1610612751,0,4,0,0,4,1,15
1,9,8,2203,1610612755,1610612751,1,10,2,0,3,2,14
8,12,0,1753,1610612765,1610612751,0,8,2,0,3,5,5
4,16,2,2335,1610612745,1610612751,0,6,0,1,4,1,13
3,12,3,1957,1610612763,1610612751,1,6,0,0,3,3,10
2,18,2,2092,1610612764,1610612751,1,7,2,1,2,3,26
2,18,2,2431,1610612764,1610612751,0,8,1,0,5,3,22
4,10,7,2312,1610612758,1610612751,0,8,2,0,4,2,16
2,11,0,1632,1610612746,1610612751,0,3,3,0,4,1,7
4,14,7,2062,1610612762,1610612751,1,7,2,0,3,0,16
2,13,2,2283,1610612737,1610612751,0,13,2,0,1,2,14
7,30,8,3133,1610612761,1610612751,0,13,1,0,2,3,35
2,11,0,2396,1610612746,1610612751,0,7,2,0,2,5,6
4,13,5,2184,1610612761,1610612751,0,6,1,0,2,2,24
1,12,5,2532,1610612752,1610612751,0,8,0,0,4,0,20
1,12,6,1608,1610612764,1610612751,3,4,1,0,6,1,11
5,15,2,2085,1610612749,1610612751,1,8,0,0,3,4,26
0,11,0,1802,1610612763,1610612751,0,3,0,0,6,0,12
3,9,0,1353,1610612745,1610612751,0,5,1,1,4,2,4
2,11,2,1866,1610612742,1610612751,0,4,0,0,1,2,14
2,7,0,1659,1610612744,1610612751,1,5,0,0,2,2,9
2,13,1,1255,1610612766,1610612751,0,3,2,0,0,1,9
0,12,4,2474,1610612756,1610612751,0,5,0,0,3,6,10
2,5,0,1396,1610612762,1610612751,0,5,1,0,5,1,7
3,9,5,1694,1610612740,1610612751,0,3,0,0,1,0,15
1,8,8,1316,1610612748,1610612751,1,4,0,0,4,1,18
3,16,0,1609,1610612755,1610612751,0,8,1,0,3,2,12
1,10,4,1416,1610612750,1610612751,1,5,0,1,4,0,16
1,11,2,2459,1610612749,1610612751,1,7,2,0,5,3,12
0,7,9,1467,1610612754,1610612751,0,8,0,0,0,1,13
2,9,7,1152,1610612738,1610612751,0,1,0,0,1,1,8
1,8,2,1440,1610612766,1610612751,0,3,2,0,0,1,6
0,13,6,1531,1610612739,1610612751,0,5,2,0,2,2,16
1,4,0,863,1610612747,1610612751,0,2,1,0,3,1,7
0,11,6,1129,1610612754,1610612751,0,4,0,0,2,3,13
1,6,2,901,1610612752,1610612751,0,5,0,0,0,1,7
1,4,0,582,1610612761,1610612751,0,1,0,0,1,0,0
2,9,3,1198,1610612737,1610612751,0,6,2,0,4,0,14
1,3,0,678,1610612757,1610612751,0,1,0,0,1,0,3
3,10,8,1264,1610612737,1610612751,0,3,1,0,0,3,14
2,6,2,1156,1610612764,1610612751,0,3,0,0,0,2,14
3,10,2,1411,1610612749,1610612751,0,2,1,0,2,2,11
1,14,1,1528,1610612741,1610612751,0,2,0,0,4,0,15
6,9,0,1397,1610612753,1610612751,0,5,0,0,1,1,9
0,8,3,988,1610612737,1610612751,0,2,1,0,5,3,13
5,13,3,1714,1610612737,1610612751,0,3,1,0,4,2,23
1,3,2,1617,1610612737,1610612751,0,8,0,0,2,2,5
4,7,0,1330,1610612737,1610612751,2,3,3,1,3,3,4
2,10,3,1647,1610612737,1610612751,0,5,0,0,3,0,11
3,13,0,1617,1610612759,1610612751,0,7,1,0,2,0,12
3,17,1,2122,1610612763,1610612751,1,9,0,0,2,3,15
1,11,5,2074,1610612749,1610612751,0,4,0,0,5,3,15
2,10,0,1628,1610612737,1610612751,1,5,0,1,2,5,6
6,22,2,2255,1610612747,1610612751,1,12,1,0,2,4,18
2,10,3,1783,1610612749,1610612751,0,2,0,0,5,1,10
3,10,0,1660,1610612745,1610612751,0,6,1,0,1,3,7
3,10,11,1983,1610612758,1610612751,0,12,1,0,1,1,21
5,20,8,2625,1610612744,1610612751,0,9,2,0,2,3,28
5,10,3,2069,1610612737,1610612751,0,8,1,0,2,3,14
4,12,2,2004,1610612766,1610612751,0,9,0,2,3,3,16
3,8,4,1437,1610612738,1610612751,0,5,0,0,7,1,11
1,11,10,1962,1610612738,1610612751,0,4,1,0,2,3,22
2,8,0,1543,1610612760,1610612751,0,3,1,0,3,5,9
5,13,4,2124,1610612739,1610612751,0,14,0,0,3,2,12
2,9,2,1602,1610612765,1610612751,0,4,1,0,5,2,11
