@relation Jason_Smith
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,6,0,1227,1610612754,1610612740,1,1,0,1,0,6,8
0,12,0,1573,1610612753,1610612740,3,0,1,1,0,3,6
0,8,2,1629,1610612766,1610612740,0,0,0,5,1,5,8
0,7,4,1586,1610612756,1610612740,1,3,0,1,1,2,13
0,8,2,1727,1610612763,1610612740,2,0,0,0,1,5,10
0,12,0,1763,1610612747,1610612740,2,0,0,0,0,1,14
0,12,4,2475,1610612756,1610612740,3,3,0,2,0,1,22
0,13,0,1669,1610612747,1610612740,0,1,2,0,0,2,8
0,9,0,1978,1610612762,1610612740,2,0,1,0,1,4,10
0,4,0,1280,1610612755,1610612740,3,0,0,3,1,4,8
0,5,6,1272,1610612762,1610612740,2,0,1,1,1,2,11
0,10,4,1547,1610612739,1610612740,2,1,1,1,2,4,11
0,9,0,1325,1610612759,1610612740,1,2,0,0,1,4,8
0,14,2,1543,1610612744,1610612740,3,1,0,1,0,2,14
0,8,0,1441,1610612755,1610612740,0,0,0,2,1,4,8
0,5,2,1446,1610612752,1610612740,1,0,1,0,0,3,5
0,17,0,2821,1610612741,1610612740,7,1,0,1,1,6,12
0,10,0,2159,1610612742,1610612740,3,1,1,1,2,2,12
0,8,2,1453,1610612760,1610612740,1,1,0,0,0,3,4
0,14,8,2419,1610612765,1610612740,3,1,0,2,1,3,22
0,7,2,1945,1610612763,1610612740,1,0,0,0,0,1,7
0,10,0,1750,1610612743,1610612740,0,1,2,4,4,5,8
0,10,0,1348,1610612744,1610612740,1,2,0,1,1,1,12
0,4,0,1344,1610612746,1610612740,1,1,0,0,0,1,2
0,9,0,888,1610612745,1610612740,1,2,0,1,0,2,10
0,11,0,1315,1610612748,1610612740,0,1,0,0,1,3,8
0,5,6,1367,1610612764,1610612740,2,2,0,0,1,3,7
0,7,1,1528,1610612742,1610612740,1,1,0,0,3,3,7
0,6,5,1139,1610612742,1610612740,2,0,0,0,1,6,10
0,9,0,1149,1610612759,1610612740,1,1,1,0,1,4,6
0,13,0,1702,1610612745,1610612740,1,2,0,1,2,5,10
0,9,0,827,1610612741,1610612752,0,0,0,0,0,3,8
0,6,2,1132,1610612739,1610612752,0,0,0,0,1,4,12
0,5,0,1159,1610612766,1610612752,1,2,0,0,2,2,6
0,7,3,1374,1610612764,1610612752,2,2,1,0,1,2,9
0,11,3,1583,1610612765,1610612752,1,0,0,1,0,2,17
0,4,0,923,1610612751,1610612752,0,2,0,0,0,4,6
0,4,0,656,1610612737,1610612752,2,1,0,1,3,4,2
0,7,0,1244,1610612737,1610612752,2,1,0,0,0,3,6
0,12,0,1450,1610612753,1610612752,0,2,0,0,1,1,10
0,8,0,1448,1610612762,1610612752,1,0,1,0,0,2,4
0,8,0,1194,1610612743,1610612752,0,1,0,0,0,0,6
0,1,0,368,1610612749,1610612752,2,1,0,0,0,1,0
0,5,8,652,1610612750,1610612752,1,1,1,0,0,0,14
0,1,4,1041,1610612755,1610612752,0,1,0,0,0,3,6
0,3,2,631,1610612745,1610612752,0,1,0,0,2,1,3
0,5,0,688,1610612742,1610612752,2,1,0,0,1,2,4
0,6,2,968,1610612760,1610612752,0,0,0,0,4,4,8
0,2,0,384,1610612748,1610612752,1,0,0,0,0,0,0
0,3,0,360,1610612751,1610612752,1,0,0,1,0,0,2
0,3,0,777,1610612739,1610612752,1,1,0,0,1,2,2
0,4,2,587,1610612766,1610612752,0,0,0,0,0,1,6
0,6,0,1428,1610612757,1610612752,1,2,0,0,3,5,8
0,4,0,1323,1610612740,1610612752,1,0,0,1,0,3,4
0,10,4,1146,1610612759,1610612752,0,1,0,0,1,4,14
0,7,2,1036,1610612738,1610612752,2,1,2,0,2,3,12
0,3,0,684,1610612761,1610612752,0,0,0,0,2,0,0
