@relation Jason_Terry
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
9,10,0,1143,1610612739,1610612751,0,1,1,0,1,3,14
4,4,0,1168,1610612748,1610612751,0,2,0,0,1,1,6
2,5,0,1311,1610612753,1610612751,1,1,0,0,1,1,8
0,0,0,631,1610612762,1610612751,0,2,0,0,0,2,0
6,9,1,1252,1610612764,1610612751,0,2,0,0,1,0,11
3,4,0,962,1610612754,1610612751,0,0,0,0,1,1,0
1,4,0,1012,1610612758,1610612751,0,1,0,0,1,3,2
1,3,2,1093,1610612756,1610612751,0,1,1,0,1,2,3
4,7,2,1513,1610612746,1610612751,0,5,0,0,0,2,9
4,7,0,1087,1610612757,1610612751,0,1,0,0,0,1,5
0,1,0,265,1610612766,1610612751,0,1,1,0,0,2,0
6,7,1,908,1610612754,1610612751,0,0,0,0,1,1,11
2,2,2,1412,1610612741,1610612751,0,1,0,0,1,1,1
5,7,0,1147,1610612749,1610612751,0,1,0,0,0,0,12
1,4,1,1089,1610612754,1610612751,0,1,0,0,1,3,3
0,0,0,292,1610612759,1610612751,0,0,0,0,1,3,0
1,1,0,274,1610612760,1610612751,0,0,0,0,0,0,0
1,1,0,42,1610612739,1610612751,0,0,0,0,0,0,3
4,5,0,632,1610612737,1610612751,1,2,0,0,0,1,0
3,5,0,962,1610612744,1610612751,0,2,0,0,2,2,3
1,3,0,1083,1610612748,1610612751,0,1,0,0,0,3,2
2,4,0,950,1610612761,1610612751,0,1,0,0,1,1,5
5,7,0,1555,1610612737,1610612751,0,7,1,0,0,1,5
3,3,0,1267,1610612752,1610612751,0,1,1,0,1,3,3
1,2,2,1303,1610612753,1610612751,1,0,1,0,0,1,5
5,6,0,1134,1610612742,1610612751,0,2,3,0,4,3,8
3,3,0,980,1610612738,1610612751,0,3,0,0,1,0,3
0,1,0,383,1610612761,1610612751,0,0,0,0,0,0,0
5,6,0,1161,1610612760,1610612751,0,2,0,0,1,2,11
2,4,2,761,1610612754,1610612751,0,2,0,0,1,1,1
2,5,0,749,1610612755,1610612751,0,2,0,0,2,1,3
9,11,0,1499,1610612765,1610612751,0,2,2,0,0,2,18
5,5,2,1273,1610612740,1610612751,0,5,2,0,1,0,1
3,4,0,1204,1610612766,1610612751,0,3,0,0,2,1,3
0,2,0,722,1610612741,1610612751,1,1,0,0,0,0,0
3,5,0,1283,1610612747,1610612745,0,1,0,0,1,0,8
3,5,0,1276,1610612762,1610612745,0,0,0,0,2,1,8
5,5,1,1376,1610612738,1610612745,0,1,1,2,1,1,7
5,8,0,1360,1610612755,1610612745,0,0,1,0,0,1,8
3,4,0,1119,1610612748,1610612745,1,1,1,0,0,2,3
5,5,4,1243,1610612759,1610612745,0,2,2,0,1,0,16
6,8,3,1759,1610612744,1610612745,0,1,2,0,3,2,11
3,3,0,1391,1610612750,1610612745,0,3,1,1,1,4,9
6,7,0,1325,1610612755,1610612745,0,0,3,1,1,1,6
2,2,0,1152,1610612760,1610612745,1,1,0,0,0,3,0
5,5,3,1055,1610612763,1610612745,0,2,1,0,3,0,8
4,7,0,1208,1610612747,1610612745,0,2,0,1,2,1,5
6,10,0,1501,1610612742,1610612745,2,5,0,0,2,0,7
5,7,0,1301,1610612752,1610612745,0,1,1,0,1,0,8
4,5,0,961,1610612758,1610612745,0,1,1,0,1,2,5
3,6,0,1327,1610612746,1610612745,0,2,2,1,0,3,2
8,15,0,2087,1610612749,1610612745,2,5,0,0,0,2,18
7,10,5,1865,1610612763,1610612745,0,5,4,0,2,2,16
8,16,3,2578,1610612750,1610612745,0,6,1,0,0,2,19
3,9,0,2325,1610612756,1610612745,0,2,2,0,2,3,13
5,7,0,1699,1610612744,1610612745,0,1,1,0,2,1,2
10,12,2,2102,1610612758,1610612745,0,0,0,0,1,2,13
8,9,0,1525,1610612743,1610612745,0,0,1,0,3,1,8
