@relation Jeremy_Evans
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,4,0,777,1610612740,1610612762,1,1,1,1,2,4,8
0,7,0,960,1610612742,1610612762,2,0,0,2,1,2,14
0,2,0,1055,1610612760,1610612762,1,1,1,1,2,1,2
0,7,1,1393,1610612741,1610612762,4,2,2,0,2,3,9
0,8,2,1576,1610612756,1610612762,3,1,2,1,1,4,10
0,4,5,1194,1610612756,1610612762,1,1,1,0,0,4,12
0,4,2,1033,1610612745,1610612762,1,2,0,1,2,4,3
0,7,2,1105,1610612757,1610612762,7,1,1,0,0,4,10
0,9,0,1756,1610612758,1610612762,4,0,0,2,0,6,8
0,9,0,2259,1610612757,1610612762,4,2,1,2,0,4,6
0,8,1,1226,1610612758,1610612762,1,3,0,1,0,1,9
0,9,4,1293,1610612743,1610612762,4,0,0,0,0,2,10
0,7,0,1250,1610612759,1610612762,4,2,1,2,1,0,4
0,6,0,1068,1610612748,1610612762,0,0,0,0,1,2,4
0,5,0,857,1610612753,1610612762,0,0,0,0,0,0,4
0,10,2,1361,1610612737,1610612762,3,1,0,1,1,3,10
0,5,2,787,1610612766,1610612762,1,1,0,1,0,1,2
0,6,0,902,1610612763,1610612762,1,1,1,2,0,1,8
1,4,2,734,1610612747,1610612762,2,0,0,0,0,2,5
0,4,0,963,1610612746,1610612762,0,0,1,0,1,3,6
0,3,0,818,1610612766,1610612762,2,1,0,0,0,2,0
0,4,0,1157,1610612749,1610612762,1,0,1,1,0,2,2
0,6,1,1034,1610612747,1610612762,3,1,0,0,0,3,11
0,2,2,417,1610612760,1610612762,0,0,0,0,0,1,4
0,3,1,917,1610612739,1610612762,2,1,0,0,0,2,6
0,4,2,913,1610612743,1610612762,3,0,0,1,0,3,6
0,5,0,978,1610612759,1610612762,0,0,0,0,1,1,6
0,5,2,1368,1610612765,1610612762,1,2,0,1,0,2,9
0,7,4,1521,1610612750,1610612762,5,2,2,1,2,2,9
0,11,0,1761,1610612750,1610612762,2,2,0,0,0,3,10
0,2,2,828,1610612764,1610612762,0,0,1,0,0,0,4
0,8,12,1187,1610612758,1610612762,7,1,1,1,0,1,14
0,8,0,1003,1610612744,1610612762,1,1,0,0,0,0,10
0,3,1,1174,1610612742,1610612762,1,0,1,0,0,2,5
1,4,0,1202,1610612748,1610612762,1,1,1,0,1,2,6
0,10,0,1531,1610612747,1610612762,3,0,3,2,0,3,14
0,7,0,1081,1610612755,1610612762,2,0,1,1,0,2,10
0,3,1,1225,1610612751,1610612762,4,0,1,0,0,1,3
0,1,0,1028,1610612757,1610612762,0,0,0,0,1,4,2
0,3,6,1493,1610612750,1610612762,1,2,1,0,0,4,9
0,4,0,1094,1610612738,1610612762,0,0,2,4,0,3,4
0,7,2,1554,1610612756,1610612762,2,0,1,1,4,5,11
0,0,0,854,1610612739,1610612762,1,0,0,1,2,0,0
0,6,0,1192,1610612754,1610612762,5,0,0,2,1,2,4
0,3,0,940,1610612749,1610612762,1,0,0,1,0,3,4
0,8,0,1492,1610612764,1610612762,1,0,0,1,0,0,8
0,4,0,714,1610612752,1610612762,2,0,0,0,0,2,4
0,2,0,535,1610612755,1610612762,1,0,0,0,0,0,0
0,2,2,662,1610612737,1610612762,0,0,0,0,0,3,3
0,7,1,1084,1610612742,1610612762,2,1,0,0,1,3,9
0,6,0,1288,1610612746,1610612762,0,0,1,1,0,1,6
0,2,0,585,1610612759,1610612762,1,1,1,0,0,2,4
0,4,0,1349,1610612745,1610612762,1,0,1,1,0,2,2
0,1,0,349,1610612763,1610612762,0,0,0,1,1,2,0
0,1,0,488,1610612765,1610612762,0,0,0,0,0,1,0
0,3,0,490,1610612763,1610612762,0,0,0,0,1,0,2
0,3,0,546,1610612740,1610612762,0,1,1,0,1,2,2
0,1,0,332,1610612760,1610612762,1,2,0,0,0,1,2
0,0,0,77,1610612752,1610612762,0,0,0,0,0,0,0
0,1,2,1004,1610612740,1610612762,1,1,0,0,2,4,3
0,8,2,1379,1610612744,1610612762,3,1,2,0,0,1,8
0,9,0,1937,1610612742,1610612762,6,0,1,1,2,2,6
0,3,0,1458,1610612757,1610612762,0,0,3,2,0,0,4
0,7,5,1235,1610612743,1610612762,1,1,1,2,1,3,10
0,3,2,1441,1610612747,1610612762,2,3,0,0,1,0,3
0,13,2,2287,1610612750,1610612762,6,0,3,3,4,6,18
0,1,0,231,1610612742,1610612762,0,0,0,0,0,0,0
0,0,0,12,1610612754,1610612762,0,0,0,0,0,0,0
0,0,0,128,1610612761,1610612762,0,0,0,0,0,0,0
0,0,0,148,1610612760,1610612762,0,0,0,0,0,0,0
0,1,0,267,1610612744,1610612762,0,1,0,1,0,0,2
0,0,0,129,1610612758,1610612762,0,0,0,0,0,0,0
0,2,0,369,1610612748,1610612762,2,0,0,0,1,1,2
1,3,1,316,1610612764,1610612762,0,0,0,1,0,2,3
0,1,0,286,1610612740,1610612762,1,0,0,0,0,1,0
1,4,2,875,1610612750,1610612762,1,0,1,2,1,0,9
0,1,0,189,1610612754,1610612762,0,0,0,0,0,0,0
0,0,0,171,1610612741,1610612762,0,1,0,0,0,0,0
0,1,2,522,1610612745,1610612762,2,1,2,1,0,1,2
0,1,0,152,1610612744,1610612762,0,0,0,0,0,0,0
0,3,0,277,1610612759,1610612762,0,0,1,2,0,0,4
0,0,0,88,1610612739,1610612762,0,0,0,0,0,0,0
0,1,0,116,1610612751,1610612762,0,0,0,1,0,0,0
0,0,0,366,1610612759,1610612762,1,0,0,0,0,0,0
0,0,0,805,1610612743,1610612762,1,1,0,1,0,3,0
0,3,1,439,1610612738,1610612762,0,0,0,0,0,1,4
0,1,2,294,1610612755,1610612762,0,1,0,1,0,1,2
0,0,0,245,1610612752,1610612762,0,0,0,0,0,3,0
0,0,0,31,1610612745,1610612762,0,0,0,0,0,0,0
0,1,0,728,1610612757,1610612762,1,1,0,0,0,0,2
0,1,0,259,1610612747,1610612762,0,1,0,0,0,0,2
0,0,2,357,1610612766,1610612762,0,0,1,0,1,0,2
0,0,0,138,1610612750,1610612762,1,0,0,0,0,0,0
0,0,2,735,1610612743,1610612762,1,2,0,0,0,3,2
0,2,0,429,1610612760,1610612762,2,0,0,0,0,0,4
1,4,0,1098,1610612750,1610612762,2,0,0,0,0,4,4
0,1,0,300,1610612743,1610612762,1,0,0,0,0,1,2
0,6,2,475,1610612758,1610612762,2,0,1,1,1,0,10
0,0,4,554,1610612758,1610612762,0,0,0,0,1,3,4
1,2,0,580,1610612763,1610612762,0,0,0,0,0,1,3
0,5,6,890,1610612757,1610612762,3,1,1,0,0,2,12
0,1,2,946,1610612742,1610612762,0,0,2,0,0,0,1
1,9,3,1300,1610612745,1610612762,4,3,2,0,0,1,10
1,4,0,1544,1610612756,1610612742,1,0,1,1,0,1,7
1,1,2,1442,1610612746,1610612742,1,0,0,0,1,1,2
0,0,0,59,1610612747,1610612742,0,0,0,0,0,0,0
1,1,0,575,1610612766,1610612742,0,0,0,0,0,0,0
0,1,2,784,1610612740,1610612742,0,0,0,1,0,1,3
0,3,3,741,1610612740,1610612742,0,0,0,0,1,1,8
0,0,0,45,1610612746,1610612742,0,0,0,0,1,0,0
0,4,0,860,1610612745,1610612742,1,1,0,1,0,3,4
0,0,0,84,1610612755,1610612742,0,0,0,0,1,0,0
0,0,0,78,1610612738,1610612742,0,0,0,0,1,1,0
0,0,0,17,1610612762,1610612742,0,0,0,0,0,0,0
1,1,0,261,1610612763,1610612742,0,0,0,1,0,1,3
0,0,2,241,1610612743,1610612742,1,0,0,0,0,1,2
