@relation Jimmy_Butler
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
4,12,7,1795,1610612748,1610612741,0,3,5,1,2,4,20
4,11,6,2487,1610612752,1610612741,3,1,3,1,1,0,11
1,6,2,2341,1610612755,1610612741,1,4,1,2,2,0,9
3,6,2,1546,1610612754,1610612741,3,1,1,1,3,1,7
4,5,0,1635,1610612762,1610612741,0,3,2,0,1,1,5
4,13,2,1447,1610612739,1610612741,1,0,1,0,1,0,11
3,7,6,2025,1610612761,1610612741,2,2,1,1,1,2,14
1,3,6,1478,1610612754,1610612741,0,1,1,1,1,1,10
2,6,5,1332,1610612766,1610612741,1,0,2,0,0,0,14
4,12,8,2195,1610612749,1610612741,1,1,3,0,3,2,16
3,6,3,1772,1610612761,1610612741,1,0,1,1,1,0,11
4,11,2,1650,1610612753,1610612741,2,2,1,1,0,1,4
1,15,5,2111,1610612745,1610612741,1,0,2,0,1,1,20
2,2,7,1000,1610612760,1610612741,0,0,1,1,1,1,3
4,10,6,1997,1610612751,1610612741,1,4,1,0,0,2,15
7,10,6,2743,1610612742,1610612741,1,5,1,0,7,1,11
3,10,14,2447,1610612763,1610612741,0,2,0,0,2,3,26
2,13,6,2254,1610612761,1610612741,0,1,2,1,2,3,15
2,7,8,2009,1610612738,1610612741,2,2,2,1,1,5,10
5,11,4,2298,1610612737,1610612741,1,3,5,1,0,0,11
4,18,6,2436,1610612756,1610612741,1,3,4,0,2,0,13
2,8,4,2417,1610612749,1610612741,0,0,0,1,3,3,10
4,10,2,2248,1610612764,1610612741,2,1,1,0,0,0,12
9,17,8,3620,1610612753,1610612741,2,6,2,2,4,3,21
5,9,4,2329,1610612764,1610612741,0,4,4,0,2,0,9
4,11,2,1919,1610612755,1610612741,1,4,1,0,1,2,10
4,19,2,2981,1610612747,1610612741,5,5,4,1,3,2,13
7,12,2,2522,1610612739,1610612741,1,1,2,1,1,2,10
5,15,2,2477,1610612746,1610612741,2,3,2,0,0,1,9
2,7,0,2539,1610612766,1610612741,1,3,4,0,1,0,4
4,12,4,2438,1610612750,1610612741,3,3,2,0,2,2,16
2,11,5,2513,1610612759,1610612741,3,1,3,2,0,2,19
5,9,8,2592,1610612740,1610612741,2,2,0,0,2,2,10
3,11,10,2190,1610612758,1610612741,2,1,3,0,0,4,17
4,14,8,2625,1610612756,1610612741,1,4,3,0,2,3,18
3,9,5,2790,1610612744,1610612741,3,2,1,0,2,0,14
5,13,0,2428,1610612747,1610612741,0,2,2,0,4,0,9
0,9,4,2230,1610612737,1610612741,5,1,1,0,2,0,12
0,8,2,2762,1610612751,1610612741,0,4,3,2,1,2,14
1,11,6,2757,1610612761,1610612741,1,6,1,3,0,1,16
2,4,1,667,1610612743,1610612741,1,2,0,0,0,0,8
1,10,6,2195,1610612744,1610612741,1,2,2,3,1,3,16
4,13,11,2658,1610612742,1610612741,1,3,1,1,0,0,19
4,13,14,2502,1610612752,1610612741,2,4,3,0,1,3,19
3,11,9,2596,1610612751,1610612741,1,2,4,0,5,2,13
3,15,6,2760,1610612765,1610612741,3,4,3,0,3,2,18
0,3,6,2556,1610612763,1610612741,1,2,2,0,1,0,8
6,15,6,2870,1610612748,1610612741,2,0,4,2,2,1,16
5,14,6,2176,1610612759,1610612741,4,2,0,0,1,1,23
1,8,2,1653,1610612745,1610612741,0,5,2,0,1,3,11
4,11,4,2290,1610612758,1610612741,0,2,1,0,1,4,5
6,12,6,2751,1610612760,1610612741,0,2,2,0,1,1,13
2,8,5,2759,1610612755,1610612741,1,4,2,2,5,4,16
6,11,4,2721,1610612754,1610612741,1,1,5,0,1,3,17
3,8,10,2730,1610612755,1610612741,3,6,1,0,2,3,17
