@relation Jodie_Meeks
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
6,8,2,1535,1610612746,1610612747,0,2,1,0,2,2,13
3,8,6,1336,1610612744,1610612747,1,0,0,0,2,0,14
3,9,3,1655,1610612759,1610612747,0,0,1,0,1,0,14
2,5,0,1018,1610612737,1610612747,0,2,1,0,0,0,5
5,10,2,1318,1610612742,1610612747,0,0,1,0,1,0,11
7,9,1,1567,1610612745,1610612747,0,2,0,0,1,4,18
5,10,2,2495,1610612740,1610612747,1,0,1,0,0,3,11
6,10,2,1752,1610612750,1610612747,0,2,1,1,1,2,16
5,7,2,1552,1610612740,1610612747,0,0,1,0,1,3,15
3,5,2,1622,1610612743,1610612747,0,0,0,0,0,2,3
9,16,1,2276,1610612763,1610612747,0,0,1,0,2,2,25
7,11,3,1692,1610612765,1610612747,1,0,1,0,2,2,19
5,10,0,1674,1610612744,1610612747,0,0,1,0,1,1,8
4,10,1,1622,1610612758,1610612747,0,0,2,0,0,0,14
3,5,2,1682,1610612764,1610612747,1,1,0,0,2,0,10
4,10,4,1879,1610612751,1610612747,1,3,0,0,1,2,11
2,8,4,1599,1610612765,1610612747,1,0,3,0,0,1,10
8,14,6,2078,1610612757,1610612747,0,3,0,0,1,2,20
6,11,0,2007,1610612758,1610612747,2,1,0,0,0,1,19
5,12,0,2120,1610612761,1610612747,0,3,2,0,3,3,14
5,10,3,1960,1610612756,1610612747,1,1,1,0,0,0,13
7,16,2,2161,1610612760,1610612747,1,1,0,0,5,2,9
1,4,0,1376,1610612766,1610612747,1,0,1,0,0,1,2
3,8,0,1479,1610612737,1610612747,1,2,1,0,2,0,2
8,10,0,2025,1610612763,1610612747,0,0,2,0,1,1,13
5,10,4,2540,1610612750,1610612747,0,4,1,0,2,2,17
3,11,5,2006,1610612744,1610612747,1,4,3,0,4,0,13
5,15,7,2383,1610612756,1610612747,1,4,3,0,1,3,18
