@relation John_Lucas_III
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
5,7,2,2194,1610612760,1610612762,0,5,0,0,1,2,8
6,10,1,1864,1610612756,1610612762,0,1,0,0,1,3,5
5,11,1,1850,1610612745,1610612762,3,4,0,0,0,2,11
5,12,0,2055,1610612751,1610612762,1,3,1,0,3,1,9
1,4,0,793,1610612738,1610612762,0,0,0,0,2,1,4
4,9,0,1769,1610612741,1610612762,1,1,3,0,1,0,9
2,3,0,984,1610612761,1610612762,0,1,0,0,0,1,3
2,8,0,2039,1610612743,1610612762,1,2,0,0,0,2,4
6,7,1,927,1610612740,1610612762,0,0,0,0,2,1,1
0,3,0,540,1610612759,1610612762,0,0,0,0,0,2,4
1,3,0,1506,1610612744,1610612762,0,4,0,0,0,2,7
0,2,0,679,1610612744,1610612762,0,0,0,0,1,1,2
5,8,0,976,1610612740,1610612762,1,2,0,0,2,0,14
1,3,0,742,1610612742,1610612762,0,2,0,0,0,1,2
1,1,1,427,1610612760,1610612762,0,1,0,0,0,0,0
1,8,1,1127,1610612741,1610612762,0,1,0,0,0,0,3
4,6,0,999,1610612756,1610612762,0,1,1,0,0,1,6
3,10,2,720,1610612757,1610612762,0,0,1,0,0,0,10
0,3,0,257,1610612758,1610612762,0,2,0,0,0,2,0
1,2,0,640,1610612759,1610612762,0,1,0,0,0,1,3
0,0,0,142,1610612748,1610612762,0,0,0,0,0,0,0
3,13,0,1125,1610612737,1610612762,0,1,3,0,1,0,8
2,3,0,985,1610612766,1610612762,1,3,0,0,0,1,3
3,4,0,740,1610612763,1610612762,0,1,0,0,0,0,6
3,6,0,807,1610612747,1610612762,0,0,1,0,0,0,0
2,4,0,639,1610612746,1610612762,0,0,0,0,1,2,2
0,4,1,590,1610612739,1610612762,0,1,0,0,1,1,8
2,4,0,318,1610612743,1610612762,1,0,0,0,0,0,0
0,0,0,261,1610612759,1610612762,0,0,1,0,2,2,0
0,1,0,313,1610612765,1610612762,0,0,0,0,0,1,0
1,1,0,287,1610612750,1610612762,0,0,0,0,0,0,0
1,5,0,1132,1610612750,1610612762,1,0,0,0,1,3,8
1,2,4,1251,1610612758,1610612762,0,0,1,0,1,3,2
2,4,0,864,1610612742,1610612762,0,2,1,0,1,2,5
2,4,0,340,1610612756,1610612762,0,0,0,0,0,1,3
1,1,0,166,1610612739,1610612762,0,0,0,0,0,0,3
1,2,0,313,1610612752,1610612762,0,1,0,0,0,0,0
0,1,2,160,1610612759,1610612762,1,0,0,0,0,0,1
3,7,0,736,1610612745,1610612762,1,2,1,0,0,0,2
1,1,0,497,1610612753,1610612762,0,0,0,0,1,2,0
2,2,0,452,1610612765,1610612762,0,0,0,0,0,0,0
1,1,0,281,1610612760,1610612762,0,0,0,0,0,0,3
2,4,0,370,1610612748,1610612765,0,1,0,0,0,0,3
3,6,0,942,1610612754,1610612765,0,6,0,0,0,0,10
0,4,0,825,1610612743,1610612765,0,5,0,0,0,2,4
2,5,0,774,1610612750,1610612765,0,3,1,0,2,1,3
1,3,0,962,1610612766,1610612765,2,4,1,0,0,4,0
1,6,0,729,1610612759,1610612765,0,6,1,0,1,0,9
4,8,0,1038,1610612741,1610612765,0,1,0,0,0,1,9
0,2,0,215,1610612739,1610612765,0,0,0,0,1,0,2
1,5,2,1006,1610612752,1610612765,0,5,0,0,1,2,4
0,4,0,870,1610612766,1610612765,0,2,2,0,1,0,4
2,3,0,417,1610612747,1610612765,0,2,0,0,0,1,0
0,0,0,253,1610612757,1610612765,0,1,0,0,0,0,0
3,11,0,1290,1610612737,1610612765,0,3,2,0,2,1,15
2,8,2,1159,1610612766,1610612765,0,4,0,0,1,0,6
0,6,1,777,1610612741,1610612765,0,1,0,0,0,0,9
1,4,0,811,1610612748,1610612765,0,0,1,0,3,1,2
0,2,0,625,1610612738,1610612765,0,3,0,0,1,0,0
3,8,0,822,1610612754,1610612765,1,3,0,0,0,2,7
0,2,0,329,1610612739,1610612765,0,1,0,0,0,0,0
3,5,0,990,1610612752,1610612765,0,3,0,0,1,2,2
