@relation Jordan_Crawford
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
1,5,0,1058,1610612761,1610612738,2,5,0,0,1,2,7
0,1,5,692,1610612749,1610612738,0,1,0,0,0,0,7
4,10,2,1318,1610612765,1610612738,0,1,1,0,3,0,13
4,7,2,1477,1610612763,1610612738,0,4,3,1,1,1,12
3,9,0,1617,1610612762,1610612738,0,4,0,1,0,2,7
2,13,3,1833,1610612753,1610612738,1,5,1,0,2,1,13
5,10,0,1664,1610612748,1610612738,0,4,2,0,3,2,15
1,12,2,1956,1610612753,1610612738,1,10,1,0,0,3,16
2,15,5,2122,1610612766,1610612738,1,6,2,0,2,3,16
0,12,4,2061,1610612757,1610612738,0,5,2,0,3,2,11
3,14,0,1721,1610612750,1610612738,1,5,2,0,3,2,10
3,8,3,1385,1610612745,1610612738,0,4,2,0,3,0,6
2,9,2,1643,1610612759,1610612738,0,4,1,0,2,0,12
4,12,1,2052,1610612754,1610612738,1,4,2,0,6,2,24
5,9,8,2106,1610612737,1610612738,0,10,0,0,4,3,12
6,11,7,1679,1610612766,1610612738,0,5,0,0,2,2,21
4,8,0,2155,1610612763,1610612738,0,7,0,0,2,3,5
6,14,2,1955,1610612739,1610612738,2,10,1,0,2,4,11
4,15,6,2057,1610612749,1610612738,1,5,1,0,1,4,18
7,14,7,2328,1610612749,1610612738,1,5,1,0,2,3,25
4,13,2,2023,1610612743,1610612738,0,8,0,0,2,3,22
12,14,1,1845,1610612752,1610612738,0,7,0,0,0,0,23
5,14,3,2057,1610612751,1610612738,0,4,1,0,1,1,15
4,17,6,2344,1610612746,1610612738,1,9,1,0,3,3,20
5,8,3,1917,1610612752,1610612738,0,6,0,0,2,1,2
4,14,2,2077,1610612750,1610612738,0,4,0,0,3,2,15
7,15,8,2120,1610612765,1610612738,0,6,1,0,2,1,17
5,11,0,1995,1610612764,1610612738,1,8,0,0,5,1,11
4,11,0,1455,1610612754,1610612738,0,2,1,0,0,2,9
5,11,2,2011,1610612739,1610612738,0,5,1,0,3,1,19
7,15,1,1974,1610612737,1610612738,3,5,0,0,3,2,8
2,11,10,2285,1610612741,1610612738,0,7,0,0,5,3,22
6,14,1,2240,1610612740,1610612738,0,11,1,0,2,3,5
7,14,4,1938,1610612760,1610612738,0,7,1,0,2,2,17
1,9,4,1284,1610612743,1610612738,0,5,0,0,1,1,10
3,17,11,2206,1610612746,1610612738,2,8,2,0,5,3,24
4,12,2,2044,1610612744,1610612738,0,7,0,1,2,2,10
3,16,0,1731,1610612757,1610612738,0,6,3,0,0,2,13
3,11,7,1477,1610612745,1610612738,0,5,0,0,1,4,13
2,4,0,920,1610612760,1610612744,0,2,0,0,2,2,8
3,6,0,809,1610612740,1610612744,2,1,0,0,2,0,10
2,5,0,773,1610612754,1610612744,0,3,0,0,3,1,2
2,6,2,911,1610612750,1610612744,0,2,0,0,1,3,6
2,6,0,916,1610612757,1610612744,0,2,0,0,1,0,5
1,5,3,887,1610612764,1610612744,0,1,0,0,1,1,9
4,7,2,1072,1610612746,1610612744,0,5,0,0,2,1,5
0,5,2,943,1610612762,1610612744,1,2,1,0,0,4,3
2,5,0,980,1610612766,1610612744,0,4,2,0,3,1,2
2,10,0,1234,1610612741,1610612744,1,3,1,0,2,0,11
2,9,2,1034,1610612756,1610612744,1,0,2,0,1,1,10
1,6,0,1508,1610612755,1610612744,0,1,2,0,3,1,2
2,9,1,1108,1610612748,1610612744,0,2,0,0,0,1,9
3,10,2,788,1610612758,1610612744,0,3,1,0,0,1,10
4,8,3,858,1610612745,1610612744,0,0,0,1,1,0,12
5,10,2,1115,1610612751,1610612744,0,1,0,0,2,1,6
8,11,2,1093,1610612765,1610612744,0,1,0,0,0,0,15
3,10,5,1488,1610612741,1610612744,0,2,0,0,3,2,16
4,5,1,1094,1610612752,1610612744,0,2,1,0,4,1,1
0,3,0,330,1610612761,1610612744,0,0,0,0,0,0,2
2,5,0,406,1610612754,1610612744,0,0,0,0,1,1,7
5,12,0,1166,1610612738,1610612744,1,1,0,0,2,2,15
2,9,1,1342,1610612737,1610612744,0,2,0,0,2,2,9
2,6,0,337,1610612756,1610612744,0,0,0,0,0,0,7
6,12,0,1336,1610612742,1610612744,0,2,0,0,0,2,19
