@relation Jordan_Hamilton
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
3,6,0,1386,1610612759,1610612743,0,1,0,0,2,1,11
5,7,2,938,1610612737,1610612743,0,1,0,1,0,1,6
7,12,0,1933,1610612756,1610612743,2,0,2,0,5,0,19
5,6,0,1047,1610612762,1610612743,1,0,0,0,1,2,5
3,6,4,721,1610612747,1610612743,2,1,2,0,0,1,6
3,6,0,974,1610612750,1610612743,0,2,0,2,2,0,7
3,8,0,866,1610612745,1610612743,1,0,1,0,1,3,8
1,6,1,979,1610612760,1610612743,0,2,0,0,0,1,6
6,12,3,1330,1610612741,1610612743,2,0,1,1,1,0,17
3,5,0,697,1610612742,1610612743,0,1,0,0,0,0,3
2,8,2,1104,1610612742,1610612743,0,2,3,0,1,0,11
4,8,2,1109,1610612750,1610612743,1,2,3,0,0,0,11
4,6,0,813,1610612752,1610612743,1,0,0,0,1,3,3
4,8,2,1058,1610612761,1610612743,0,1,0,1,1,2,10
6,11,0,1028,1610612751,1610612743,0,1,0,0,0,2,15
4,5,0,625,1610612739,1610612743,0,0,1,0,2,0,3
4,7,0,887,1610612738,1610612743,0,1,0,0,0,0,5
3,5,2,1339,1610612755,1610612743,0,0,2,0,0,0,13
5,9,0,1261,1610612764,1610612743,1,1,1,0,0,0,8
6,8,1,1486,1610612762,1610612743,0,1,1,0,0,0,17
4,8,0,1597,1610612740,1610612743,2,3,1,0,2,1,2
3,6,0,975,1610612760,1610612743,1,1,1,0,1,2,4
6,10,2,1600,1610612746,1610612743,0,1,5,0,2,0,4
1,4,0,1136,1610612744,1610612743,2,0,2,2,0,0,0
6,13,2,1930,1610612740,1610612743,0,1,0,1,0,2,12
6,8,2,1568,1610612763,1610612743,0,0,0,1,1,2,12
2,3,0,620,1610612748,1610612743,0,1,0,0,0,2,3
1,2,0,222,1610612755,1610612743,0,0,0,1,1,0,2
1,1,0,157,1610612747,1610612743,0,0,0,0,0,1,0
1,1,0,158,1610612738,1610612743,0,1,0,0,0,0,0
2,2,0,164,1610612760,1610612743,0,0,0,0,0,0,3
3,4,0,720,1610612753,1610612743,0,1,0,2,0,0,3
1,3,0,841,1610612766,1610612743,0,0,0,0,1,3,0
0,2,0,639,1610612761,1610612743,0,0,0,0,0,0,2
0,3,0,640,1610612752,1610612743,0,0,0,0,1,0,0
0,2,2,604,1610612765,1610612743,2,0,1,0,0,0,1
4,12,3,1517,1610612754,1610612743,1,1,0,0,0,1,11
4,14,0,1995,1610612750,1610612743,2,7,3,0,1,0,16
3,7,1,1545,1610612756,1610612743,2,0,1,1,0,1,7
3,7,2,1462,1610612758,1610612745,1,2,1,1,0,3,12
8,12,0,1455,1610612746,1610612745,0,2,2,0,1,2,16
6,12,0,2000,1610612765,1610612745,0,1,0,1,1,3,13
0,3,2,1105,1610612748,1610612745,0,0,0,0,0,3,4
3,4,0,1064,1610612753,1610612745,1,0,1,1,1,1,3
5,7,0,1036,1610612754,1610612745,0,0,2,1,3,1,7
3,8,0,941,1610612757,1610612745,3,0,0,0,1,1,4
2,2,4,554,1610612760,1610612745,0,0,0,0,0,1,3
5,7,4,1100,1610612741,1610612745,0,1,0,0,1,0,12
0,2,0,438,1610612748,1610612745,0,0,0,1,0,2,0
4,7,2,1149,1610612762,1610612745,0,1,0,1,2,3,15
2,4,2,933,1610612750,1610612745,0,1,2,0,0,2,3
1,2,0,644,1610612739,1610612745,0,1,0,0,2,2,0
4,5,0,774,1610612766,1610612745,0,1,1,0,0,2,6
3,5,0,710,1610612755,1610612745,1,0,0,0,2,2,3
4,8,2,877,1610612751,1610612745,0,3,1,0,2,2,7
0,1,0,191,1610612761,1610612745,0,0,0,0,1,1,0
1,4,0,413,1610612747,1610612745,0,0,0,0,0,1,2
6,9,2,1797,1610612743,1610612745,3,1,2,1,1,1,11
2,3,0,703,1610612740,1610612745,0,1,0,0,0,1,3
7,10,0,1623,1610612740,1610612745,0,3,1,0,1,2,14
0,0,0,48,1610612763,1610612746,0,0,0,0,0,1,0
0,0,0,97,1610612741,1610612746,0,0,0,0,0,1,0
6,10,0,1550,1610612750,1610612746,0,1,0,0,0,3,10
1,3,0,1084,1610612757,1610612746,1,0,0,0,0,2,3
0,1,0,518,1610612744,1610612746,0,1,0,0,3,1,0
0,0,0,183,1610612750,1610612746,0,0,0,0,0,1,0
4,7,0,438,1610612742,1610612746,0,0,0,0,0,0,11
3,5,0,667,1610612745,1610612746,0,0,0,0,0,1,8
0,0,0,100,1610612764,1610612746,0,0,0,0,0,1,0
4,4,0,1170,1610612752,1610612746,0,3,1,0,1,0,3
1,1,0,680,1610612755,1610612746,0,2,0,0,0,1,0
1,1,0,194,1610612743,1610612746,0,0,0,0,0,2,0
1,3,0,360,1610612747,1610612746,1,0,0,0,0,0,3
0,0,0,236,1610612756,1610612746,0,0,1,0,0,0,0
