@relation Justin_Holiday
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,0,267,1610612758,1610612744,0,1,0,1,0,1,0
0,0,0,103,1610612747,1610612744,0,0,0,0,0,0,0
1,2,0,588,1610612766,1610612744,0,1,0,0,1,0,0
2,4,0,551,1610612747,1610612744,0,0,0,0,2,2,3
1,3,2,397,1610612762,1610612744,0,0,0,0,1,0,1
0,0,0,11,1610612748,1610612744,0,0,0,0,0,0,0
1,2,0,396,1610612753,1610612744,0,1,1,0,0,1,0
0,1,0,110,1610612740,1610612744,0,0,0,0,0,0,2
1,2,0,389,1610612750,1610612744,0,0,0,0,1,0,3
0,1,0,167,1610612740,1610612744,0,0,1,0,0,1,2
1,1,0,396,1610612760,1610612744,0,0,0,0,0,2,0
7,12,1,1222,1610612758,1610612744,0,3,0,0,0,0,18
4,6,3,1115,1610612747,1610612744,1,0,1,0,1,2,11
2,3,1,658,1610612746,1610612744,0,1,0,1,1,0,6
4,6,0,892,1610612750,1610612744,0,1,1,1,0,2,2
4,10,2,901,1610612755,1610612744,1,2,1,1,2,1,11
2,5,2,1114,1610612761,1610612744,0,2,2,0,1,2,9
3,6,4,1700,1610612760,1610612744,0,3,2,0,2,3,12
1,3,0,478,1610612754,1610612744,1,0,0,0,0,0,3
2,8,1,1102,1610612739,1610612744,1,1,1,0,0,1,14
3,10,2,999,1610612762,1610612744,1,0,5,0,0,0,9
2,5,1,789,1610612748,1610612744,0,2,0,1,0,1,7
3,5,0,712,1610612760,1610612744,0,0,2,0,0,1,0
0,4,0,1032,1610612745,1610612744,0,4,1,0,0,1,4
5,5,0,845,1610612743,1610612744,0,2,1,0,1,0,6
2,2,0,299,1610612745,1610612744,0,0,1,0,1,0,0
5,8,0,1487,1610612758,1610612744,2,2,0,1,0,1,5
1,5,4,927,1610612738,1610612744,0,0,2,0,0,1,9
1,2,0,565,1610612741,1610612744,0,0,0,0,0,2,2
1,4,0,615,1610612762,1610612744,1,1,0,0,2,1,2
1,1,0,254,1610612756,1610612744,0,0,0,0,1,2,0
2,3,0,144,1610612758,1610612744,0,0,0,0,0,0,0
0,2,0,370,1610612754,1610612744,0,1,1,0,0,0,2
0,1,0,39,1610612739,1610612744,0,0,0,0,0,0,2
4,7,0,771,1610612761,1610612744,0,1,1,0,1,2,0
2,2,0,382,1610612738,1610612744,0,0,0,0,0,1,0
1,3,0,600,1610612751,1610612744,0,0,1,0,0,0,3
0,0,2,366,1610612749,1610612744,0,0,0,0,0,1,2
0,1,0,237,1610612742,1610612744,0,1,0,0,0,0,0
0,0,0,226,1610612746,1610612744,1,0,0,0,0,0,0
1,2,0,176,1610612756,1610612744,0,0,0,0,1,0,0
7,16,0,2133,1610612743,1610612744,0,1,1,1,1,1,23
6,9,2,1346,1610612752,1610612744,0,0,2,1,0,1,13
0,0,0,105,1610612759,1610612744,0,0,0,0,0,0,0
2,3,2,648,1610612747,1610612744,0,0,3,0,1,1,3
2,8,0,1283,1610612740,1610612744,0,1,2,0,0,2,6
1,3,0,1085,1610612762,1610612744,1,1,0,0,1,2,7
0,4,0,549,1610612764,1610612744,0,1,1,0,0,1,4
3,5,0,1095,1610612757,1610612744,0,0,0,0,1,2,4
1,1,0,95,1610612763,1610612744,0,0,0,0,0,1,0
3,3,0,509,1610612749,1610612744,0,2,1,1,0,0,3
0,1,0,163,1610612756,1610612744,0,0,1,0,0,0,2
2,4,0,584,1610612742,1610612744,0,0,1,1,1,2,0
4,6,0,1077,1610612759,1610612744,0,1,0,0,0,1,8
1,4,0,614,1610612757,1610612744,0,0,0,1,1,0,2
0,5,0,725,1610612750,1610612744,0,2,0,0,1,3,4
0,3,6,383,1610612763,1610612744,0,0,0,0,1,1,6
4,7,6,1182,1610612743,1610612744,1,4,2,0,1,2,14
0,0,0,35,1610612763,1610612744,0,0,0,0,0,0,0
1,1,0,116,1610612763,1610612744,0,0,0,0,0,1,3
0,1,0,164,1610612763,1610612744,0,0,0,0,0,0,0
0,0,0,128,1610612739,1610612744,0,0,0,0,0,0,0
1,2,0,776,1610612752,1610612737,0,0,0,0,0,1,2
5,7,0,769,1610612748,1610612737,0,1,1,0,1,1,7
2,9,0,1746,1610612751,1610612737,0,2,1,4,1,1,6
0,3,0,895,1610612740,1610612737,0,1,0,0,1,2,4
5,6,0,1001,1610612764,1610612737,2,1,1,0,0,1,6
2,2,0,256,1610612740,1610612737,0,0,0,0,0,1,0
3,4,0,853,1610612738,1610612737,0,1,0,0,1,1,5
1,1,0,628,1610612762,1610612737,0,1,1,0,0,1,0
2,2,0,1369,1610612751,1610612737,0,0,2,0,2,1,3
5,7,0,1058,1610612758,1610612737,1,1,1,0,2,0,6
4,8,2,954,1610612739,1610612737,0,0,0,0,0,1,9
0,0,0,171,1610612738,1610612737,0,0,0,0,0,0,0
2,3,0,496,1610612759,1610612737,0,0,0,0,0,0,5
