@relation Kent_Bazemore
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
2,5,2,733,1610612747,1610612744,0,4,1,0,1,0,7
0,0,0,177,1610612746,1610612744,0,1,0,0,0,0,0
1,5,0,800,1610612758,1610612744,1,0,0,0,1,2,6
2,6,4,782,1610612755,1610612744,1,1,2,1,2,2,7
0,0,0,90,1610612750,1610612744,0,0,1,0,0,0,0
1,3,2,447,1610612763,1610612744,0,1,1,0,1,0,3
1,2,0,540,1610612765,1610612744,0,0,0,0,3,3,3
0,1,0,179,1610612762,1610612744,0,0,0,0,0,0,2
0,1,0,166,1610612762,1610612744,0,0,0,0,1,0,0
1,1,0,315,1610612763,1610612744,0,0,0,0,1,1,0
1,4,0,502,1610612747,1610612744,0,0,0,0,1,2,2
0,2,6,688,1610612757,1610612744,0,0,0,1,1,4,5
1,1,0,174,1610612740,1610612744,0,0,0,0,0,0,0
1,1,0,117,1610612761,1610612744,0,0,0,0,0,1,0
3,6,4,1008,1610612745,1610612744,0,1,1,0,2,2,12
0,1,0,206,1610612763,1610612744,0,0,0,0,0,0,0
0,0,0,118,1610612766,1610612744,0,0,0,0,0,1,0
0,0,0,27,1610612742,1610612744,0,0,0,0,0,0,0
0,0,0,7,1610612745,1610612744,0,0,0,0,0,0,0
2,2,2,431,1610612756,1610612744,0,0,0,0,1,2,1
0,1,2,381,1610612740,1610612744,0,0,0,1,1,2,1
1,2,0,312,1610612759,1610612744,0,0,0,0,2,2,2
1,5,0,661,1610612747,1610612744,0,1,0,0,0,3,5
2,4,0,324,1610612743,1610612744,0,0,0,0,0,1,5
0,0,0,288,1610612746,1610612744,0,1,0,0,0,1,0
2,4,0,1033,1610612756,1610612744,1,2,2,0,1,1,4
0,1,0,261,1610612739,1610612744,0,1,0,1,1,2,0
4,9,4,1014,1610612753,1610612744,1,3,0,0,2,3,12
0,1,0,262,1610612748,1610612744,0,0,0,0,2,1,2
3,5,4,880,1610612737,1610612744,0,1,1,1,1,0,4
2,4,0,518,1610612764,1610612744,0,0,0,0,1,0,2
1,4,0,847,1610612749,1610612744,1,1,1,1,1,1,6
0,1,2,159,1610612751,1610612744,0,0,0,0,0,1,1
1,2,0,264,1610612743,1610612744,0,0,0,0,0,2,0
0,1,0,109,1610612760,1610612744,0,0,1,0,1,0,0
1,1,0,192,1610612740,1610612744,0,0,0,0,0,0,0
0,0,0,81,1610612757,1610612744,0,0,0,0,0,0,0
0,0,0,9,1610612764,1610612744,0,0,0,0,0,0,0
1,1,0,151,1610612746,1610612744,0,1,0,0,0,0,0
0,0,0,41,1610612762,1610612744,0,0,0,0,0,0,0
0,2,0,112,1610612766,1610612744,0,1,0,0,0,0,0
1,1,0,34,1610612741,1610612744,0,0,0,0,0,0,0
0,0,2,123,1610612756,1610612744,0,0,0,0,0,0,1
3,7,2,506,1610612755,1610612744,0,0,1,0,0,2,8
5,10,4,1999,1610612738,1610612747,0,4,2,0,2,0,15
3,13,6,1761,1610612751,1610612747,0,1,2,0,4,3,17
5,19,8,2312,1610612754,1610612747,0,3,3,0,3,5,23
4,9,8,2337,1610612763,1610612747,0,4,1,0,4,3,14
4,11,0,1612,1610612758,1610612747,1,0,2,2,2,2,12
5,9,2,1678,1610612757,1610612747,0,2,0,0,2,3,14
9,17,4,2078,1610612740,1610612747,0,3,1,1,1,2,23
4,9,10,1927,1610612746,1610612747,1,6,1,1,5,3,14
3,3,0,976,1610612743,1610612747,0,3,0,0,2,2,3
5,11,0,1220,1610612760,1610612747,0,2,0,1,1,1,11
5,17,1,1637,1610612760,1610612747,0,1,1,0,2,4,16
2,9,6,1567,1610612759,1610612747,0,1,1,0,1,1,10
7,11,0,1755,1610612759,1610612747,0,3,6,0,2,2,13
0,3,3,632,1610612764,1610612747,0,1,0,0,2,1,3
1,7,0,1415,1610612753,1610612747,0,8,1,0,0,4,8
4,14,2,1966,1610612752,1610612747,0,5,1,0,2,3,18
1,7,2,1060,1610612749,1610612747,0,2,0,0,5,4,9
4,18,3,2136,1610612750,1610612747,1,4,3,1,1,5,21
2,7,5,1964,1610612756,1610612747,0,5,2,1,5,4,12
4,10,4,1821,1610612757,1610612747,0,1,2,0,1,2,17
6,18,0,1852,1610612758,1610612747,1,6,2,0,3,2,14
5,11,5,2213,1610612742,1610612747,1,2,0,0,1,3,13
1,3,0,685,1610612746,1610612747,0,4,0,0,0,1,2
0,2,0,664,1610612761,1610612737,0,0,1,1,0,1,2
1,3,0,956,1610612754,1610612737,1,2,0,0,2,1,3
1,5,2,666,1610612759,1610612737,0,1,0,0,0,2,2
0,0,0,8,1610612766,1610612737,0,0,0,0,0,0,0
0,0,0,541,1610612762,1610612737,0,0,2,0,1,3,0
2,8,0,1553,1610612739,1610612737,0,2,0,0,2,2,4
1,1,2,318,1610612747,1610612737,0,0,0,0,0,1,2
0,2,0,221,1610612761,1610612737,1,0,0,0,0,1,2
1,3,3,907,1610612740,1610612737,1,0,0,2,0,1,3
1,3,0,1319,1610612766,1610612737,0,2,2,0,1,2,0
1,3,0,583,1610612738,1610612737,1,1,0,0,0,1,7
0,0,0,2,1610612748,1610612737,0,0,0,0,0,0,0
1,2,0,567,1610612751,1610612737,0,0,0,0,2,2,2
0,0,0,144,1610612743,1610612737,0,0,0,0,1,0,0
0,1,0,162,1610612754,1610612737,0,0,0,0,0,1,0
0,3,0,273,1610612755,1610612737,0,0,0,0,0,1,4
