@relation Kentavious_Caldwell-Pope
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
3,12,2,1624,1610612764,1610612765,0,2,2,0,2,4,9
1,7,4,1086,1610612763,1610612765,0,1,0,0,0,1,13
1,2,0,219,1610612754,1610612765,0,0,0,0,0,1,5
0,2,0,397,1610612760,1610612765,0,0,0,0,0,1,0
3,11,0,1425,1610612744,1610612765,1,1,2,0,0,2,9
2,5,3,1279,1610612758,1610612765,0,2,0,0,0,1,7
5,8,0,1585,1610612747,1610612765,0,1,0,0,1,2,7
7,12,2,1769,1610612752,1610612765,0,0,1,0,0,2,13
6,9,2,1367,1610612737,1610612765,1,1,0,0,0,1,4
5,14,0,1693,1610612737,1610612765,2,1,4,0,0,0,9
3,10,0,1439,1610612751,1610612765,0,0,1,0,0,3,5
5,9,3,2156,1610612749,1610612765,1,3,2,0,0,5,14
0,4,0,1131,1610612741,1610612765,0,1,3,0,1,1,0
2,7,0,873,1610612747,1610612765,1,0,0,0,0,2,6
5,8,0,1736,1610612755,1610612765,0,1,1,0,1,1,10
0,7,2,1179,1610612748,1610612765,1,2,1,0,0,2,10
4,6,2,1674,1610612749,1610612765,2,1,0,1,1,1,8
1,8,0,2295,1610612741,1610612765,1,0,1,0,0,3,9
1,4,0,1109,1610612748,1610612765,0,0,0,0,0,2,0
6,14,0,1961,1610612750,1610612765,1,0,0,1,2,3,16
2,5,0,1524,1610612740,1610612765,0,2,2,0,0,1,2
3,4,0,1121,1610612751,1610612765,0,2,0,0,0,1,6
2,5,3,1260,1610612757,1610612765,1,0,0,0,0,2,5
7,11,0,2185,1610612754,1610612765,1,2,2,0,0,3,8
2,7,0,1643,1610612738,1610612765,0,0,2,0,0,4,9
2,2,2,1338,1610612766,1610612765,0,0,1,0,2,2,5
1,3,0,1178,1610612745,1610612765,0,0,1,0,0,1,2
3,6,2,1042,1610612739,1610612765,0,1,1,0,0,4,4
2,2,0,1430,1610612753,1610612765,0,0,1,1,0,4,0
0,4,1,971,1610612764,1610612765,0,0,1,0,1,2,2
6,11,1,2105,1610612764,1610612765,1,1,0,0,0,4,17
2,8,0,1601,1610612763,1610612765,0,0,1,0,1,1,14
3,6,0,1714,1610612752,1610612765,1,2,0,1,1,2,2
1,8,0,1816,1610612761,1610612765,0,2,4,0,1,3,13
4,11,0,1810,1610612755,1610612765,2,2,3,0,1,3,12
4,8,0,1623,1610612756,1610612765,0,1,0,0,0,2,9
3,4,0,1592,1610612762,1610612765,0,1,0,0,0,1,5
6,10,0,2455,1610612764,1610612765,0,0,1,1,0,1,5
1,4,2,1212,1610612746,1610612765,0,2,3,0,0,5,6
2,8,2,2647,1610612749,1610612765,1,4,2,0,0,2,9
4,12,1,2436,1610612740,1610612765,0,2,2,0,1,3,14
2,7,1,1778,1610612742,1610612765,1,1,4,0,1,3,9
2,5,0,1122,1610612753,1610612765,0,1,0,0,0,2,4
1,10,0,1382,1610612737,1610612765,2,0,3,1,0,3,6
5,11,2,1237,1610612755,1610612765,0,0,1,0,1,2,12
0,1,0,477,1610612748,1610612765,1,0,0,0,0,3,0
0,0,0,771,1610612753,1610612765,0,0,0,0,0,1,0
1,2,0,471,1610612751,1610612765,0,0,1,0,0,0,0
1,2,0,742,1610612743,1610612765,0,1,0,1,0,3,0
5,7,3,1276,1610612759,1610612765,0,0,1,0,2,1,9
1,3,0,560,1610612739,1610612765,0,1,0,0,2,2,0
0,0,0,620,1610612766,1610612765,0,0,0,0,0,0,0
0,0,0,184,1610612766,1610612765,0,0,0,0,0,0,0
0,0,0,204,1610612737,1610612765,0,0,0,0,0,0,0
2,5,2,844,1610612742,1610612765,0,0,1,0,0,1,5
0,0,0,136,1610612744,1610612765,0,0,0,0,0,0,0
3,6,0,685,1610612759,1610612765,0,0,1,0,0,1,5
1,2,0,628,1610612745,1610612765,0,0,1,0,0,0,5
0,0,0,192,1610612752,1610612765,0,0,1,0,0,0,0
0,0,0,232,1610612741,1610612765,0,0,0,0,0,1,0
2,5,3,1215,1610612750,1610612765,0,1,3,0,2,3,7
0,0,0,158,1610612738,1610612765,0,0,0,0,0,0,0
0,1,0,488,1610612758,1610612765,0,0,1,0,0,1,2
4,4,0,1216,1610612761,1610612765,0,1,1,0,0,2,3
1,1,0,602,1610612754,1610612765,0,1,1,0,0,2,0
4,11,4,1661,1610612743,1610612765,3,1,2,0,2,0,9
0,2,0,524,1610612756,1610612765,0,0,0,0,0,1,4
0,3,0,237,1610612746,1610612765,1,1,1,0,0,0,4
3,9,5,961,1610612762,1610612765,2,0,2,0,0,2,13
2,4,0,791,1610612739,1610612765,2,0,0,0,0,2,5
3,4,0,1141,1610612748,1610612765,0,1,0,1,1,5,3
