@relation Kyle_Korver
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
4,9,1,2142,1610612742,1610612737,0,3,2,0,0,1,8
8,12,0,2077,1610612761,1610612737,0,3,3,0,3,2,17
6,10,0,2239,1610612747,1610612737,0,4,2,1,0,3,22
2,4,2,1902,1610612758,1610612737,0,1,0,1,3,3,9
4,10,2,2061,1610612743,1610612737,0,4,2,2,3,2,16
5,10,0,2376,1610612753,1610612737,2,5,1,0,2,2,14
6,9,1,1979,1610612766,1610612737,0,2,2,0,2,2,11
6,7,1,2191,1610612752,1610612737,0,2,0,1,2,3,8
5,6,4,2018,1610612755,1610612737,1,2,0,1,2,4,13
8,11,2,1982,1610612752,1610612737,0,1,0,0,1,2,15
5,5,0,1537,1610612748,1610612737,0,2,0,1,3,2,9
3,5,2,1930,1610612765,1610612737,0,2,2,1,2,0,8
6,8,0,1974,1610612765,1610612737,0,2,0,0,1,3,14
2,8,0,1900,1610612738,1610612737,1,3,2,0,1,4,9
6,6,0,1883,1610612753,1610612737,0,3,2,0,3,3,3
9,12,1,1966,1610612746,1610612737,0,5,0,0,0,1,23
3,6,0,1919,1610612739,1610612737,0,2,0,0,0,1,10
6,10,2,2231,1610612760,1610612737,1,3,1,0,0,2,9
8,13,0,2335,1610612764,1610612737,1,3,2,0,2,2,16
9,10,1,1974,1610612752,1610612737,1,1,1,0,2,2,13
8,10,0,2304,1610612747,1610612737,1,2,1,0,0,2,11
