@relation Kyle_Lowry
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
3,8,12,2085,1610612738,1610612761,2,8,2,0,2,2,11
5,7,6,2017,1610612737,1610612761,0,4,0,0,4,2,16
4,14,4,2048,1610612749,1610612761,1,4,0,0,0,3,14
8,11,3,2127,1610612748,1610612761,2,5,1,0,1,4,13
3,7,0,1991,1610612766,1610612761,1,6,1,1,2,5,8
6,10,2,2203,1610612754,1610612761,2,8,1,0,2,4,12
4,5,0,913,1610612762,1610612761,1,4,2,0,1,0,9
10,16,0,2864,1610612745,1610612761,1,2,1,0,2,6,16
5,10,8,2092,1610612763,1610612761,0,6,2,0,2,2,21
7,15,0,2269,1610612741,1610612761,1,8,3,0,1,3,6
7,11,4,2716,1610612757,1610612761,0,10,4,0,0,3,10
5,12,2,2251,1610612755,1610612761,0,10,3,1,2,4,13
5,9,2,2178,1610612764,1610612761,2,9,3,1,3,4,12
5,15,6,2277,1610612751,1610612761,0,6,2,0,2,5,24
8,10,4,2579,1610612748,1610612761,1,6,2,0,7,5,15
9,15,4,2320,1610612743,1610612761,0,7,2,0,5,3,17
7,13,4,2272,1610612744,1610612761,0,9,2,0,3,5,20
6,16,6,2365,1610612756,1610612761,1,7,0,0,2,4,21
5,13,6,2198,1610612747,1610612761,1,8,3,0,3,2,23
7,10,0,1949,1610612759,1610612761,1,7,1,0,4,3,11
5,9,2,2040,1610612755,1610612761,1,11,1,0,1,3,6
5,14,0,2005,1610612741,1610612761,0,6,2,0,1,3,16
7,14,2,2431,1610612766,1610612761,2,6,2,1,5,5,17
7,16,3,2451,1610612742,1610612761,2,6,1,0,3,2,20
6,16,7,2238,1610612760,1610612761,2,9,4,0,2,3,22
5,15,9,2352,1610612759,1610612761,1,9,1,0,1,2,23
5,10,8,2308,1610612752,1610612761,0,11,1,0,3,2,15
7,17,10,2257,1610612752,1610612761,1,11,1,0,1,3,32
8,10,4,1935,1610612741,1610612761,1,6,2,0,1,2,13
4,9,4,2013,1610612754,1610612761,0,14,2,1,1,3,13
4,13,2,2115,1610612764,1610612761,1,11,3,0,2,2,19
8,14,4,2233,1610612748,1610612761,0,9,3,0,1,4,14
5,13,3,2034,1610612754,1610612761,0,2,0,0,4,4,16
6,9,9,2038,1610612765,1610612761,1,9,1,0,1,4,21
7,11,2,2122,1610612751,1610612761,1,4,0,1,2,3,12
5,8,7,1798,1610612749,1610612761,1,5,4,1,0,3,23
8,17,4,2527,1610612738,1610612761,2,12,0,1,3,4,18
9,12,5,2058,1610612750,1610612761,0,6,1,0,2,3,24
7,13,2,2101,1610612747,1610612761,0,9,0,1,3,2,21
9,22,1,2252,1610612766,1610612761,0,4,0,0,2,5,21
6,10,4,2101,1610612742,1610612761,0,5,2,0,1,4,3
5,11,3,2135,1610612755,1610612761,4,13,0,0,2,3,18
6,10,9,2361,1610612746,1610612761,3,12,1,1,3,3,11
7,18,8,2116,1610612751,1610612761,0,7,5,0,4,5,31
11,20,7,2247,1610612753,1610612761,3,11,0,0,4,3,33
11,15,0,1849,1610612743,1610612761,0,6,2,0,3,1,13
7,15,7,2627,1610612757,1610612761,0,8,2,0,2,5,23
5,8,0,1484,1610612762,1610612761,0,3,1,0,1,0,2
6,16,6,2445,1610612758,1610612761,2,8,1,2,3,6,21
7,18,6,2448,1610612746,1610612761,3,3,0,0,3,5,19
4,13,2,2328,1610612740,1610612761,5,12,2,0,2,2,19
4,14,6,1942,1610612737,1610612761,2,13,2,0,3,2,16
5,19,6,2105,1610612764,1610612761,1,11,2,0,3,4,24
4,13,7,2067,1610612741,1610612761,1,7,1,0,2,6,16
4,13,4,2115,1610612739,1610612761,2,9,3,0,2,4,14
5,13,11,2208,1610612753,1610612761,0,6,0,0,7,3,28
9,15,7,2125,1610612739,1610612761,0,9,1,0,0,4,13
5,18,7,3260,1610612764,1610612761,3,10,3,1,2,6,18
6,13,4,1887,1610612744,1610612761,2,8,2,0,2,4,13
5,11,8,2330,1610612758,1610612761,0,7,1,0,4,3,12
3,13,10,2180,1610612750,1610612761,4,11,2,0,4,3,20
8,16,1,2266,1610612751,1610612761,2,7,2,0,4,5,21
6,13,6,2041,1610612765,1610612761,1,6,0,0,4,2,19
7,14,7,2328,1610612763,1610612761,1,12,1,1,0,3,22
8,19,9,2423,1610612756,1610612761,1,13,2,1,3,5,28
4,16,4,2457,1610612737,1610612761,0,9,1,0,2,5,20
7,18,10,2233,1610612740,1610612761,3,5,2,0,6,1,23
11,16,9,2789,1610612760,1610612761,1,4,3,0,2,4,25
7,17,7,1624,1610612737,1610612761,1,4,4,0,1,2,25
7,18,7,2010,1610612739,1610612761,1,10,3,0,2,4,22
8,17,3,2051,1610612738,1610612761,1,4,0,0,2,3,23
6,13,2,2020,1610612738,1610612761,2,5,0,0,3,2,9
7,18,2,2131,1610612753,1610612761,0,4,2,0,6,3,16
5,11,3,1553,1610612748,1610612761,1,4,0,0,5,2,11
7,19,9,2278,1610612755,1610612761,0,8,0,0,0,3,29
7,13,9,2333,1610612752,1610612761,1,2,0,0,3,3,25
7,18,8,2012,1610612765,1610612761,1,7,2,0,2,6,28
9,24,1,2202,1610612749,1610612761,3,4,1,0,1,3,24
8,15,5,1584,1610612752,1610612761,0,5,1,0,4,4,22
3,11,7,2058,1610612737,1610612761,3,10,3,1,0,3,11
5,12,11,1970,1610612753,1610612761,0,5,1,0,0,2,21
2,11,13,2196,1610612748,1610612761,1,3,0,0,2,4,22
4,7,5,1843,1610612760,1610612761,0,5,0,0,0,3,9
3,17,10,2130,1610612738,1610612761,1,3,2,0,0,4,35
6,13,2,2034,1610612764,1610612761,2,10,1,0,4,4,13
3,10,4,1472,1610612755,1610612761,1,3,1,0,4,1,14
5,16,2,2178,1610612753,1610612761,0,7,3,0,3,1,19
7,19,3,2057,1610612741,1610612761,1,8,0,0,2,5,20
4,14,1,1986,1610612762,1610612761,0,4,1,0,2,5,19
8,16,2,2230,1610612763,1610612761,0,7,2,0,1,3,18
5,10,7,1534,1610612749,1610612761,2,5,0,0,2,1,20
5,14,12,2191,1610612739,1610612761,0,8,0,1,0,3,23
3,16,2,2262,1610612756,1610612761,1,8,2,1,3,5,14
6,12,8,1957,1610612737,1610612761,1,13,1,0,1,4,14
10,22,4,1903,1610612742,1610612761,1,4,1,0,2,3,25
8,28,12,2483,1610612747,1610612761,2,9,3,0,2,6,29
3,21,6,2235,1610612758,1610612761,0,13,2,1,2,3,27
5,22,9,2255,1610612762,1610612761,2,4,1,0,2,1,39
5,18,8,2375,1610612739,1610612761,1,9,1,0,4,2,22
5,13,8,2475,1610612743,1610612761,1,13,0,1,4,1,13
8,18,2,2411,1610612739,1610612761,1,14,1,0,0,5,16
3,10,0,1586,1610612754,1610612761,2,7,0,0,1,1,9
4,19,4,2318,1610612752,1610612761,0,11,6,0,9,5,21
6,12,2,1880,1610612753,1610612761,1,8,2,1,4,3,17
3,13,4,1898,1610612751,1610612761,0,12,2,0,2,4,20
5,14,4,1480,1610612765,1610612761,0,7,2,0,3,2,15
4,12,6,1844,1610612752,1610612761,0,9,3,0,4,1,22
8,22,10,2199,1610612741,1610612761,2,3,1,0,1,5,34
7,17,5,2142,1610612746,1610612761,1,7,3,0,3,0,25
5,20,4,2263,1610612743,1610612761,0,11,1,1,2,4,30
3,26,6,2441,1610612757,1610612761,3,5,3,0,4,5,25
5,17,6,2107,1610612744,1610612761,2,8,2,0,3,4,22
8,17,4,2049,1610612756,1610612761,0,7,2,0,3,4,19
10,22,7,2171,1610612766,1610612761,2,7,0,1,3,1,24
8,17,2,2298,1610612738,1610612761,1,7,3,0,3,2,19
6,12,2,1981,1610612765,1610612761,0,12,2,0,7,3,10
10,15,2,2053,1610612755,1610612761,0,12,3,0,4,3,18
6,13,2,1891,1610612737,1610612761,1,5,2,0,2,3,11
3,10,0,2257,1610612740,1610612761,2,5,2,0,4,2,8
9,25,4,2161,1610612749,1610612761,0,3,1,1,3,2,18
8,23,7,2388,1610612763,1610612761,3,3,2,1,3,5,20
7,14,8,2166,1610612755,1610612761,1,5,3,0,1,0,21
3,8,2,2200,1610612765,1610612761,0,8,2,0,1,4,11
7,17,0,2045,1610612754,1610612761,1,8,0,0,1,4,19
4,12,1,1965,1610612758,1610612761,0,7,1,0,2,2,13
6,17,2,2644,1610612751,1610612761,0,8,2,0,3,5,10
5,15,8,2494,1610612764,1610612761,0,3,2,0,2,4,23
2,7,0,1746,1610612749,1610612761,1,5,1,0,4,0,2
3,13,4,2159,1610612751,1610612761,1,10,1,0,4,5,13
6,9,6,2286,1610612746,1610612761,0,1,1,0,1,2,21
4,15,2,2206,1610612759,1610612761,0,7,2,0,4,2,12
7,12,0,1931,1610612764,1610612761,1,6,1,1,3,3,13
2,10,1,1510,1610612737,1610612761,0,9,0,0,2,4,10
7,13,10,2200,1610612745,1610612761,0,4,0,0,7,5,11
6,19,6,2035,1610612740,1610612761,1,5,3,0,1,3,22
9,15,2,2030,1610612742,1610612761,0,6,0,0,1,2,11
4,7,2,1125,1610612744,1610612761,0,0,0,0,2,1,4
