@relation Luke_Babbitt
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
5,7,0,1169,1610612750,1610612740,3,2,0,2,0,4,5
6,8,0,1156,1610612751,1610612740,0,1,1,0,1,2,9
4,4,0,1176,1610612761,1610612740,0,0,0,3,1,4,6
5,8,0,1623,1610612749,1610612740,1,1,0,0,0,3,10
4,6,0,1123,1610612752,1610612740,2,0,0,0,1,2,7
4,5,0,1079,1610612766,1610612740,0,1,0,0,1,5,6
1,2,0,441,1610612764,1610612740,0,0,0,0,0,0,0
1,3,0,844,1610612746,1610612740,1,2,0,2,1,1,3
4,6,0,1534,1610612742,1610612740,1,1,0,0,1,2,10
2,4,0,825,1610612756,1610612740,0,1,1,0,0,2,5
3,5,0,678,1610612746,1610612740,0,0,0,0,0,0,0
3,5,0,665,1610612763,1610612740,1,0,0,0,1,1,2
0,0,2,252,1610612757,1610612740,1,0,0,0,0,0,1
5,6,0,732,1610612737,1610612740,0,1,0,0,1,4,11
8,10,0,1661,1610612748,1610612740,0,2,0,0,1,1,11
4,5,2,1002,1610612751,1610612740,1,0,0,0,0,2,5
2,3,2,843,1610612746,1610612740,1,2,0,0,0,0,1
3,6,2,1479,1610612762,1610612740,1,2,2,1,0,3,9
2,7,0,1162,1610612759,1610612740,0,0,0,1,0,1,8
