@relation Nemanja_Bjelica
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
4,6,0,1356,1610612747,1610612750,0,2,0,1,0,5,8
1,2,3,1541,1610612743,1610612750,0,1,1,0,2,4,3
2,4,2,1885,1610612757,1610612750,3,2,2,0,2,4,5
4,7,0,1422,1610612748,1610612750,1,3,0,0,1,1,5
6,9,6,2413,1610612741,1610612750,1,5,1,1,2,2,17
5,7,2,1664,1610612766,1610612750,2,4,0,1,1,4,13
2,5,4,2000,1610612744,1610612750,2,3,1,0,0,2,8
5,8,0,1502,1610612754,1610612750,0,1,1,0,1,4,10
2,5,0,1446,1610612763,1610612750,1,0,0,0,0,5,4
5,7,0,936,1610612748,1610612750,0,0,0,2,0,3,0
4,4,0,1118,1610612753,1610612750,0,1,0,0,0,6,3
2,4,0,1308,1610612746,1610612750,0,1,0,0,0,2,10
