@relation O
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
3,12,1,2157,1610612752,1610612749,0,3,1,0,2,1,13
1,9,4,1366,1610612738,1610612749,2,2,2,0,3,4,8
5,13,2,1955,1610612761,1610612749,1,8,1,1,4,2,16
7,19,4,1983,1610612739,1610612749,0,3,0,0,4,3,28
7,20,2,2192,1610612742,1610612749,2,2,0,0,6,5,28
3,6,0,1518,1610612748,1610612749,0,3,2,0,2,2,6
3,22,4,2619,1610612753,1610612749,1,2,0,0,6,4,25
5,17,3,1806,1610612754,1610612749,1,1,0,0,0,3,20
11,19,3,2119,1610612760,1610612749,1,1,3,0,3,2,22
2,8,2,1475,1610612757,1610612749,1,1,0,0,4,1,9
6,12,4,2173,1610612755,1610612749,0,8,0,0,0,3,9
1,7,0,1306,1610612766,1610612749,0,1,0,0,1,2,4
1,4,4,1485,1610612765,1610612749,0,0,0,0,3,3,5
7,23,0,2189,1610612764,1610612749,2,3,2,0,3,1,21
6,11,0,1867,1610612766,1610612749,0,0,0,0,2,3,5
4,14,2,1868,1610612738,1610612749,1,3,1,0,2,2,22
5,12,5,1919,1610612738,1610612749,0,3,1,0,1,1,19
5,8,2,1402,1610612765,1610612749,0,4,0,1,1,2,7
4,16,4,2351,1610612764,1610612749,0,3,1,0,4,5,17
5,16,6,2090,1610612751,1610612749,0,5,0,0,2,2,22
4,12,3,2651,1610612741,1610612749,1,7,0,2,1,4,7
3,4,0,1314,1610612759,1610612749,0,0,0,0,1,1,3
5,13,0,1746,1610612741,1610612749,0,2,0,0,1,5,14
1,6,2,923,1610612742,1610612749,0,2,1,0,2,1,4
11,21,6,2157,1610612739,1610612749,1,4,1,2,4,3,20
4,7,0,1212,1610612755,1610612749,0,1,1,0,2,1,7
5,13,2,1516,1610612766,1610612749,2,2,2,1,4,1,14
7,13,0,1615,1610612751,1610612749,0,1,2,0,0,0,13
4,12,2,1435,1610612750,1610612749,1,2,0,0,2,1,19
2,5,0,512,1610612747,1610612749,0,0,0,0,0,0,0
4,7,0,1090,1610612762,1610612749,1,0,1,1,1,1,4
5,11,2,1835,1610612756,1610612749,1,5,1,0,1,3,20
4,8,0,1502,1610612744,1610612749,0,1,1,0,2,2,13
6,16,4,1627,1610612741,1610612749,2,1,0,0,2,2,16
8,11,4,1806,1610612760,1610612749,0,3,1,0,2,2,16
3,8,0,1050,1610612761,1610612749,0,1,0,1,2,4,5
2,3,0,399,1610612763,1610612749,0,0,0,0,0,0,0
4,9,0,1800,1610612745,1610612749,3,1,0,0,4,3,9
2,4,0,1142,1610612759,1610612749,0,2,0,2,1,0,0
4,6,2,1334,1610612739,1610612749,0,6,1,0,1,2,9
3,5,0,1252,1610612737,1610612749,0,3,0,0,1,1,2
4,8,0,1401,1610612743,1610612749,0,0,0,0,1,1,11
6,8,0,1005,1610612754,1610612749,0,1,0,0,2,5,8
9,14,2,2085,1610612755,1610612749,0,3,1,0,1,3,25
9,14,2,1416,1610612754,1610612749,0,0,1,2,0,4,14
1,7,1,1388,1610612751,1610612749,0,0,0,0,0,1,9
3,5,0,1455,1610612762,1610612749,0,3,0,0,1,3,3
2,9,2,1177,1610612758,1610612749,0,1,0,0,1,1,8
0,1,0,175,1610612740,1610612749,0,0,0,0,0,2,0
1,1,0,246,1610612753,1610612749,0,0,0,0,1,0,0
6,14,2,1673,1610612758,1610612749,0,4,0,0,1,1,21
