@relation Omer_Asik
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,5,4,1569,1610612766,1610612745,5,0,1,2,1,1,4
0,4,4,928,1610612742,1610612745,1,0,0,0,2,6,6
0,4,0,1690,1610612762,1610612745,2,0,1,2,2,2,4
0,1,4,1422,1610612746,1610612745,2,0,0,0,2,3,6
0,5,2,1320,1610612757,1610612745,1,1,0,0,2,4,8
0,3,6,1399,1610612747,1610612745,1,1,1,0,3,2,6
0,3,4,1416,1610612746,1610612745,2,0,0,0,1,3,7
0,4,2,1130,1610612761,1610612745,1,0,0,1,0,2,4
0,0,0,262,1610612755,1610612745,0,0,0,0,0,0,0
0,3,2,409,1610612738,1610612745,2,0,0,0,1,1,4
0,0,2,698,1610612742,1610612745,1,0,0,1,1,3,1
0,0,2,793,1610612750,1610612745,1,0,0,0,1,3,2
0,3,0,1259,1610612763,1610612745,4,1,0,0,0,1,2
0,7,3,1224,1610612737,1610612745,2,2,0,1,1,0,10
0,5,2,1396,1610612751,1610612745,0,1,0,0,2,1,6
0,2,2,804,1610612759,1610612745,1,1,1,0,1,0,3
0,4,0,916,1610612762,1610612745,2,0,0,0,0,2,2
0,0,0,659,1610612749,1610612745,0,2,0,0,1,0,0
0,2,2,611,1610612750,1610612745,2,0,0,0,2,1,3
0,1,0,641,1610612764,1610612745,1,0,0,0,1,1,0
0,6,2,1390,1610612747,1610612745,5,1,0,0,0,1,7
0,6,0,905,1610612744,1610612745,3,2,1,1,0,1,6
0,2,1,798,1610612756,1610612745,2,0,1,0,1,1,3
0,4,1,1409,1610612758,1610612745,1,0,0,1,2,4,7
0,4,0,1025,1610612746,1610612745,2,1,0,2,1,1,6
0,1,2,765,1610612765,1610612745,1,0,0,0,2,3,0
0,2,2,666,1610612748,1610612745,2,0,0,0,2,2,3
0,1,2,941,1610612753,1610612745,0,0,0,1,0,1,2
0,2,6,1201,1610612754,1610612745,1,1,0,2,2,0,4
0,0,0,972,1610612757,1610612745,1,1,0,0,0,2,0
0,4,4,906,1610612760,1610612745,1,0,0,0,1,0,7
0,3,4,1165,1610612741,1610612745,3,0,0,0,0,1,6
0,3,2,612,1610612748,1610612745,4,0,0,0,0,1,4
0,12,4,1697,1610612762,1610612745,4,0,0,1,1,3,12
0,4,5,1649,1610612750,1610612745,1,3,0,4,2,4,12
0,8,2,1984,1610612739,1610612745,2,2,0,2,1,0,9
0,2,0,926,1610612766,1610612745,1,1,0,3,1,3,2
0,4,1,1310,1610612755,1610612745,3,0,1,0,0,3,4
0,9,2,2097,1610612746,1610612745,4,0,0,1,2,5,12
0,8,6,2142,1610612751,1610612745,6,0,1,2,3,1,12
0,5,6,1913,1610612761,1610612745,2,0,1,0,3,3,9
0,5,4,1974,1610612760,1610612745,4,2,0,0,1,3,9
0,11,11,2589,1610612743,1610612745,7,1,3,3,2,1,18
0,7,2,1465,1610612747,1610612745,0,0,1,2,3,2,10
0,8,2,1455,1610612743,1610612745,2,1,0,0,2,1,12
0,7,4,1463,1610612750,1610612745,6,0,1,2,1,5,9
0,2,8,1127,1610612740,1610612745,1,0,0,1,2,2,9
0,4,2,995,1610612759,1610612745,1,0,0,2,0,2,8
0,10,3,2010,1610612753,1610612740,7,2,0,5,3,4,14
0,8,6,1969,1610612742,1610612740,4,1,0,0,1,2,13
0,7,9,1577,1610612763,1610612740,2,0,0,1,0,2,6
0,4,4,1681,1610612766,1610612740,4,3,1,1,0,2,10
0,4,1,1560,1610612759,1610612740,3,1,0,0,0,3,6
0,5,4,1554,1610612739,1610612740,4,2,1,1,2,2,8
0,3,2,1564,1610612747,1610612740,3,1,0,2,0,3,7
0,5,0,1187,1610612750,1610612740,1,2,2,0,1,4,8
0,5,2,1559,1610612758,1610612740,5,0,1,0,0,3,3
0,7,2,1938,1610612737,1610612740,3,0,0,1,2,0,10
0,4,2,1674,1610612764,1610612740,3,0,1,0,2,0,1
0,5,6,1621,1610612760,1610612740,7,1,0,2,1,2,5
0,8,2,1811,1610612744,1610612740,4,1,0,0,2,1,9
0,4,6,1538,1610612746,1610612740,5,2,1,0,3,1,10
0,7,0,1461,1610612747,1610612740,5,1,0,0,2,0,8
0,10,4,1828,1610612752,1610612740,5,1,0,2,0,2,16
0,6,4,1543,1610612742,1610612740,5,0,0,0,2,3,6
0,4,4,1897,1610612739,1610612740,3,1,0,1,0,1,9
0,7,0,1193,1610612744,1610612740,2,1,0,0,0,0,4
0,4,5,1253,1610612762,1610612740,1,0,1,3,3,1,10
0,3,0,1692,1610612745,1610612740,3,1,0,0,3,3,2
0,5,0,1181,1610612757,1610612740,4,0,0,0,2,1,4
0,4,2,1521,1610612760,1610612740,4,1,0,3,0,3,3
0,6,2,1298,1610612754,1610612740,5,1,0,0,1,4,6
0,3,2,1090,1610612759,1610612740,1,1,1,0,0,2,4
0,5,2,1194,1610612741,1610612740,2,1,1,1,0,2,4
0,6,6,1495,1610612756,1610612740,3,1,0,1,0,0,11
0,2,4,1659,1610612759,1610612740,3,0,0,0,2,2,3
0,5,5,1372,1610612745,1610612740,2,2,0,0,2,1,9
0,1,0,1627,1610612764,1610612740,1,0,0,1,2,0,2
0,3,6,1255,1610612766,1610612740,3,0,0,0,0,3,6
0,2,4,1283,1610612763,1610612740,1,1,0,1,1,5,7
0,4,4,1488,1610612738,1610612740,6,3,1,0,2,3,5
0,5,4,1568,1610612765,1610612740,3,2,0,1,2,2,8
0,5,6,1204,1610612755,1610612740,6,0,0,1,2,4,6
0,10,2,1906,1610612761,1610612740,3,0,1,0,1,2,11
0,8,2,1629,1610612752,1610612740,6,0,0,0,1,1,11
0,4,0,1804,1610612747,1610612740,0,2,0,0,1,2,6
0,4,2,1971,1610612750,1610612740,0,0,0,1,2,4,5
0,8,0,1456,1610612742,1610612740,2,0,1,0,1,5,10
0,6,5,1225,1610612755,1610612740,2,2,0,0,3,3,10
0,3,4,1679,1610612743,1610612740,7,0,0,2,2,3,4
0,5,6,1729,1610612746,1610612740,2,2,0,0,1,3,5
0,6,6,1969,1610612737,1610612740,3,1,0,1,1,1,9
0,3,5,1233,1610612760,1610612740,4,0,0,1,2,1,5
0,3,2,1343,1610612760,1610612740,3,0,1,0,1,2,5
0,8,0,1445,1610612741,1610612740,3,1,0,0,0,0,6
0,6,3,1885,1610612762,1610612740,3,1,0,5,1,1,6
0,6,4,1766,1610612754,1610612740,2,0,0,1,2,1,7
0,5,0,1202,1610612753,1610612740,0,1,1,1,0,1,6
0,9,5,1928,1610612748,1610612740,2,2,1,0,1,1,15
0,6,10,1879,1610612761,1610612740,4,0,0,2,1,4,14
0,3,1,1582,1610612748,1610612740,1,0,1,1,1,0,5
0,5,5,1487,1610612743,1610612740,2,3,1,0,0,0,9
0,3,0,1667,1610612742,1610612740,2,0,1,0,3,1,2
0,7,0,1408,1610612765,1610612740,5,0,1,0,1,0,2
0,4,4,1328,1610612738,1610612740,1,2,0,0,1,1,10
0,6,2,1802,1610612763,1610612740,2,0,2,3,3,3,7
0,3,2,1624,1610612749,1610612740,2,2,1,1,2,1,6
0,8,0,1637,1610612751,1610612740,3,1,1,0,0,0,12
0,8,5,1468,1610612743,1610612740,8,2,1,0,2,0,10
0,8,5,1756,1610612749,1610612740,4,3,1,2,2,4,16
0,6,0,1108,1610612756,1610612740,3,1,0,0,0,0,6
0,5,0,1556,1610612745,1610612740,2,2,1,0,4,1,6
0,2,4,2149,1610612758,1610612740,3,0,0,1,2,1,4
0,9,2,1517,1610612750,1610612740,3,1,0,0,2,3,15
0,7,0,1342,1610612747,1610612740,5,0,0,1,0,0,8
0,7,0,2056,1610612758,1610612740,4,2,0,0,0,4,4
0,5,3,1699,1610612757,1610612740,4,1,0,0,1,3,3
0,4,4,1406,1610612763,1610612740,1,2,0,0,0,1,5
0,5,2,1330,1610612756,1610612740,6,2,0,0,0,0,3
0,6,0,1466,1610612750,1610612740,2,0,1,0,1,2,6
0,3,8,1712,1610612759,1610612740,2,1,1,1,0,2,9
0,1,4,1295,1610612744,1610612740,2,1,1,0,1,3,2
0,3,0,1430,1610612744,1610612740,6,2,2,0,3,5,2
0,4,1,810,1610612744,1610612740,1,2,1,0,0,1,3
0,0,0,620,1610612744,1610612740,1,0,1,0,0,2,0
0,2,0,932,1610612742,1610612740,0,0,0,1,0,2,2
0,1,6,1250,1610612737,1610612740,1,0,0,0,3,4,4
0,3,4,1455,1610612761,1610612740,2,0,1,2,3,1,2
0,0,0,770,1610612752,1610612740,0,0,0,0,0,1,0
0,0,2,712,1610612759,1610612740,1,0,0,0,1,2,1
0,0,2,881,1610612756,1610612740,0,0,0,0,1,0,2
0,1,2,628,1610612756,1610612740,1,0,0,1,1,2,0
0,1,2,963,1610612746,1610612740,1,0,0,0,0,2,3
0,3,0,475,1610612762,1610612740,0,0,0,0,1,0,0
