@relation Robert_Covington
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,0,54,1610612749,1610612745,0,0,0,0,0,0,0
0,0,0,31,1610612757,1610612745,0,0,0,0,0,0,0
4,5,0,602,1610612758,1610612745,0,0,1,0,0,1,5
4,4,0,404,1610612763,1610612745,1,0,0,0,0,1,6
0,0,0,29,1610612756,1610612745,0,0,0,0,0,0,0
1,3,0,665,1610612743,1610612745,1,0,1,0,1,0,5
2,2,0,245,1610612740,1610612745,0,0,0,0,0,1,0
1,5,4,998,1610612759,1610612755,1,2,2,0,0,3,6
3,4,4,842,1610612738,1610612755,0,1,1,0,2,3,6
1,5,0,842,1610612756,1610612755,0,0,2,0,1,3,2
4,6,2,832,1610612752,1610612755,0,0,0,0,0,2,14
0,0,0,108,1610612757,1610612755,0,0,0,0,0,0,0
1,3,0,466,1610612751,1610612755,0,0,0,0,0,0,0
2,5,2,774,1610612742,1610612755,1,1,0,0,0,1,4
3,6,0,1041,1610612759,1610612755,0,0,0,0,0,2,9
6,13,4,1867,1610612750,1610612755,1,1,1,0,0,2,17
6,13,2,1709,1610612760,1610612755,3,2,1,0,3,2,21
5,14,4,1750,1610612765,1610612755,1,1,0,0,1,2,25
6,11,2,1530,1610612737,1610612755,1,0,1,1,3,3,9
10,10,2,1781,1610612751,1610612755,0,2,3,1,3,2,20
11,16,12,2722,1610612763,1610612755,2,1,1,0,1,3,24
8,15,3,1740,1610612738,1610612755,2,2,2,1,1,4,13
8,10,2,1606,1610612766,1610612755,0,1,0,2,4,3,19
5,11,3,2404,1610612753,1610612755,2,2,1,2,1,1,11
5,11,4,2110,1610612748,1610612755,1,3,2,1,1,5,11
6,10,2,1757,1610612757,1610612755,0,2,1,0,5,2,8
4,7,6,1441,1610612762,1610612755,2,0,1,1,1,1,13
6,13,0,2253,1610612744,1610612755,2,2,1,0,5,0,10
5,7,2,2047,1610612756,1610612755,1,2,5,1,3,4,10
7,15,2,1911,1610612746,1610612755,0,0,1,0,1,3,23
7,9,5,2363,1610612739,1610612755,1,1,1,0,0,3,16
9,11,6,1970,1610612749,1610612755,0,0,2,0,3,2,8
6,12,2,2379,1610612751,1610612755,2,1,6,0,1,2,20
8,13,1,1585,1610612754,1610612755,0,0,0,0,0,4,16
7,13,3,1923,1610612737,1610612755,3,1,2,1,3,2,7
8,14,7,1968,1610612740,1610612755,1,3,1,2,0,2,18
6,9,1,1653,1610612765,1610612755,1,2,1,0,2,0,9
5,10,1,1545,1610612764,1610612755,0,1,0,0,2,1,10
8,11,4,2342,1610612752,1610612755,0,4,1,2,3,4,17
11,15,4,2107,1610612761,1610612755,1,0,2,2,4,2,18
3,6,3,1308,1610612763,1610612755,0,0,1,0,2,1,8
4,11,2,1825,1610612740,1610612755,1,5,1,0,0,1,6
5,11,1,1494,1610612765,1610612755,3,3,1,0,1,5,19
11,15,2,2046,1610612750,1610612755,0,3,2,0,1,1,14
9,15,1,1718,1610612737,1610612755,3,4,2,0,2,4,10
8,13,3,2054,1610612739,1610612755,2,4,7,1,2,4,18
7,12,8,1743,1610612743,1610612755,2,2,2,1,3,5,17
8,13,1,1999,1610612738,1610612755,0,1,0,0,2,3,16
10,15,5,1975,1610612766,1610612755,2,2,1,1,2,4,22
10,15,3,1891,1610612744,1610612755,0,1,3,0,3,3,21
5,10,4,1722,1610612754,1610612755,0,1,1,0,1,4,8
9,13,1,2007,1610612753,1610612755,0,2,2,0,4,6,16
8,15,3,2030,1610612748,1610612755,2,2,5,0,0,4,16
4,6,2,1143,1610612749,1610612755,1,1,1,0,3,3,13
7,9,5,1558,1610612764,1610612755,1,0,1,0,1,2,13
5,11,0,1448,1610612754,1610612755,0,0,0,0,2,3,12
4,8,6,1105,1610612762,1610612755,1,1,1,0,3,5,5
6,12,0,1737,1610612737,1610612755,0,1,2,0,6,3,12
6,13,3,1235,1610612741,1610612755,2,1,1,0,1,1,12
12,17,3,1715,1610612758,1610612755,0,2,3,1,1,2,24
