@relation Roger_Mason_Jr
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
2,3,0,878,1610612755,1610612748,0,2,0,0,2,1,3
0,1,0,589,1610612749,1610612748,0,2,0,0,0,1,0
5,5,3,1206,1610612766,1610612748,0,1,0,0,2,2,9
1,2,0,148,1610612737,1610612748,0,0,0,0,0,1,3
2,2,0,291,1610612753,1610612748,0,1,0,0,0,0,3
1,3,0,1089,1610612756,1610612748,0,0,2,1,0,3,0
5,8,0,1120,1610612741,1610612748,1,0,1,0,0,1,7
1,5,0,273,1610612750,1610612748,0,0,0,0,0,2,9
7,7,0,1409,1610612765,1610612748,0,2,0,0,3,2,12
0,1,0,142,1610612762,1610612748,0,1,0,0,0,0,2
1,1,0,306,1610612758,1610612748,0,0,1,0,0,0,0
6,7,0,1112,1610612737,1610612748,0,1,0,0,0,2,8
4,5,1,1367,1610612758,1610612748,0,2,1,0,0,5,4
1,1,0,352,1610612743,1610612748,0,0,1,0,0,0,0
0,0,0,76,1610612753,1610612748,0,0,0,0,0,0,0
2,2,0,353,1610612761,1610612748,0,0,0,0,0,0,3
2,2,0,953,1610612740,1610612748,0,2,0,0,0,2,0
2,2,0,309,1610612752,1610612748,0,2,0,0,0,0,0
2,3,3,1238,1610612751,1610612748,0,1,0,0,1,0,3
0,0,0,405,1610612764,1610612748,0,0,0,0,1,0,0
1,1,0,130,1610612755,1610612748,0,0,0,0,0,0,3
0,1,0,415,1610612766,1610612748,0,0,0,0,0,2,2
0,2,0,778,1610612737,1610612748,0,1,0,0,0,1,0
1,1,0,385,1610612747,1610612748,0,1,0,0,0,1,0
2,2,0,274,1610612759,1610612748,0,0,0,0,0,0,3
