@relation Tiago_Splitter
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,8,2,1712,1610612763,1610612759,2,2,0,0,0,2,11
0,10,3,1942,1610612747,1610612759,7,3,1,0,1,5,9
0,2,0,1095,1610612757,1610612759,2,0,0,0,1,2,0
0,7,5,1286,1610612743,1610612759,4,1,0,1,0,1,12
0,2,6,643,1610612756,1610612759,1,0,0,0,1,1,9
0,5,0,1534,1610612744,1610612759,5,1,1,0,1,2,4
0,4,0,732,1610612752,1610612759,3,1,0,0,0,3,4
0,8,4,1694,1610612755,1610612759,1,1,0,1,0,2,11
0,7,2,1440,1610612764,1610612759,3,1,1,1,1,2,12
0,4,2,1533,1610612762,1610612759,1,0,1,0,1,0,6
0,4,6,1356,1610612738,1610612759,2,3,1,1,1,3,11
0,10,3,1558,1610612763,1610612759,3,1,0,1,2,3,17
0,5,3,636,1610612739,1610612759,1,0,0,0,0,0,10
0,6,1,806,1610612740,1610612759,3,1,0,1,1,1,11
0,8,0,1479,1610612760,1610612759,2,0,1,0,0,1,6
0,4,2,1302,1610612753,1610612759,1,1,0,0,5,1,8
0,3,4,1001,1610612745,1610612759,1,0,0,1,3,3,6
0,9,1,1434,1610612737,1610612759,1,3,1,2,4,1,11
0,2,2,780,1610612750,1610612759,1,1,0,0,2,2,1
0,3,0,494,1610612754,1610612759,1,1,0,0,1,0,2
0,2,4,1151,1610612746,1610612759,1,1,1,0,1,3,2
0,3,6,768,1610612756,1610612759,3,0,0,0,0,0,8
0,7,3,1668,1610612744,1610612759,2,2,2,0,2,0,4
0,9,2,1445,1610612760,1610612759,2,2,1,0,2,4,6
0,5,4,1197,1610612761,1610612759,5,2,1,0,2,4,8
0,7,2,1399,1610612745,1610612759,2,1,1,2,0,0,6
0,4,11,1369,1610612742,1610612759,2,1,0,1,2,1,12
0,6,2,1624,1610612758,1610612759,3,1,0,1,0,4,11
0,6,6,1142,1610612751,1610612759,2,2,0,0,2,3,12
0,6,0,1152,1610612752,1610612759,3,1,1,0,2,2,6
0,12,9,1483,1610612746,1610612759,1,1,0,0,3,2,22
0,1,0,993,1610612758,1610612759,0,0,0,0,1,4,2
0,3,2,1260,1610612740,1610612759,1,1,1,0,0,1,6
1,7,1,2021,1610612764,1610612759,3,3,0,1,1,4,7
0,6,1,1502,1610612751,1610612759,0,1,0,2,2,0,5
0,9,9,1542,1610612757,1610612759,0,2,1,0,2,2,15
0,4,0,339,1610612756,1610612759,3,0,0,0,0,1,6
0,11,2,1806,1610612765,1610612759,3,6,0,1,1,1,13
0,4,0,842,1610612766,1610612759,0,0,0,1,1,2,2
0,9,3,1689,1610612742,1610612759,2,3,2,1,1,1,11
0,4,6,1257,1610612739,1610612759,0,2,0,0,0,2,6
0,4,4,1127,1610612748,1610612759,0,4,0,1,1,0,7
0,9,5,1080,1610612753,1610612759,3,1,0,1,2,2,14
0,1,0,842,1610612741,1610612759,0,1,1,0,1,4,0
0,6,12,1516,1610612757,1610612759,4,1,2,0,3,4,12
0,4,2,1163,1610612747,1610612759,3,2,2,0,1,1,3
0,7,4,1370,1610612762,1610612759,2,1,0,2,1,3,14
0,6,3,1303,1610612747,1610612759,2,2,1,3,1,4,10
