@relation Trevor_Booker
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,3,0,1217,1610612765,1610612764,4,3,0,0,1,3,2
0,7,0,1698,1610612755,1610612764,3,2,2,1,2,1,10
0,6,1,1323,1610612748,1610612764,3,0,2,0,2,3,8
1,1,0,278,1610612742,1610612764,0,0,0,0,0,0,0
0,3,0,386,1610612759,1610612764,1,1,0,0,0,1,2
0,2,0,655,1610612750,1610612764,2,0,1,0,0,2,2
0,2,0,238,1610612739,1610612764,0,0,0,0,0,1,2
0,1,0,236,1610612761,1610612764,1,0,0,0,0,0,0
0,5,1,1504,1610612754,1610612764,0,3,1,1,0,4,4
0,6,0,863,1610612753,1610612764,2,1,1,0,2,0,6
0,6,6,1543,1610612749,1610612764,4,2,0,1,0,2,9
0,11,2,1960,1610612743,1610612764,5,1,0,2,2,3,12
0,19,1,2649,1610612737,1610612764,2,2,1,1,1,3,24
0,11,0,1593,1610612746,1610612764,2,0,0,0,0,5,12
0,3,0,1936,1610612752,1610612764,2,1,0,1,2,4,6
0,8,4,1450,1610612751,1610612764,9,3,2,1,1,2,7
0,2,0,839,1610612738,1610612764,1,1,0,0,0,2,0
0,7,0,1605,1610612750,1610612764,4,0,0,1,2,3,10
0,8,0,1906,1610612765,1610612764,5,4,0,1,1,2,10
0,6,3,1320,1610612765,1610612764,3,0,0,0,0,3,6
0,9,0,1802,1610612742,1610612764,7,1,1,1,1,0,10
0,7,0,1904,1610612761,1610612764,5,2,2,0,2,4,8
0,6,0,1444,1610612744,1610612764,1,0,0,0,0,4,8
0,8,2,1339,1610612766,1610612764,1,1,1,1,0,0,12
0,2,0,937,1610612740,1610612764,1,1,0,0,0,3,2
