@relation Tyson_Chandler
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,7,0,1907,1610612749,1610612752,2,1,3,5,5,3,10
0,8,2,2164,1610612741,1610612752,8,2,1,4,2,2,7
0,4,4,1924,1610612750,1610612752,3,1,0,0,0,4,10
0,1,1,395,1610612766,1610612752,2,1,0,1,0,1,2
0,4,4,2190,1610612749,1610612752,5,1,1,3,1,3,9
0,7,8,1980,1610612763,1610612752,3,2,1,1,0,4,8
0,9,2,2390,1610612753,1610612752,2,2,2,1,0,4,10
0,5,2,1757,1610612760,1610612752,4,3,2,0,0,3,5
0,7,3,1902,1610612761,1610612752,4,1,0,2,3,2,7
0,7,5,1629,1610612761,1610612752,0,3,1,1,2,1,16
0,5,0,1314,1610612759,1610612752,1,0,0,1,0,3,4
0,5,7,1637,1610612745,1610612752,5,0,1,1,1,3,13
0,1,0,264,1610612742,1610612752,0,0,0,0,1,0,0
0,2,1,985,1610612766,1610612752,0,0,0,1,2,2,5
0,8,8,1560,1610612754,1610612752,2,3,0,1,1,3,13
0,8,8,2198,1610612746,1610612752,6,3,0,0,2,6,12
