@relation Wayne_Ellington
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
3,4,2,822,1610612737,1610612742,1,0,1,0,0,1,6
4,7,1,941,1610612745,1610612742,1,2,0,1,0,1,4
0,3,0,530,1610612747,1610612742,0,0,0,0,1,0,2
1,1,0,490,1610612760,1610612742,0,0,0,0,0,0,0
2,2,0,825,1610612750,1610612742,0,1,0,0,1,2,6
1,2,0,343,1610612762,1610612742,0,0,0,0,0,0,2
0,2,0,376,1610612743,1610612742,0,0,1,0,0,0,2
2,3,0,816,1610612743,1610612742,0,0,1,0,0,1,0
0,3,0,388,1610612744,1610612742,0,0,0,0,0,2,6
0,0,0,96,1610612737,1610612742,0,0,0,0,0,0,0
1,2,0,177,1610612750,1610612742,0,0,0,0,0,2,3
1,2,0,256,1610612740,1610612742,0,1,0,1,0,1,0
0,0,0,17,1610612757,1610612742,0,0,0,0,0,0,0
1,6,2,693,1610612758,1610612742,1,0,1,0,0,0,8
5,11,0,1369,1610612749,1610612742,0,2,2,0,0,1,7
0,1,0,186,1610612763,1610612742,0,1,0,0,0,0,0
0,2,0,295,1610612756,1610612742,0,0,3,0,0,0,0
0,0,0,6,1610612759,1610612742,0,0,1,0,0,0,0
0,1,0,244,1610612752,1610612742,0,0,0,0,0,0,0
1,3,0,406,1610612747,1610612742,0,0,0,0,0,0,0
2,4,0,690,1610612759,1610612742,0,0,0,0,0,1,5
5,8,0,1252,1610612753,1610612742,1,1,0,0,1,1,12
2,2,0,356,1610612746,1610612742,0,1,0,0,0,0,6
1,5,1,870,1610612757,1610612742,0,0,0,0,0,2,8
1,2,0,472,1610612761,1610612742,0,0,0,0,1,0,0
2,5,0,1162,1610612739,1610612742,0,2,1,0,1,1,3
1,2,0,215,1610612762,1610612742,0,0,0,0,0,0,3
0,2,0,857,1610612766,1610612742,0,0,0,0,0,0,4
2,2,0,54,1610612748,1610612742,0,0,0,0,0,0,3
2,4,2,795,1610612755,1610612742,0,4,1,0,2,1,6
2,3,2,940,1610612765,1610612742,0,2,1,0,0,1,7
2,3,0,604,1610612752,1610612742,0,0,0,0,0,2,5
5,6,0,1306,1610612740,1610612742,0,1,0,0,1,2,12
3,4,0,808,1610612741,1610612742,0,0,0,0,0,1,2
1,4,0,707,1610612759,1610612742,1,0,0,0,0,3,3
2,5,1,909,1610612744,1610612742,1,0,2,0,0,2,5
3,5,0,773,1610612762,1610612742,1,1,0,0,0,2,11
0,1,0,288,1610612760,1610612742,0,0,0,0,3,1,2
0,0,0,269,1610612738,1610612742,0,0,0,0,0,0,0
0,0,0,198,1610612750,1610612742,0,0,0,0,0,0,0
1,1,0,71,1610612743,1610612742,0,0,0,0,0,0,0
0,2,0,302,1610612747,1610612742,0,0,1,0,0,1,0
0,0,0,3,1610612758,1610612742,0,0,0,0,0,0,0
0,1,0,367,1610612762,1610612742,1,0,0,0,0,1,2
0,0,0,32,1610612759,1610612742,0,0,0,0,0,0,0
3,9,0,1475,1610612756,1610612747,0,0,1,0,0,1,13
4,6,0,1179,1610612746,1610612747,1,1,0,0,0,1,7
1,2,0,1097,1610612744,1610612747,0,1,1,0,1,0,2
2,7,2,1287,1610612756,1610612747,0,1,1,0,1,1,8
2,4,2,1151,1610612766,1610612747,3,1,0,0,0,1,9
2,6,2,720,1610612742,1610612747,0,0,0,0,0,1,8
7,8,0,953,1610612743,1610612747,0,0,0,0,0,1,8
2,4,0,764,1610612763,1610612747,0,0,0,0,1,0,5
3,7,0,1211,1610612750,1610612747,1,2,0,0,0,1,5
4,7,0,684,1610612761,1610612747,0,1,0,0,0,1,10
1,7,0,952,1610612765,1610612747,0,0,2,0,0,3,9
1,3,0,829,1610612764,1610612747,0,0,1,0,0,0,0
1,7,0,1116,1610612738,1610612747,0,3,0,0,0,1,11
2,7,0,961,1610612740,1610612747,1,1,0,0,0,0,10
3,6,2,1082,1610612758,1610612747,0,0,0,1,0,0,3
1,1,0,777,1610612759,1610612747,0,0,1,0,1,0,0
2,4,0,683,1610612750,1610612747,1,0,0,0,0,0,0
2,5,0,1181,1610612754,1610612747,0,2,0,0,0,1,7
4,6,0,1213,1610612760,1610612747,0,3,0,0,0,2,9
2,3,2,639,1610612758,1610612747,0,1,0,0,0,2,4
4,9,0,1511,1610612744,1610612747,0,2,1,0,3,1,12
3,12,1,2084,1610612741,1610612747,2,2,0,0,0,0,12
5,10,2,1624,1610612742,1610612747,1,3,2,0,2,1,12
0,2,0,884,1610612756,1610612747,0,2,0,0,1,0,2
4,6,0,980,1610612743,1610612747,0,4,0,1,1,0,8
1,5,1,892,1610612763,1610612747,0,0,2,0,0,2,7
2,5,0,862,1610612754,1610612747,0,0,0,0,1,1,2
3,12,1,1737,1610612757,1610612747,1,0,0,0,0,1,13
6,10,4,2386,1610612746,1610612747,0,3,0,0,0,3,13
2,9,0,1634,1610612753,1610612747,1,1,0,0,0,0,4
4,10,2,1605,1610612757,1610612747,0,2,0,0,0,1,10
0,6,2,1522,1610612762,1610612747,0,2,0,0,2,1,9
2,7,2,1298,1610612756,1610612747,0,0,0,0,1,1,9
2,4,5,1088,1610612740,1610612747,0,2,2,0,0,3,12
3,12,0,1659,1610612759,1610612747,1,1,0,0,0,0,11
3,12,0,1503,1610612745,1610612747,0,3,0,0,0,1,13
9,20,1,2186,1610612764,1610612747,0,3,3,0,2,2,28
6,19,4,2770,1610612741,1610612747,2,3,1,0,2,4,23
3,12,2,2275,1610612752,1610612747,0,0,1,0,1,0,7
12,17,0,2257,1610612749,1610612747,1,2,0,0,0,3,19
7,10,3,2198,1610612753,1610612747,1,2,0,0,2,0,10
6,14,0,1787,1610612739,1610612747,1,2,0,0,0,0,12
5,13,0,1805,1610612743,1610612747,0,0,0,0,1,1,18
3,14,2,2033,1610612757,1610612747,1,1,1,0,3,2,16
2,7,2,1814,1610612738,1610612747,0,2,0,0,1,2,7
6,13,0,2184,1610612749,1610612747,0,5,2,0,1,3,14
8,15,3,2115,1610612760,1610612747,1,6,1,0,0,3,12
4,15,0,2513,1610612748,1610612747,1,3,0,0,0,4,14
2,13,0,2018,1610612763,1610612747,0,4,1,0,1,2,14
7,16,0,2208,1610612742,1610612747,1,2,1,0,1,5,13
4,12,0,2378,1610612765,1610612747,1,3,2,0,3,1,11
5,13,2,1688,1610612752,1610612747,0,2,0,0,0,0,11
4,11,0,1439,1610612737,1610612747,1,4,0,0,2,1,6
4,8,0,1464,1610612762,1610612747,0,0,0,0,1,0,6
7,10,2,1280,1610612751,1610612747,0,1,2,0,1,0,8
1,12,5,2308,1610612762,1610612747,3,2,0,0,3,1,15
5,13,2,1792,1610612744,1610612747,1,1,1,0,0,0,17
4,9,0,1151,1610612755,1610612747,0,1,0,0,0,1,10
6,14,0,1435,1610612760,1610612747,0,2,1,0,0,0,15
7,19,0,2327,1610612750,1610612747,1,3,1,0,1,4,7
5,13,0,1607,1610612761,1610612747,1,0,0,0,0,0,9
4,12,0,1780,1610612751,1610612747,1,2,0,0,2,1,13
6,15,2,2571,1610612755,1610612747,0,3,0,0,3,2,20
6,10,2,1677,1610612740,1610612747,0,2,1,0,1,2,11
1,3,0,723,1610612741,1610612751,0,1,0,1,0,0,0
4,6,0,1096,1610612759,1610612751,0,0,2,0,0,2,3
4,4,0,523,1610612763,1610612751,0,0,0,0,0,0,6
1,1,0,408,1610612749,1610612751,0,0,0,0,0,1,0
4,8,0,1086,1610612737,1610612751,1,2,2,0,0,1,9
1,4,0,740,1610612747,1610612751,0,0,0,0,0,1,2
0,3,0,940,1610612749,1610612751,0,1,0,0,0,0,0
3,8,0,1111,1610612745,1610612751,1,1,1,0,0,0,5
2,5,0,869,1610612758,1610612751,0,2,2,0,1,2,5
0,3,2,798,1610612744,1610612751,0,0,0,0,0,2,6
2,4,0,1388,1610612737,1610612751,0,1,2,0,0,1,2
1,5,0,846,1610612766,1610612751,0,1,0,0,0,1,4
1,1,0,187,1610612738,1610612751,0,0,0,0,0,0,3
0,2,2,394,1610612760,1610612751,0,1,1,0,0,0,1
4,4,0,626,1610612739,1610612751,0,0,0,0,0,0,0
1,7,1,1412,1610612765,1610612751,0,0,0,1,3,0,12
