@relation Amir_Johnson
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_pts Continuous
@data
1458,1610612738,1610612761,13
1979,1610612737,1610612761,13
1956,1610612749,1610612761,11
1422,1610612748,1610612761,6
2190,1610612766,1610612761,13
2046,1610612754,1610612761,12
1596,1610612762,1610612761,7
2068,1610612745,1610612761,10
1807,1610612763,1610612761,14
1232,1610612741,1610612761,3
2072,1610612757,1610612761,8
1515,1610612755,1610612761,7
1484,1610612764,1610612761,14
1948,1610612751,1610612761,6
976,1610612748,1610612761,2
866,1610612743,1610612761,0
1987,1610612744,1610612761,16
1994,1610612756,1610612761,22
2136,1610612747,1610612761,32
1702,1610612759,1610612761,19
2191,1610612755,1610612761,17
1776,1610612741,1610612761,14
2373,1610612766,1610612761,10
2322,1610612742,1610612761,15
1924,1610612760,1610612761,17
1730,1610612759,1610612761,7
1593,1610612752,1610612761,7
1964,1610612752,1610612761,8
1678,1610612741,1610612761,9
1935,1610612754,1610612761,6
2052,1610612764,1610612761,17
2218,1610612748,1610612761,17
1237,1610612754,1610612761,0
2006,1610612765,1610612761,10
1912,1610612751,1610612761,3
1193,1610612749,1610612761,6
1559,1610612738,1610612761,6
1948,1610612750,1610612761,19
1769,1610612747,1610612761,13
1031,1610612766,1610612761,2
1880,1610612742,1610612761,9
1468,1610612755,1610612761,9
1468,1610612746,1610612761,8
1818,1610612751,1610612761,8
2118,1610612753,1610612761,22
1103,1610612743,1610612761,6
930,1610612757,1610612761,2
1741,1610612762,1610612761,11
1103,1610612758,1610612761,3
1471,1610612746,1610612761,8
1505,1610612764,1610612761,14
1597,1610612741,1610612761,9
1484,1610612739,1610612761,4
1408,1610612753,1610612761,12
2167,1610612739,1610612761,9
2565,1610612764,1610612761,16
1812,1610612744,1610612761,9
1497,1610612758,1610612761,9
1944,1610612750,1610612761,15
2165,1610612751,1610612761,16
1979,1610612765,1610612761,20
2102,1610612763,1610612761,12
1981,1610612756,1610612761,20
2007,1610612737,1610612761,11
2111,1610612740,1610612761,17
2992,1610612760,1610612761,25
1775,1610612737,1610612761,6
2023,1610612739,1610612761,12
1802,1610612738,1610612761,10
1698,1610612738,1610612761,8
2071,1610612753,1610612761,4
1430,1610612748,1610612761,4
178,1610612745,1610612761,0
1023,1610612752,1610612761,0
1010,1610612765,1610612761,8
1671,1610612749,1610612761,10
896,1610612752,1610612761,2
1881,1610612737,1610612761,16
1441,1610612753,1610612761,14
1271,1610612764,1610612761,6
1107,1610612755,1610612761,5
1331,1610612753,1610612761,12
1806,1610612741,1610612761,14
1375,1610612762,1610612761,2
2068,1610612763,1610612761,8
1191,1610612749,1610612761,9
1705,1610612739,1610612761,6
1487,1610612756,1610612761,2
1654,1610612737,1610612761,10
1788,1610612742,1610612761,20
1340,1610612747,1610612761,6
1911,1610612758,1610612761,8
1532,1610612762,1610612761,13
1956,1610612739,1610612761,27
1799,1610612743,1610612761,7
1476,1610612739,1610612761,10
1444,1610612754,1610612761,7
1673,1610612752,1610612761,6
1190,1610612753,1610612761,11
1876,1610612751,1610612761,13
1071,1610612765,1610612761,6
1939,1610612752,1610612761,9
1096,1610612741,1610612761,2
1931,1610612746,1610612761,8
1543,1610612743,1610612761,13
2231,1610612757,1610612761,8
1877,1610612744,1610612761,12
1009,1610612756,1610612761,5
1289,1610612766,1610612761,5
1648,1610612738,1610612761,15
1789,1610612765,1610612761,12
1911,1610612755,1610612761,10
1367,1610612737,1610612761,8
1907,1610612740,1610612761,14
1897,1610612749,1610612761,11
1930,1610612763,1610612761,11
1001,1610612755,1610612761,2
1701,1610612765,1610612761,17
1383,1610612754,1610612761,6
1268,1610612758,1610612761,6
2074,1610612751,1610612761,24
2281,1610612764,1610612761,17
1026,1610612749,1610612761,3
1591,1610612751,1610612761,9
1583,1610612746,1610612761,11
1570,1610612759,1610612761,15
2004,1610612764,1610612761,6
1558,1610612737,1610612761,11
1136,1610612745,1610612761,0
2111,1610612740,1610612761,8
1151,1610612742,1610612761,6
1299,1610612744,1610612761,8
1198,1610612752,1610612761,8
1627,1610612755,1610612761,4
1877,1610612739,1610612761,4
1542,1610612766,1610612761,6
1121,1610612760,1610612761,2
1974,1610612759,1610612761,16
1528,1610612748,1610612761,13
1892,1610612757,1610612761,10
1734,1610612754,1610612761,11
1544,1610612741,1610612761,8
1463,1610612752,1610612761,5
1855,1610612765,1610612761,13
1929,1610612741,1610612761,8
1865,1610612747,1610612761,11
1979,1610612745,1610612761,8
1187,1610612750,1610612761,8
961,1610612751,1610612761,11
950,1610612738,1610612761,8
1256,1610612766,1610612761,2
2045,1610612764,1610612761,18
1138,1610612764,1610612761,10
1955,1610612764,1610612761,14
1557,1610612764,1610612761,4
1202,1610612755,1610612738,15
1138,1610612761,1610612738,11
