@relation Anderson_Varejao
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_pts Continuous
@data
2076,1610612751,1610612739,11
1765,1610612766,1610612739,2
1747,1610612754,1610612739,14
1760,1610612750,1610612739,12
1950,1610612749,1610612739,12
1930,1610612755,1610612739,2
2566,1610612755,1610612739,13
1756,1610612741,1610612739,5
1713,1610612750,1610612739,13
1962,1610612766,1610612739,4
2081,1610612764,1610612739,2
2115,1610612764,1610612739,14
1651,1610612740,1610612739,4
770,1610612759,1610612739,9
1315,1610612748,1610612739,10
1558,1610612738,1610612739,10
1417,1610612741,1610612739,6
1670,1610612743,1610612739,18
1241,1610612737,1610612739,2
1361,1610612746,1610612739,6
1831,1610612752,1610612739,9
1895,1610612753,1610612739,10
1881,1610612748,1610612739,6
1493,1610612757,1610612739,5
2046,1610612749,1610612739,5
1449,1610612741,1610612739,6
1127,1610612765,1610612739,2
2076,1610612737,1610612739,8
1743,1610612738,1610612739,6
2198,1610612744,1610612739,8
1810,1610612754,1610612739,14
2364,1610612753,1610612739,18
2132,1610612751,1610612739,4
1625,1610612754,1610612739,7
1582,1610612755,1610612739,18
1979,1610612762,1610612739,2
1536,1610612758,1610612739,10
2206,1610612747,1610612739,18
2289,1610612757,1610612739,8
1848,1610612743,1610612739,7
2275,1610612742,1610612739,18
2045,1610612741,1610612739,10
1564,1610612749,1610612739,16
2053,1610612756,1610612739,2
1487,1610612742,1610612739,10
2072,1610612747,1610612739,15
1345,1610612764,1610612739,6
2603,1610612763,1610612739,4
560,1610612752,1610612739,4
913,1610612756,1610612739,6
1201,1610612744,1610612739,5
1111,1610612746,1610612739,2
1547,1610612748,1610612739,16
1158,1610612760,1610612739,8
1413,1610612745,1610612739,12
1207,1610612752,1610612739,4
1376,1610612761,1610612739,11
1879,1610612765,1610612739,12
1758,1610612751,1610612739,8
810,1610612754,1610612739,6
1464,1610612737,1610612739,9
1401,1610612766,1610612739,4
1262,1610612765,1610612739,11
1029,1610612749,1610612739,3
971,1610612738,1610612739,4
1636,1610612752,1610612739,10
1703,1610612741,1610612739,10
1648,1610612757,1610612739,9
1912,1610612762,1610612739,8
1662,1610612743,1610612739,15
1313,1610612740,1610612739,12
1677,1610612738,1610612739,16
1246,1610612737,1610612739,2
1104,1610612743,1610612739,0
2231,1610612759,1610612739,23
1500,1610612764,1610612739,10
1720,1610612761,1610612739,13
1232,1610612753,1610612739,14
1556,1610612764,1610612739,10
1640,1610612749,1610612739,8
1724,1610612752,1610612739,8
998,1610612761,1610612739,9
1436,1610612751,1610612739,7
977,1610612761,1610612739,8
1609,1610612760,1610612739,9
1110,1610612740,1610612739,11
1624,1610612766,1610612739,8
1232,1610612737,1610612739,4
993,1610612751,1610612739,7
1628,1610612763,1610612739,18
1022,1610612750,1610612739,6
693,1610612741,1610612739,2
652,1610612763,1610612739,4
950,1610612748,1610612739,2
239,1610612755,1610612739,0
305,1610612752,1610612739,0
415,1610612755,1610612739,2
333,1610612762,1610612739,2
204,1610612752,1610612739,0
309,1610612749,1610612739,2
667,1610612749,1610612739,9
1146,1610612737,1610612739,7
758,1610612753,1610612739,4
487,1610612761,1610612739,0
256,1610612751,1610612739,0
