@relation Ersan_Ilyasova
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_pts Continuous
@data
1183,1610612752,1610612749,10
1375,1610612738,1610612749,5
1410,1610612761,1610612749,14
1302,1610612757,1610612749,5
2435,1610612755,1610612749,19
1249,1610612766,1610612749,7
988,1610612765,1610612749,2
2350,1610612764,1610612749,12
748,1610612766,1610612749,0
1269,1610612738,1610612749,7
2193,1610612765,1610612749,22
1669,1610612764,1610612749,7
1762,1610612751,1610612749,4
1869,1610612741,1610612749,10
2311,1610612759,1610612749,8
1462,1610612741,1610612749,3
1117,1610612742,1610612749,2
2965,1610612752,1610612749,11
1326,1610612751,1610612749,6
1232,1610612750,1610612749,4
1994,1610612747,1610612749,15
1079,1610612762,1610612749,8
1255,1610612756,1610612749,12
1857,1610612744,1610612749,20
1794,1610612741,1610612749,14
1553,1610612760,1610612749,8
1989,1610612761,1610612749,29
1743,1610612763,1610612749,4
1375,1610612745,1610612749,5
1168,1610612759,1610612749,2
1642,1610612765,1610612749,12
1336,1610612739,1610612749,5
1242,1610612737,1610612749,11
1852,1610612746,1610612749,16
1952,1610612756,1610612749,27
1220,1610612753,1610612749,10
2292,1610612763,1610612749,14
2046,1610612752,1610612749,13
1233,1610612743,1610612749,8
2113,1610612740,1610612749,16
1146,1610612753,1610612749,9
2120,1610612743,1610612749,14
1547,1610612754,1610612749,12
1482,1610612755,1610612749,20
1701,1610612754,1610612749,9
1337,1610612751,1610612749,11
1806,1610612762,1610612749,31
1783,1610612758,1610612749,9
1652,1610612764,1610612749,13
1909,1610612753,1610612749,16
1826,1610612737,1610612749,22
1496,1610612752,1610612749,8
1387,1610612757,1610612749,12
1130,1610612744,1610612749,11
1437,1610612758,1610612749,14
706,1610612766,1610612749,6
291,1610612755,1610612749,0
1061,1610612764,1610612749,8
1575,1610612754,1610612749,5
970,1610612741,1610612749,7
1250,1610612765,1610612749,8
1504,1610612763,1610612749,11
1389,1610612760,1610612749,2
780,1610612753,1610612749,8
740,1610612748,1610612749,2
1218,1610612752,1610612749,20
1249,1610612751,1610612749,14
1251,1610612761,1610612749,14
1255,1610612764,1610612749,13
1247,1610612765,1610612749,13
705,1610612750,1610612749,12
1873,1610612765,1610612749,22
1456,1610612745,1610612749,18
720,1610612739,1610612749,9
987,1610612766,1610612749,4
735,1610612752,1610612749,1
1356,1610612761,1610612749,14
1043,1610612762,1610612749,7
1023,1610612765,1610612749,9
1372,1610612759,1610612749,11
623,1610612748,1610612749,4
955,1610612745,1610612749,6
1106,1610612738,1610612749,9
915,1610612751,1610612749,5
121,1610612758,1610612749,2
907,1610612737,1610612749,4
2125,1610612741,1610612749,15
1370,1610612755,1610612749,11
1723,1610612747,1610612749,17
2031,1610612762,1610612749,12
2113,1610612744,1610612749,13
1430,1610612764,1610612749,10
1172,1610612740,1610612749,6
1536,1610612753,1610612749,12
2117,1610612754,1610612749,19
1406,1610612763,1610612749,12
2131,1610612740,1610612749,15
2524,1610612751,1610612749,20
2024,1610612739,1610612749,14
1714,1610612748,1610612749,19
2140,1610612754,1610612749,34
1404,1610612744,1610612749,8
1713,1610612737,1610612749,12
1871,1610612741,1610612749,16
1543,1610612738,1610612749,17
1612,1610612753,1610612749,18
1156,1610612739,1610612749,2
1249,1610612752,1610612749,6
1662,1610612751,1610612749,21
1607,1610612755,1610612749,13
1564,1610612738,1610612749,21
1920,1610612741,1610612749,15
1424,1610612741,1610612749,8
991,1610612741,1610612749,9
1823,1610612741,1610612749,6
1046,1610612741,1610612749,7
2066,1610612737,1610612765,16
1306,1610612762,1610612765,8
1307,1610612741,1610612765,2
2076,1610612754,1610612765,12
1279,1610612756,1610612765,6
1564,1610612757,1610612765,6
1015,1610612758,1610612765,8
1769,1610612746,1610612765,20
1731,1610612747,1610612765,6
1722,1610612739,1610612765,20
1168,1610612750,1610612765,6
1951,1610612764,1610612765,18
1447,1610612749,1610612765,0
1375,1610612748,1610612765,13
1702,1610612760,1610612765,9
1563,1610612751,1610612765,8
