@relation Isaiah_Canaan
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_pts Continuous
@data
23,1610612759,1610612745,0
449,1610612760,1610612745,4
92,1610612747,1610612745,0
559,1610612740,1610612745,0
54,1610612749,1610612745,2
455,1610612758,1610612745,3
92,1610612753,1610612745,0
332,1610612754,1610612745,5
492,1610612741,1610612745,4
499,1610612762,1610612745,3
191,1610612750,1610612745,5
320,1610612739,1610612745,3
829,1610612755,1610612745,5
1229,1610612746,1610612745,14
1390,1610612751,1610612745,2
1058,1610612761,1610612745,7
1080,1610612760,1610612745,6
1116,1610612743,1610612745,15
1612,1610612747,1610612745,15
1449,1610612743,1610612745,6
262,1610612750,1610612745,0
1551,1610612740,1610612745,2
427,1610612747,1610612745,2
490,1610612762,1610612745,3
2085,1610612738,1610612745,9
1776,1610612755,1610612745,13
840,1610612748,1610612745,8
1582,1610612759,1610612745,12
2330,1610612744,1610612745,21
1572,1610612750,1610612745,5
1572,1610612755,1610612745,9
1252,1610612763,1610612745,8
167,1610612742,1610612745,0
1579,1610612752,1610612745,7
1919,1610612758,1610612745,24
895,1610612746,1610612745,13
392,1610612743,1610612745,0
639,1610612740,1610612745,4
237,1610612757,1610612745,0
149,1610612766,1610612745,0
720,1610612740,1610612745,5
446,1610612748,1610612745,8
16,1610612739,1610612745,0
395,1610612752,1610612745,3
80,1610612762,1610612745,0
449,1610612765,1610612745,0
130,1610612746,1610612745,0
1761,1610612753,1610612755,14
1777,1610612748,1610612755,11
1957,1610612749,1610612755,11
1293,1610612764,1610612755,8
1344,1610612754,1610612755,5
1512,1610612761,1610612755,14
2496,1610612760,1610612755,31
1693,1610612762,1610612755,16
2196,1610612737,1610612755,12
1780,1610612741,1610612755,20
1380,1610612758,1610612755,7
1755,1610612751,1610612755,13
1681,1610612738,1610612755,11
1175,1610612752,1610612755,12
1311,1610612747,1610612755,3
1153,1610612758,1610612755,13
1343,1610612743,1610612755,15
1202,1610612746,1610612755,9
1049,1610612739,1610612755,8
1640,1610612747,1610612755,18
1327,1610612764,1610612755,18
2279,1610612738,1610612755,18
1871,1610612762,1610612755,10
1856,1610612739,1610612755,7
900,1610612749,1610612755,3
1291,1610612739,1610612755,17
1602,1610612753,1610612755,23
1723,1610612761,1610612755,18
892,1610612760,1610612755,2
1592,1610612759,1610612755,6
1521,1610612742,1610612755,3
1014,1610612754,1610612755,3
1240,1610612766,1610612755,8
1677,1610612748,1610612755,22
1772,1610612750,1610612755,14
1942,1610612738,1610612755,12
1943,1610612745,1610612755,23
2121,1610612763,1610612755,16
