@relation Jahlil_Okafor
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_pts Continuous
@data
2285,1610612738,1610612755,26
2164,1610612762,1610612755,10
1614,1610612739,1610612755,24
2083,1610612749,1610612755,21
2224,1610612739,1610612755,18
1972,1610612753,1610612755,19
1959,1610612761,1610612755,26
1779,1610612760,1610612755,6
2341,1610612759,1610612755,21
1953,1610612742,1610612755,19
1882,1610612754,1610612755,14
1793,1610612766,1610612755,10
2058,1610612748,1610612755,16
1977,1610612750,1610612755,25
2155,1610612738,1610612755,19
1603,1610612745,1610612755,11
1919,1610612763,1610612755,9
