@relation Raymond_Felton
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_pts Continuous
@data
2058,1610612749,1610612752,18
2205,1610612741,1610612752,13
2286,1610612750,1610612752,8
2238,1610612766,1610612752,14
2267,1610612766,1610612752,15
1490,1610612759,1610612752,7
1897,1610612737,1610612752,10
2437,1610612745,1610612752,8
2003,1610612737,1610612752,7
2125,1610612746,1610612752,12
2230,1610612743,1610612752,8
2258,1610612740,1610612752,12
1710,1610612751,1610612752,13
1598,1610612753,1610612752,14
1221,1610612738,1610612752,0
1131,1610612739,1610612752,6
1527,1610612753,1610612752,13
1836,1610612765,1610612752,12
2310,1610612748,1610612752,13
2136,1610612755,1610612752,9
2639,1610612756,1610612752,19
1756,1610612766,1610612752,13
1748,1610612754,1610612752,12
1917,1610612746,1610612752,5
2100,1610612751,1610612752,9
1844,1610612755,1610612752,9
1696,1610612766,1610612752,11
2157,1610612747,1610612752,20
1510,1610612738,1610612752,4
2154,1610612739,1610612752,12
2016,1610612748,1610612752,7
2075,1610612749,1610612752,3
1405,1610612757,1610612752,7
1669,1610612743,1610612752,9
2034,1610612760,1610612752,16
2453,1610612758,1610612752,8
1766,1610612763,1610612752,6
1996,1610612740,1610612752,5
2692,1610612753,1610612752,15
2156,1610612737,1610612752,16
2015,1610612742,1610612752,8
1857,1610612748,1610612752,2
1294,1610612744,1610612752,8
1831,1610612741,1610612752,8
1893,1610612765,1610612752,4
1867,1610612750,1610612752,18
1561,1610612762,1610612752,2
1773,1610612739,1610612752,8
1634,1610612755,1610612752,13
1600,1610612738,1610612752,6
1406,1610612749,1610612752,9
1692,1610612754,1610612752,11
1599,1610612755,1610612752,7
1916,1610612739,1610612752,14
1213,1610612747,1610612752,6
1940,1610612758,1610612752,5
1390,1610612756,1610612752,6
1658,1610612744,1610612752,2
2124,1610612762,1610612752,12
1223,1610612751,1610612752,5
1671,1610612764,1610612752,9
1844,1610612748,1610612752,15
1887,1610612761,1610612752,12
2133,1610612741,1610612752,14
1272,1610612751,1610612752,8
73,1610612760,1610612742,0
334,1610612764,1610612742,4
81,1610612738,1610612742,2
153,1610612739,1610612742,0
285,1610612746,1610612742,2
1737,1610612743,1610612742,10
336,1610612750,1610612742,2
318,1610612763,1610612742,4
517,1610612753,1610612742,0
310,1610612750,1610612742,3
379,1610612744,1610612742,0
377,1610612758,1610612742,0
896,1610612746,1610612742,3
562,1610612737,1610612742,4
117,1610612757,1610612742,0
385,1610612744,1610612742,5
271,1610612747,1610612742,0
307,1610612739,1610612742,1
373,1610612746,1610612742,0
72,1610612763,1610612742,2
276,1610612756,1610612742,3
486,1610612759,1610612742,2
745,1610612759,1610612742,5
865,1610612754,1610612742,9
224,1610612744,1610612742,2
1795,1610612743,1610612742,13
2204,1610612762,1610612742,7
1316,1610612757,1610612742,10
1074,1610612745,1610612742,9
754,1610612745,1610612742,0
339,1610612745,1610612742,2
1989,1610612756,1610612742,18
1515,1610612746,1610612742,4
1701,1610612747,1610612742,11
1145,1610612761,1610612742,6
1428,1610612766,1610612742,7
1081,1610612740,1610612742,5
1358,1610612740,1610612742,2
1807,1610612746,1610612742,13
1354,1610612747,1610612742,6
2026,1610612745,1610612742,23
1477,1610612755,1610612742,2
1510,1610612738,1610612742,9
910,1610612762,1610612742,4
1068,1610612760,1610612742,3
1404,1610612763,1610612742,16
2231,1610612759,1610612742,5
1688,1610612743,1610612742,12
