@relation Tyson_Chandler
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_pts Continuous
@data
1907,1610612749,1610612752,10
2164,1610612741,1610612752,7
1924,1610612750,1610612752,10
395,1610612766,1610612752,2
2190,1610612749,1610612752,9
1980,1610612763,1610612752,8
2390,1610612753,1610612752,10
1757,1610612760,1610612752,5
1902,1610612761,1610612752,7
1629,1610612761,1610612752,16
1314,1610612759,1610612752,4
1637,1610612745,1610612752,13
264,1610612742,1610612752,0
985,1610612766,1610612752,5
1560,1610612754,1610612752,13
2198,1610612746,1610612752,12
2113,1610612751,1610612752,4
2111,1610612755,1610612752,10
1132,1610612766,1610612752,2
1819,1610612747,1610612752,13
1352,1610612738,1610612752,12
1895,1610612739,1610612752,11
2018,1610612748,1610612752,8
2085,1610612749,1610612752,7
1845,1610612757,1610612752,2
1406,1610612743,1610612752,12
1947,1610612760,1610612752,12
2431,1610612758,1610612752,17
1564,1610612763,1610612752,9
2136,1610612740,1610612752,4
2525,1610612753,1610612752,14
2172,1610612737,1610612752,10
2184,1610612742,1610612752,12
1910,1610612748,1610612752,19
1778,1610612744,1610612752,6
2401,1610612741,1610612752,8
2524,1610612765,1610612752,8
2088,1610612750,1610612752,15
1375,1610612762,1610612752,16
2199,1610612739,1610612752,15
1512,1610612749,1610612752,2
2365,1610612754,1610612752,7
1853,1610612755,1610612752,17
2131,1610612739,1610612752,4
1723,1610612747,1610612752,12
1711,1610612758,1610612752,10
1760,1610612756,1610612752,1
1800,1610612744,1610612752,6
2104,1610612762,1610612752,15
1779,1610612751,1610612752,4
1838,1610612764,1610612752,6
2053,1610612748,1610612752,10
1791,1610612761,1610612752,6
1779,1610612741,1610612752,1
311,1610612751,1610612752,2
1665,1610612759,1610612742,8
1502,1610612762,1610612742,13
1783,1610612740,1610612742,11
1818,1610612738,1610612742,10
1715,1610612757,1610612742,4
1790,1610612762,1610612742,15
1788,1610612748,1610612742,16
1999,1610612758,1610612742,14
1128,1610612755,1610612742,9
1434,1610612750,1610612742,12
1400,1610612766,1610612742,14
2034,1610612764,1610612742,5
1290,1610612747,1610612742,5
1563,1610612745,1610612742,13
1854,1610612754,1610612742,6
2555,1610612752,1610612742,17
2105,1610612761,1610612742,11
1907,1610612755,1610612742,20
2371,1610612741,1610612742,5
1966,1610612749,1610612742,18
1869,1610612756,1610612742,15
1451,1610612749,1610612742,7
1913,1610612763,1610612742,0
1880,1610612740,1610612742,9
1841,1610612744,1610612742,11
1501,1610612752,1610612742,8
1949,1610612765,1610612742,16
2185,1610612759,1610612742,6
2058,1610612737,1610612742,8
2019,1610612756,1610612742,22
1843,1610612747,1610612742,15
1291,1610612764,1610612742,2
1930,1610612738,1610612742,8
1769,1610612739,1610612742,14
2236,1610612751,1610612742,14
1884,1610612765,1610612742,9
1893,1610612746,1610612742,5
2633,1610612758,1610612742,16
2012,1610612743,1610612742,11
2381,1610612763,1610612742,10
1840,1610612750,1610612742,7
2158,1610612741,1610612742,10
1983,1610612740,1610612742,4
1910,1610612763,1610612742,10
1940,1610612745,1610612742,8
1826,1610612748,1610612742,11
1877,1610612753,1610612742,20
1872,1610612750,1610612742,6
2030,1610612744,1610612742,21
1770,1610612758,1610612742,16
2309,1610612757,1610612742,11
84,1610612746,1610612742,1
1981,1610612760,1610612742,10
1972,1610612766,1610612742,12
1801,1610612761,1610612742,4
1931,1610612757,1610612742,4
1440,1610612744,1610612742,9
1946,1610612747,1610612742,8
1391,1610612739,1610612742,9
1700,1610612746,1610612742,14
2102,1610612745,1610612742,10
2013,1610612760,1610612742,5
2133,1610612763,1610612742,9
1852,1610612756,1610612742,7
1823,1610612759,1610612742,6
1802,1610612759,1610612742,10
1691,1610612754,1610612742,2
1709,1610612760,1610612742,14
1788,1610612745,1610612742,8
1458,1610612744,1610612742,10
2031,1610612756,1610612742,12
1855,1610612743,1610612742,6
1484,1610612757,1610612742,22
1869,1610612745,1610612742,11
1825,1610612745,1610612742,11
2026,1610612745,1610612742,8
1752,1610612745,1610612742,10
2156,1610612745,1610612742,11
1021,1610612742,1610612756,3
1554,1610612757,1610612756,15
1950,1610612757,1610612756,5
2159,1610612746,1610612756,14
1550,1610612758,1610612756,7
2097,1610612765,1610612756,4
1458,1610612760,1610612756,1
1679,1610612746,1610612756,5
1498,1610612743,1610612756,11
1356,1610612747,1610612756,0
1856,1610612741,1610612756,6
1092,1610612743,1610612756,2
961,1610612740,1610612756,1
1178,1610612759,1610612756,1
249,1610612744,1610612756,0
