@relation Dallas_Mavericks
@attribute game_id NUMERIC
@attribute season_year NUMERIC
@attribute finals_match {'T','F'}
@attribute fg3_attempted_total NUMERIC
@attribute fg3_made_total NUMERIC
@attribute fg3_percent_average NUMERIC
@attribute fg_attempted_total NUMERIC
@attribute fg_made_total NUMERIC
@attribute fg_percent_average NUMERIC
@attribute ft_attempted_total NUMERIC
@attribute ft_made_total NUMERIC
@attribute ft_percent_average NUMERIC
@attribute total_minutes NUMERIC
@attribute opponent_id {Brooklyn_Nets,Boston_Celtics,Memphis_Grizzlies,Utah_Jazz,Milwaukee_Bucks,Orlando_Magic,Sacramento_Kings,Washington_Wizards,Philadelphia_76ers,New York_Knicks,Dallas_Mavericks,New Orleans_Pelicans,Portland_Trail Blazers,Detroit_Pistons,Miami_Heat,Chicago_Bulls,Oklahoma City_Thunder,Denver_Nuggets,Charlotte_Hornets,Cleveland_Cavaliers,Minnesota_Timberwolves,Toronto_Raptors,Golden State_Warriors,Houston_Rockets,San Antonio_Spurs,Atlanta_Hawks,Los Angeles_Lakers,Los Angeles_Clippers,Indiana_Pacers,Phoenix_Suns}
@attribute total_points_scored NUMERIC
@attribute total_players_accounted NUMERIC
@attribute average_time_played NUMERIC
@data
0012, 13, F, 24.0, 11.0, 0.4583333333333333, 77.0, 44.0, 0.5714285714285714, 24.0, 19.0, 0.7916666666666666, 14400.0, 'Atlanta_Hawks', 118.0, 10.0, 1440.0
0025, 13, F, 27.0, 9.0, 0.3333333333333333, 100.0, 38.0, 0.38, 25.0, 20.0, 0.8, 14400.0, 'Houston_Rockets', 105.0, 12.0, 1200.0
0036, 13, F, 19.0, 7.0, 0.3684210526315789, 80.0, 32.0, 0.4, 46.0, 40.0, 0.8695652173913043, 14402.0, 'Memphis_Grizzlies', 111.0, 9.0, 1600.2222222222222
0056, 13, F, 27.0, 13.0, 0.48148148148148145, 94.0, 49.0, 0.5212765957446809, 14.0, 12.0, 0.8571428571428571, 14399.0, 'Los Angeles_Lakers', 123.0, 12.0, 1199.9166666666667
0069, 13, F, 23.0, 9.0, 0.391304347826087, 85.0, 36.0, 0.4235294117647059, 14.0, 12.0, 0.8571428571428571, 14401.0, 'Oklahoma City_Thunder', 93.0, 11.0, 1309.1818181818182
0080, 13, F, 22.0, 10.0, 0.45454545454545453, 90.0, 44.0, 0.4888888888888889, 15.0, 10.0, 0.6666666666666666, 14400.0, 'Minnesota_Timberwolves', 108.0, 10.0, 1440.0
0092, 13, F, 19.0, 6.0, 0.3157894736842105, 78.0, 33.0, 0.4230769230769231, 21.0, 19.0, 0.9047619047619048, 14400.0, 'Milwaukee_Bucks', 91.0, 9.0, 1600.0
0108, 13, F, 26.0, 10.0, 0.38461538461538464, 84.0, 41.0, 0.4880952380952381, 19.0, 13.0, 0.6842105263157895, 14399.0, 'Washington_Wizards', 105.0, 11.0, 1309.0
0130, 13, F, 28.0, 12.0, 0.42857142857142855, 74.0, 37.0, 0.5, 21.0, 18.0, 0.8571428571428571, 14400.0, 'Miami_Heat', 104.0, 10.0, 1440.0
0137, 13, F, 27.0, 10.0, 0.37037037037037035, 84.0, 43.0, 0.5119047619047619, 18.0, 12.0, 0.6666666666666666, 14400.0, 'Orlando_Magic', 108.0, 9.0, 1600.0
0153, 13, F, 29.0, 9.0, 0.3103448275862069, 78.0, 34.0, 0.4358974358974359, 26.0, 20.0, 0.7692307692307693, 14400.0, 'Philadelphia_76ers', 97.0, 11.0, 1309.090909090909
0172, 13, F, 22.0, 11.0, 0.5, 72.0, 42.0, 0.5833333333333334, 33.0, 28.0, 0.8484848484848485, 14399.0, 'Houston_Rockets', 123.0, 9.0, 1599.888888888889
0184, 13, F, 17.0, 7.0, 0.4117647058823529, 75.0, 38.0, 0.5066666666666667, 27.0, 20.0, 0.7407407407407407, 14400.0, 'Utah_Jazz', 103.0, 10.0, 1440.0
0195, 13, F, 21.0, 7.0, 0.3333333333333333, 87.0, 35.0, 0.40229885057471265, 25.0, 23.0, 0.92, 14400.0, 'Denver_Nuggets', 100.0, 10.0, 1440.0
0207, 13, F, 19.0, 5.0, 0.2631578947368421, 82.0, 38.0, 0.4634146341463415, 19.0, 15.0, 0.7894736842105263, 14400.0, 'Denver_Nuggets', 96.0, 13.0, 1107.6923076923076
0225, 13, F, 18.0, 7.0, 0.3888888888888889, 99.0, 44.0, 0.4444444444444444, 10.0, 8.0, 0.8, 14400.0, 'Golden State_Warriors', 103.0, 10.0, 1440.0
0231, 13, F, 24.0, 9.0, 0.375, 77.0, 29.0, 0.37662337662337664, 21.0, 20.0, 0.9523809523809523, 14400.0, 'Atlanta_Hawks', 87.0, 11.0, 1309.090909090909
0244, 13, F, 24.0, 7.0, 0.2916666666666667, 92.0, 45.0, 0.4891304347826087, 11.0, 9.0, 0.8181818181818182, 14401.0, 'Minnesota_Timberwolves', 106.0, 11.0, 1309.1818181818182
0266, 13, F, 21.0, 8.0, 0.38095238095238093, 82.0, 33.0, 0.4024390243902439, 17.0, 15.0, 0.8823529411764706, 14400.0, 'Charlotte_Hornets', 89.0, 11.0, 1309.090909090909
0273, 13, F, 24.0, 11.0, 0.4583333333333333, 86.0, 37.0, 0.43023255813953487, 22.0, 15.0, 0.6818181818181818, 14400.0, 'New Orleans_Pelicans', 100.0, 10.0, 1440.0
0298, 13, F, 16.0, 8.0, 0.5, 87.0, 46.0, 0.5287356321839081, 11.0, 8.0, 0.7272727272727273, 14400.0, 'Portland_Trail Blazers', 108.0, 11.0, 1309.090909090909
0309, 13, F, 27.0, 5.0, 0.18518518518518517, 95.0, 37.0, 0.3894736842105263, 20.0, 18.0, 0.9, 14400.0, 'Sacramento_Kings', 97.0, 12.0, 1200.0
0326, 13, F, 23.0, 8.0, 0.34782608695652173, 88.0, 37.0, 0.42045454545454547, 14.0, 11.0, 0.7857142857142857, 14400.0, 'Golden State_Warriors', 93.0, 9.0, 1600.0
