@relation Philadelphia_76ers
@attribute game_id NUMERIC
@attribute season_year NUMERIC
@attribute finals_match {'T','F'}
@attribute fg3_attempted_total NUMERIC
@attribute fg3_made_total NUMERIC
@attribute fg3_percent_average NUMERIC
@attribute fg_attempted_total NUMERIC
@attribute fg_made_total NUMERIC
@attribute fg_percent_average NUMERIC
@attribute ft_attempted_total NUMERIC
@attribute ft_made_total NUMERIC
@attribute ft_percent_average NUMERIC
@attribute total_minutes NUMERIC
@attribute opponent_id {Miami_Heat,Philadelphia_76ers,Charlotte_Hornets,Detroit_Pistons,Denver_Nuggets,Washington_Wizards,Chicago_Bulls,Orlando_Magic,Houston_Rockets,Atlanta_Hawks,New_York_Knicks,Golden_State_Warriors,Oklahoma_City_Thunder,Phoenix_Suns,Los_Angeles_Lakers,Indiana_Pacers,Dallas_Mavericks,Toronto_Raptors,Cleveland_Cavaliers,San_Antonio_Spurs,Portland_Trail_Blazers,Minnesota_Timberwolves,Brooklyn_Nets,Los_Angeles_Clippers,Boston_Celtics,Milwaukee_Bucks,New_Orleans_Pelicans,Utah_Jazz,Sacramento_Kings,Memphis_Grizzlies}
@attribute total_points_scored NUMERIC
@attribute total_players_accounted NUMERIC
@attribute average_time_played NUMERIC
@data
0005, 13, F, 21.0, 8.0, 0.38095238095238093, 80.0, 43.0, 0.5375, 24.0, 20.0, 0.8333333333333334, 14400.0, 'Miami_Heat', 114.0, 9.0, 1600.0
0022, 13, F, 23.0, 6.0, 0.2608695652173913, 94.0, 48.0, 0.5106382978723404, 14.0, 7.0, 0.5, 14400.0, 'Washington_Wizards', 109.0, 10.0, 1440.0
0034, 13, F, 22.0, 11.0, 0.5, 86.0, 42.0, 0.4883720930232558, 18.0, 12.0, 0.6666666666666666, 14400.0, 'Chicago_Bulls', 107.0, 11.0, 1309.090909090909
0048, 13, F, 25.0, 5.0, 0.2, 88.0, 31.0, 0.3522727272727273, 37.0, 23.0, 0.6216216216216216, 14400.0, 'Golden State_Warriors', 90.0, 11.0, 1309.090909090909
0063, 13, F, 18.0, 6.0, 0.3333333333333333, 83.0, 39.0, 0.46987951807228917, 26.0, 18.0, 0.6923076923076923, 14400.0, 'Washington_Wizards', 102.0, 10.0, 1440.0
0076, 13, F, 21.0, 7.0, 0.3333333333333333, 84.0, 40.0, 0.47619047619047616, 9.0, 7.0, 0.7777777777777778, 14402.0, 'Cleveland_Cavaliers', 94.0, 10.0, 1440.2
0088, 13, F, 27.0, 11.0, 0.4074074074074074, 99.0, 47.0, 0.47474747474747475, 23.0, 20.0, 0.8695652173913043, 17400.0, 'Cleveland_Cavaliers', 125.0, 9.0, 1933.3333333333333
0100, 13, F, 19.0, 5.0, 0.2631578947368421, 82.0, 34.0, 0.4146341463414634, 16.0, 12.0, 0.75, 14400.0, 'San Antonio_Spurs', 85.0, 10.0, 1440.0
0112, 13, F, 25.0, 11.0, 0.44, 103.0, 43.0, 0.4174757281553398, 34.0, 26.0, 0.7647058823529411, 15900.0, 'Houston_Rockets', 123.0, 10.0, 1590.0
0127, 13, F, 19.0, 5.0, 0.2631578947368421, 86.0, 40.0, 0.46511627906976744, 23.0, 18.0, 0.782608695652174, 14400.0, 'Atlanta_Hawks', 103.0, 10.0, 1440.0
0143, 13, F, 19.0, 6.0, 0.3157894736842105, 83.0, 35.0, 0.42168674698795183, 31.0, 22.0, 0.7096774193548387, 14400.0, 'New Orleans_Pelicans', 98.0, 10.0, 1440.0
0153, 13, F, 21.0, 6.0, 0.2857142857142857, 99.0, 38.0, 0.3838383838383838, 22.0, 12.0, 0.5454545454545454, 14401.0, 'Dallas_Mavericks', 94.0, 9.0, 1600.111111111111
0165, 13, F, 20.0, 7.0, 0.35, 76.0, 34.0, 0.4473684210526316, 31.0, 23.0, 0.7419354838709677, 14400.0, 'Toronto_Raptors', 98.0, 11.0, 1309.090909090909
0177, 13, F, 20.0, 7.0, 0.35, 79.0, 45.0, 0.569620253164557, 29.0, 18.0, 0.6206896551724138, 15900.0, 'Milwaukee_Bucks', 115.0, 11.0, 1445.4545454545455
