@relation Andrei_Kirilenko
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300028,0,0,4,2,8,4,706,1610612748,1610612751,2,1,0,0,1,3,8
21300043,0,0,5,1,2,1,671,1610612753,1610612751,2,1,1,0,1,4,3
21300052,0,0,3,3,1,0,1013,1610612762,1610612751,3,0,0,0,1,1,6
21300077,0,0,2,0,8,6,767,1610612764,1610612751,0,2,2,0,0,0,6
21300465,0,0,2,2,1,0,653,1610612759,1610612751,1,2,0,0,2,2,4
21300476,0,0,3,3,4,3,893,1610612760,1610612751,2,1,0,0,0,1,9
21300491,0,0,3,2,4,4,847,1610612739,1610612751,0,0,0,0,0,1,8
21300506,0,0,3,1,10,6,1281,1610612737,1610612751,2,4,0,0,2,1,8
21300523,0,0,7,3,3,2,1102,1610612744,1610612751,2,2,1,0,2,1,8
21300537,0,0,2,0,2,1,1326,1610612748,1610612751,4,1,2,0,1,4,1
21300543,0,0,6,3,0,0,1148,1610612761,1610612751,0,0,1,0,2,1,6
21300579,0,0,1,1,2,2,1281,1610612737,1610612751,2,3,0,1,2,0,4
21300610,0,0,4,1,2,1,1399,1610612752,1610612751,2,2,1,0,1,5,3
21300616,0,0,6,2,0,0,1291,1610612753,1610612751,0,0,0,2,2,1,4
21300637,0,0,4,2,2,2,1204,1610612742,1610612751,0,1,1,1,1,0,6
21300658,0,0,6,4,4,3,1440,1610612738,1610612751,2,1,2,0,1,0,11
21300663,0,0,5,2,0,0,1435,1610612761,1610612751,1,2,2,1,2,1,4
21300737,0,0,3,1,4,2,1569,1610612759,1610612751,1,6,1,0,2,4,4
21300744,0,0,2,1,0,0,375,1610612765,1610612751,1,0,0,0,0,0,2
21300759,0,0,2,2,3,0,1192,1610612740,1610612751,2,0,1,1,3,2,4
21300781,1,0,5,3,0,0,1098,1610612766,1610612751,2,2,0,0,2,2,6
21300790,1,1,3,3,3,1,1283,1610612741,1610612751,1,0,1,0,2,1,8
21300808,0,0,2,2,2,0,1414,1610612762,1610612751,1,1,3,1,0,2,4
21300832,0,0,5,2,2,2,1900,1610612744,1610612751,3,3,0,1,2,3,6
21300839,1,0,8,4,6,2,2128,1610612747,1610612751,4,3,4,1,4,2,10
21300861,0,0,1,1,0,0,719,1610612757,1610612751,0,0,1,0,0,0,2
21300866,1,0,3,2,7,5,576,1610612743,1610612751,1,0,1,1,1,2,9
21300878,0,0,5,3,5,1,1570,1610612749,1610612751,1,5,1,1,2,1,7
21300891,0,0,3,3,4,1,1473,1610612741,1610612751,1,1,0,0,0,1,7
21300908,0,0,2,1,0,0,1022,1610612763,1610612751,0,2,2,0,2,1,2
21300920,1,0,3,1,1,1,1075,1610612738,1610612751,0,1,1,3,0,0,3
21300938,0,0,3,2,2,1,1102,1610612758,1610612751,0,3,1,1,2,4,5
21300982,0,0,4,2,4,1,719,1610612764,1610612751,1,0,0,0,1,1,5
21300998,0,0,2,1,2,0,1038,1610612756,1610612751,1,2,1,1,1,4,2
21301010,0,0,0,0,4,0,711,1610612766,1610612751,0,0,1,0,0,0,0
21301026,0,0,4,3,2,0,1034,1610612738,1610612751,0,1,0,0,1,0,6
21301044,0,0,3,0,0,0,412,1610612742,1610612751,0,0,0,0,2,0,0
21301134,0,0,1,0,0,0,1161,1610612765,1610612751,0,4,2,1,0,0,0
21301147,0,0,4,3,0,0,866,1610612755,1610612751,1,1,1,0,1,1,6
21301158,0,0,0,0,2,1,647,1610612748,1610612751,0,0,0,0,0,1,1
21301163,0,0,3,2,2,1,1417,1610612753,1610612751,0,2,2,0,0,0,5
21301179,0,0,6,3,4,2,1636,1610612737,1610612751,4,3,0,0,0,1,8
21301199,0,0,4,1,0,0,1637,1610612753,1610612751,0,2,0,1,1,1,2
21301214,0,0,6,2,0,0,1555,1610612752,1610612751,3,4,2,0,2,4,4
21301224,0,0,7,2,7,5,1652,1610612739,1610612751,2,3,1,1,2,1,9
21400006,0,0,3,0,4,3,601,1610612738,1610612751,2,0,1,0,0,0,3
21400033,0,0,1,0,0,0,436,1610612765,1610612751,0,0,0,0,0,0,0
21400044,0,0,0,0,0,0,281,1610612760,1610612751,0,1,0,0,0,1,0
21400060,0,0,1,0,0,0,280,1610612750,1610612751,0,0,0,0,1,0,0
21400075,0,0,0,0,0,0,133,1610612752,1610612751,0,0,0,0,0,0,0
21400116,0,0,0,0,0,0,217,1610612756,1610612751,0,0,0,0,0,0,0
21400121,0,0,0,0,0,0,236,1610612744,1610612751,0,0,0,0,0,0,0
