@relation Anthony_Morrow
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
1,0,3,1,0,0,844,1610612754,1610612740,0,0,0,0,0,0,2
4,4,5,4,2,2,1096,1610612753,1610612740,1,0,1,1,0,1,14
4,2,6,3,0,0,1293,1610612766,1610612740,0,2,0,0,1,1,8
4,2,9,4,0,0,1240,1610612756,1610612740,1,0,1,0,0,0,10
2,1,6,3,0,0,702,1610612763,1610612740,0,0,1,0,1,0,7
3,2,7,4,0,0,1004,1610612747,1610612740,0,0,0,1,0,1,10
4,2,11,7,0,0,1685,1610612756,1610612740,0,0,0,0,1,3,16
2,2,3,3,0,0,971,1610612747,1610612740,0,1,2,0,1,2,8
1,0,4,1,3,2,829,1610612762,1610612740,0,0,0,0,0,1,4
2,0,3,0,2,2,915,1610612755,1610612740,0,3,2,0,1,0,2
1,1,4,3,2,1,889,1610612762,1610612740,1,1,0,0,0,0,8
2,0,6,2,0,0,760,1610612739,1610612740,1,1,2,0,0,2,4
4,1,10,4,0,0,1578,1610612759,1610612740,1,1,0,0,0,1,9
2,1,2,1,0,0,723,1610612744,1610612740,0,0,1,0,1,1,3
2,1,5,2,2,2,1041,1610612755,1610612740,0,0,2,0,1,1,7
1,1,1,1,0,0,756,1610612752,1610612740,0,0,0,0,1,1,3
