@relation Ben_Gordon
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300035,1,0,3,1,4,2,526,1610612740,1610612766,0,1,1,0,0,1,4
21300228,2,0,8,2,4,4,1035,1610612749,1610612766,0,2,1,0,2,1,8
21300252,0,0,0,0,2,1,395,1610612748,1610612766,0,1,0,0,0,1,1
21300266,1,0,8,2,0,0,800,1610612742,1610612766,0,0,0,0,2,0,4
21300280,2,0,4,2,1,0,576,1610612755,1610612766,0,3,0,0,0,0,4
21300304,1,1,9,4,3,3,826,1610612744,1610612766,0,1,2,0,0,0,12
21300318,2,1,8,3,2,2,1507,1610612753,1610612766,1,5,0,0,1,1,9
21300329,1,0,7,2,0,0,1428,1610612754,1610612766,0,1,0,0,0,1,4
21300342,3,0,11,5,0,0,1499,1610612747,1610612766,0,1,1,1,2,2,10
21300364,2,1,6,2,0,0,1580,1610612758,1610612766,0,1,1,0,4,2,5
21300371,0,0,1,0,0,0,517,1610612761,1610612766,0,0,0,0,2,0,0
21300386,2,1,7,3,3,3,834,1610612765,1610612766,0,0,1,0,0,1,10
21300394,1,0,5,2,0,0,741,1610612762,1610612766,0,0,0,1,1,4,4
21300407,2,2,4,2,0,0,854,1610612749,1610612766,0,1,1,0,3,1,6
21300427,2,0,4,1,0,0,694,1610612760,1610612766,0,0,0,0,1,0,2
21300440,1,1,6,3,0,0,725,1610612737,1610612766,0,0,1,0,0,1,7
21300535,3,0,7,1,0,0,573,1610612750,1610612766,0,1,0,0,2,1,2
21300781,2,1,3,1,0,0,419,1610612751,1610612766,0,1,1,0,0,0,3
21300825,1,0,7,1,2,2,1197,1610612763,1610612766,2,2,0,0,1,1,4
21400001,2,0,8,1,4,3,1381,1610612740,1610612753,0,1,0,0,0,3,5
21400016,5,2,12,7,7,6,1569,1610612764,1610612753,0,4,0,0,1,2,22
21400029,3,1,8,3,0,0,1480,1610612761,1610612753,0,1,0,0,1,1,7
21400053,0,0,6,3,0,0,1041,1610612741,1610612753,1,3,0,0,0,2,6
21400058,1,0,11,5,6,5,1227,1610612755,1610612753,0,0,0,0,2,3,15
21400072,0,0,3,0,0,0,1062,1610612750,1610612753,1,2,0,0,2,1,0
21400090,1,0,1,0,0,0,468,1610612751,1610612753,0,3,0,0,2,1,0
