@relation Bismack_Biyombo
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,4,2,0,0,995,1610612745,1610612766,1,0,0,0,0,2,4
0,0,6,5,2,1,2209,1610612739,1610612766,1,0,0,2,1,3,11
0,0,0,0,2,0,1530,1610612740,1610612766,1,0,0,1,0,1,0
0,0,1,0,2,1,1115,1610612752,1610612766,1,0,0,1,4,2,1
0,0,4,3,6,2,2389,1610612761,1610612766,4,0,0,3,0,2,8
0,0,1,0,4,3,1566,1610612752,1610612766,1,1,0,1,1,1,3
0,0,1,1,2,0,1015,1610612737,1610612766,1,0,0,0,0,2,2
0,0,3,2,0,0,901,1610612738,1610612766,1,0,0,1,0,2,4
0,0,1,0,0,0,1899,1610612739,1610612766,4,0,0,3,2,2,0
0,0,2,1,2,2,1253,1610612748,1610612766,2,0,0,0,0,2,4
0,0,2,2,2,2,1247,1610612741,1610612766,1,0,0,1,0,2,6
0,0,6,4,3,1,1353,1610612751,1610612766,1,0,0,0,0,4,9
0,0,0,0,0,0,321,1610612749,1610612766,0,0,0,0,0,0,0
0,0,1,1,4,2,657,1610612754,1610612766,2,0,0,0,0,0,4
0,0,4,3,2,1,1179,1610612749,1610612766,4,0,0,1,2,1,7
0,0,1,1,0,0,594,1610612748,1610612766,0,0,0,1,0,0,2
0,0,1,0,0,0,580,1610612742,1610612766,3,0,1,0,0,0,0
0,0,2,2,0,0,443,1610612755,1610612766,1,0,0,1,0,1,4
0,0,2,2,3,2,1038,1610612754,1610612766,2,1,1,0,1,3,6
0,0,4,3,0,0,844,1610612747,1610612766,1,0,0,2,2,2,6
0,0,1,0,2,0,1192,1610612758,1610612766,3,0,0,2,1,4,0
0,0,1,0,2,1,809,1610612761,1610612766,0,0,0,0,2,3,1
0,0,1,1,2,1,875,1610612765,1610612766,1,0,0,4,0,1,3
0,0,3,2,2,1,1022,1610612762,1610612766,2,0,0,2,0,1,5
0,0,5,2,0,0,826,1610612749,1610612766,1,0,0,1,0,0,4
0,0,2,1,0,0,808,1610612760,1610612766,3,0,0,2,1,3,2
0,0,1,1,4,4,860,1610612737,1610612766,2,0,0,2,1,0,6
0,0,1,1,0,0,740,1610612762,1610612766,0,0,0,1,0,1,2
0,0,5,3,3,2,1056,1610612746,1610612766,1,1,0,1,2,0,8
0,0,3,2,3,2,1152,1610612757,1610612766,0,0,1,0,1,1,6
0,0,1,0,2,1,569,1610612758,1610612766,0,0,0,0,1,6,1
0,0,1,0,2,0,808,1610612764,1610612766,0,0,0,1,0,2,0
0,0,1,0,4,4,1207,1610612750,1610612766,0,0,0,4,1,2,4
0,0,1,0,0,0,545,1610612741,1610612766,1,0,0,1,0,3,0
0,0,2,1,0,0,515,1610612752,1610612766,0,0,0,0,0,0,2
0,0,0,0,0,0,184,1610612753,1610612766,0,0,0,0,1,1,0
0,0,3,3,2,1,584,1610612748,1610612766,1,0,0,1,0,1,7
0,0,1,1,0,0,598,1610612761,1610612766,0,1,0,1,1,2,2
0,0,0,0,0,0,736,1610612746,1610612766,1,0,0,0,0,0,0
0,0,4,3,2,2,1035,1610612752,1610612766,3,1,0,3,0,1,8
0,0,0,0,0,0,620,1610612741,1610612766,1,0,0,0,1,1,0
0,0,4,1,2,2,945,1610612743,1610612766,1,0,0,1,1,2,4
0,0,1,1,0,0,556,1610612747,1610612766,1,0,0,1,0,0,2
0,0,1,1,2,2,975,1610612756,1610612766,1,0,0,3,0,1,4
0,0,2,1,0,0,517,1610612744,1610612766,2,0,0,1,1,4,2
0,0,1,0,0,0,589,1610612759,1610612766,2,0,0,0,0,3,0
0,0,5,5,0,0,584,1610612742,1610612766,2,0,0,1,0,2,10
0,0,3,3,2,0,1152,1610612751,1610612766,2,0,0,2,1,3,6
0,0,1,1,4,1,604,1610612765,1610612766,1,0,0,1,0,1,3
0,0,1,0,2,1,796,1610612765,1610612766,3,0,0,5,1,2,1
0,0,2,0,0,0,836,1610612740,1610612766,2,0,0,1,2,0,0
0,0,3,3,2,0,1023,1610612763,1610612766,2,0,0,2,0,2,6
0,0,3,0,0,0,784,1610612759,1610612766,2,0,1,0,0,1,0
0,0,2,2,2,1,725,1610612760,1610612766,0,0,0,3,1,1,5
0,0,0,0,0,0,321,1610612748,1610612766,0,0,0,0,0,1,0
0,0,1,0,0,0,371,1610612754,1610612766,1,0,0,0,0,0,0
0,0,0,0,0,0,161,1610612739,1610612766,1,0,0,1,0,1,0
0,0,5,3,0,0,1058,1610612763,1610612766,3,0,0,3,0,3,6
0,0,2,0,0,0,526,1610612743,1610612766,1,0,0,0,1,2,0
0,0,2,0,0,0,698,1610612764,1610612766,1,0,0,0,0,1,0
0,0,1,1,0,0,589,1610612750,1610612766,1,0,0,1,0,1,2
0,0,3,2,0,0,668,1610612749,1610612766,0,0,0,1,1,0,4
0,0,2,2,0,0,465,1610612737,1610612766,1,0,0,1,2,3,4
0,0,2,1,0,0,658,1610612751,1610612766,2,0,0,1,0,3,2
0,0,0,0,0,0,905,1610612757,1610612766,2,0,1,0,0,2,0
0,0,1,0,0,0,356,1610612745,1610612766,3,0,0,0,0,1,0
0,0,0,0,2,1,702,1610612751,1610612766,1,1,0,0,0,4,1
0,0,0,0,0,0,684,1610612753,1610612766,0,0,0,2,1,2,0
0,0,2,2,0,0,477,1610612764,1610612766,0,0,1,1,0,0,4
0,0,3,1,0,0,1045,1610612755,1610612766,4,0,0,2,1,3,2
0,0,1,1,0,0,675,1610612753,1610612766,1,0,0,2,0,0,2
0,0,1,0,0,0,711,1610612739,1610612766,4,0,0,0,0,2,0
0,0,1,1,0,0,612,1610612764,1610612766,0,0,0,0,1,2,2
0,0,1,0,0,0,520,1610612738,1610612766,0,0,0,2,0,4,0
0,0,0,0,4,2,718,1610612755,1610612766,1,1,0,1,0,1,2
0,0,1,1,1,0,794,1610612737,1610612766,3,1,0,2,0,0,2
0,0,3,2,2,0,678,1610612741,1610612766,2,0,1,1,0,1,4
0,0,0,0,0,0,161,1610612747,1610612766,0,0,0,0,1,0,0
0,0,4,3,6,5,859,1610612756,1610612766,5,2,0,0,1,4,11
0,0,0,0,4,3,1107,1610612744,1610612766,1,0,0,2,1,2,3
0,0,6,2,2,0,974,1610612742,1610612766,5,0,0,2,0,0,4
0,0,4,2,0,0,786,1610612754,1610612766,3,0,0,1,0,3,4
0,0,3,2,2,0,742,1610612753,1610612766,0,0,1,6,2,3,4
0,0,0,0,0,0,815,1610612748,1610612766,0,0,1,0,2,1,0
0,0,1,1,4,3,976,1610612746,1610612766,2,0,0,1,0,0,5
0,0,3,1,0,0,749,1610612757,1610612766,2,0,0,1,1,2,2
0,0,8,4,0,0,821,1610612744,1610612766,2,0,0,2,0,1,8
0,0,4,3,4,1,1239,1610612737,1610612766,6,1,0,2,1,1,7
0,0,4,2,0,0,890,1610612741,1610612766,1,0,0,0,0,1,4
0,0,3,3,2,1,811,1610612752,1610612766,3,0,0,2,2,3,7
0,0,0,0,2,2,635,1610612738,1610612766,1,0,0,0,0,2,2
0,0,0,0,4,1,745,1610612763,1610612766,3,1,0,2,2,3,1
0,0,2,1,8,2,1486,1610612751,1610612766,4,0,0,1,0,4,4
0,0,1,1,4,2,942,1610612739,1610612766,1,0,0,4,0,0,4
0,0,0,0,0,0,446,1610612756,1610612766,1,1,1,0,0,1,0
0,0,2,2,0,0,515,1610612755,1610612766,3,0,0,0,2,2,4
0,0,1,1,0,0,1059,1610612762,1610612766,2,0,0,0,0,1,2
0,0,3,3,0,0,979,1610612743,1610612766,1,0,0,0,0,1,6
0,0,2,1,6,2,976,1610612749,1610612766,3,0,0,2,0,2,4
0,0,2,0,0,0,1116,1610612760,1610612766,1,0,0,1,3,3,0
0,0,0,0,0,0,597,1610612753,1610612766,0,0,0,1,1,1,0
0,0,2,0,2,0,488,1610612749,1610612766,3,0,0,2,1,1,0
0,0,2,1,10,7,1542,1610612745,1610612766,2,0,0,3,0,3,9
0,0,0,0,2,2,1614,1610612739,1610612766,2,0,1,0,2,3,2
0,0,0,0,0,0,1038,1610612753,1610612766,0,0,1,1,0,3,0
0,0,5,2,0,0,1623,1610612738,1610612766,3,0,1,2,1,2,4
0,0,1,1,2,1,1693,1610612740,1610612766,2,0,0,0,1,5,3
0,0,5,2,5,2,1627,1610612761,1610612766,2,0,0,2,0,5,6
0,0,7,5,5,4,1251,1610612752,1610612766,7,1,1,1,3,1,14
