@relation Brandon_Rush
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300052,0,0,0,0,0,0,586,1610612751,1610612762,0,1,0,0,2,2,0
21300239,1,0,2,0,0,0,751,1610612756,1610612762,0,2,0,0,1,0,0
21300274,0,0,1,1,0,0,620,1610612754,1610612762,1,0,0,0,1,2,2
21300288,1,0,6,2,1,1,1381,1610612757,1610612762,0,2,1,0,2,1,5
21300325,4,3,4,3,0,0,1170,1610612758,1610612762,0,2,0,2,0,0,9
21300339,0,0,1,0,0,0,597,1610612743,1610612762,1,1,0,1,1,3,0
21300349,2,1,3,1,0,0,258,1610612759,1610612762,0,0,0,0,0,1,3
21300360,0,0,1,0,0,0,1237,1610612748,1610612762,0,0,0,0,0,0,0
21300370,0,0,1,0,0,0,644,1610612753,1610612762,0,1,0,0,1,0,0
21300384,1,0,4,0,0,0,966,1610612737,1610612762,1,1,0,1,2,0,0
21300394,0,0,2,0,0,0,481,1610612766,1610612762,0,0,0,0,0,1,0
21300413,0,0,0,0,0,0,341,1610612763,1610612762,0,0,0,0,0,0,0
21300433,0,0,0,0,0,0,241,1610612747,1610612762,0,0,0,0,0,0,0
21300518,2,1,4,2,0,0,650,1610612760,1610612762,0,1,0,0,0,1,5
21300539,2,0,4,1,0,0,1076,1610612739,1610612762,0,3,0,1,1,1,2
21300561,1,1,3,3,0,0,830,1610612743,1610612762,0,2,1,0,1,2,7
21300573,0,0,1,1,1,1,1301,1610612759,1610612762,0,1,1,1,0,1,3
21300587,2,2,3,3,0,0,1376,1610612765,1610612762,0,0,0,0,1,4,8
21300598,4,1,6,1,0,0,1657,1610612750,1610612762,0,1,0,0,1,0,3
21300620,2,0,3,1,0,0,434,1610612750,1610612762,0,1,0,0,1,0,2
21300652,4,1,5,2,0,0,402,1610612764,1610612762,0,0,0,0,0,1,5
21300667,0,0,0,0,0,0,622,1610612758,1610612762,0,1,0,0,0,3,0
21300696,0,0,2,1,0,0,912,1610612744,1610612762,0,1,0,1,0,2,2
21300708,0,0,0,0,0,0,415,1610612746,1610612762,0,0,0,0,0,1,0
21300719,2,1,3,1,0,0,786,1610612761,1610612762,0,1,0,0,0,1,3
21300746,6,1,7,2,0,0,825,1610612742,1610612762,0,0,0,0,0,0,5
21300755,0,0,1,0,2,1,237,1610612748,1610612762,0,0,0,0,0,0,1
21300776,3,1,4,1,0,0,720,1610612747,1610612762,0,0,1,1,0,1,3
21300787,1,0,1,0,0,0,287,1610612755,1610612762,0,0,1,0,0,2,0
21300808,2,1,3,1,0,0,368,1610612751,1610612762,0,0,0,0,1,0,3
21300823,0,0,0,0,0,0,367,1610612757,1610612762,0,0,0,0,0,0,0
21300830,0,0,1,0,0,0,386,1610612750,1610612762,0,0,0,0,0,0,0
21300867,2,1,4,1,0,0,415,1610612739,1610612762,0,0,0,0,0,0,3
21300894,1,0,2,0,0,0,478,1610612749,1610612762,0,0,0,0,0,0,0
21300921,3,1,3,1,0,0,313,1610612752,1610612762,0,0,0,0,0,0,3
21300993,0,0,1,0,0,0,160,1610612759,1610612762,0,1,0,0,0,0,0
21301000,0,0,2,1,1,0,457,1610612745,1610612762,1,0,0,1,2,1,2
21301093,1,0,2,0,0,0,332,1610612760,1610612762,1,1,0,0,2,0,0
21400068,0,0,1,0,0,0,298,1610612746,1610612744,0,0,0,0,0,1,0
21400095,0,0,2,1,0,0,426,1610612756,1610612744,0,1,0,0,1,1,2
21400108,1,0,1,0,0,0,182,1610612759,1610612744,0,0,0,0,0,0,0
21400140,0,0,1,1,0,0,495,1610612766,1610612744,0,1,0,0,2,0,2
21400145,1,0,1,0,0,0,341,1610612747,1610612744,0,0,0,0,1,0,0
21400182,1,0,2,0,0,0,483,1610612762,1610612744,0,0,0,1,0,1,0
21400196,1,0,1,0,0,0,443,1610612760,1610612744,0,0,0,1,1,1,0
21400206,1,0,1,0,0,0,730,1610612748,1610612744,0,0,0,3,0,0,0
21400212,2,0,2,0,0,0,1288,1610612753,1610612744,0,1,0,0,1,2,0
21400224,4,1,8,2,0,0,1077,1610612766,1610612744,0,1,0,0,0,2,5
21400305,0,0,1,0,0,0,385,1610612750,1610612744,0,0,1,0,0,0,0
21400340,0,0,0,0,0,0,237,1610612742,1610612744,0,0,0,0,0,0,0
21400415,0,0,2,1,0,0,417,1610612758,1610612744,0,1,0,0,0,1,2
21400426,1,0,1,0,0,0,376,1610612747,1610612744,0,1,0,0,0,2,0
21400452,0,0,0,0,2,1,331,1610612750,1610612744,0,0,0,0,0,1,1
21400474,0,0,0,0,0,0,392,1610612755,1610612744,0,3,1,1,1,1,0
21400593,0,0,0,0,0,0,104,1610612760,1610612744,0,0,0,0,0,0,0
21400603,0,0,1,1,0,0,243,1610612745,1610612744,0,0,0,0,0,0,2
21400615,0,0,1,1,3,2,637,1610612743,1610612744,0,0,0,1,1,1,4
21400636,1,0,1,0,0,0,283,1610612745,1610612744,0,0,0,0,0,0,0
21400651,3,0,3,0,0,0,944,1610612758,1610612744,1,0,0,1,1,0,0
21400824,0,0,0,0,0,0,300,1610612754,1610612744,0,0,1,0,0,0,0
21400861,1,0,2,0,0,0,426,1610612761,1610612744,0,1,0,0,1,2,0
21400922,1,0,1,0,0,0,237,1610612742,1610612744,0,0,0,0,0,0,0
21400973,2,0,5,0,0,0,1398,1610612743,1610612744,0,2,0,3,0,2,0
21400981,0,0,1,0,0,0,346,1610612752,1610612744,1,0,0,1,0,1,0
21400814,0,0,0,0,0,0,105,1610612759,1610612744,0,0,0,0,0,0,0
21401030,0,0,2,1,0,0,292,1610612740,1610612744,0,0,0,0,0,0,2
21401053,3,1,4,1,2,0,579,1610612764,1610612744,0,0,0,0,0,0,3
21401089,1,0,4,0,0,0,1050,1610612749,1610612744,0,0,0,0,0,4,0
21401174,0,0,0,0,0,0,336,1610612757,1610612744,0,0,1,0,0,0,0
21401212,0,0,0,0,4,2,232,1610612763,1610612744,0,0,0,0,1,1,2
21401229,3,1,5,2,0,0,851,1610612743,1610612744,2,0,1,0,0,3,5
41400224,0,0,1,0,0,0,102,1610612763,1610612744,0,0,0,0,0,1,0
41400225,0,0,0,0,0,0,132,1610612763,1610612744,0,0,0,0,0,0,0
21500003,0,0,0,0,0,0,100,1610612740,1610612744,0,0,0,0,0,0,0
21500030,1,0,4,1,0,0,354,1610612745,1610612744,1,0,0,0,0,0,2
21500035,1,1,2,2,0,0,651,1610612740,1610612744,0,1,1,0,0,0,5
21500051,3,0,5,0,4,2,802,1610612763,1610612744,0,2,0,0,2,1,2
21500083,0,0,1,0,0,0,106,1610612743,1610612744,0,0,0,0,0,0,0
21500144,4,2,5,3,0,0,1246,1610612751,1610612744,0,0,1,1,0,0,8
21500177,1,0,1,0,0,0,359,1610612746,1610612744,0,1,0,0,0,0,0
21500214,2,1,2,1,0,0,481,1610612747,1610612744,0,0,0,0,1,0,3
21500236,2,1,4,1,2,1,868,1610612756,1610612744,1,0,1,0,1,2,4
21500245,5,4,8,5,2,2,1167,1610612758,1610612744,2,1,0,0,2,1,16
