@relation Caron_Butler
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300008,3,2,9,5,2,2,2006,1610612752,1610612749,1,1,1,0,7,4,14
21300024,4,2,8,2,2,2,1620,1610612738,1610612749,2,1,1,0,0,1,8
21300037,4,1,9,3,6,5,1506,1610612761,1610612749,0,0,0,0,1,3,12
21300066,7,2,12,4,0,0,1784,1610612739,1610612749,1,0,1,0,3,3,10
21300092,9,3,19,7,3,2,2296,1610612742,1610612749,1,3,2,0,3,2,19
21300107,8,2,15,4,0,0,1492,1610612748,1610612749,1,1,1,0,2,2,10
21300111,5,3,17,7,3,3,2520,1610612753,1610612749,1,3,1,0,2,1,20
21300167,3,1,10,4,0,0,1737,1610612757,1610612749,0,1,0,0,0,3,9
21300177,8,4,22,13,11,8,2178,1610612755,1610612749,2,3,3,0,4,3,38
21300193,4,1,8,2,0,0,1228,1610612766,1610612749,0,0,1,0,2,2,5
21300204,5,2,7,2,2,2,1641,1610612765,1610612749,0,3,1,1,0,0,8
21300222,5,1,7,2,0,0,1201,1610612764,1610612749,0,2,0,0,0,1,5
21300398,10,2,21,8,6,4,2382,1610612755,1610612749,0,4,0,1,4,3,22
21300407,5,1,11,3,4,4,1790,1610612766,1610612749,0,3,1,0,2,3,11
21300429,1,0,7,0,0,0,990,1610612751,1610612749,0,1,0,0,0,1,0
21300444,2,0,11,3,0,0,1457,1610612750,1610612749,0,4,1,1,0,5,6
21300467,1,0,1,0,0,0,502,1610612747,1610612749,0,3,0,0,3,1,0
21300479,2,1,8,4,0,0,1006,1610612762,1610612749,0,2,1,0,0,0,9
21300495,6,4,11,6,0,0,1625,1610612756,1610612749,1,3,0,1,4,2,16
21300515,2,0,7,1,0,0,1023,1610612744,1610612749,1,2,0,0,1,2,2
21300538,0,0,2,0,0,0,488,1610612741,1610612749,0,0,1,0,0,1,0
21300555,3,1,7,2,0,0,962,1610612761,1610612749,0,0,0,1,1,1,5
21300570,2,0,12,5,0,0,1110,1610612763,1610612749,0,2,1,1,1,1,10
21300597,0,0,4,1,0,0,319,1610612745,1610612749,0,1,0,0,0,1,2
21300628,10,2,21,12,4,4,1949,1610612765,1610612749,1,5,1,1,0,5,30
21300638,2,0,6,1,0,0,1011,1610612739,1610612749,0,1,0,0,0,4,2
21300650,1,0,9,5,0,0,903,1610612737,1610612749,0,1,1,0,2,1,10
21300665,6,3,8,4,0,0,1390,1610612746,1610612749,3,1,1,0,3,0,11
21300679,2,1,9,3,2,2,1600,1610612756,1610612749,0,3,0,0,1,1,9
21300689,6,4,12,7,2,2,1753,1610612753,1610612749,0,1,1,1,1,2,20
21300702,3,1,6,2,6,5,1289,1610612763,1610612749,0,0,1,1,1,2,10
21300714,1,1,6,1,0,0,878,1610612752,1610612749,0,0,0,0,0,0,3
21300797,13,7,15,7,0,0,1751,1610612753,1610612749,1,0,0,0,3,3,21
21300812,4,1,17,7,3,2,1876,1610612743,1610612749,0,1,1,2,1,0,17
21300901,2,0,4,1,0,0,1542,1610612755,1610612760,0,1,1,1,1,4,2
21300915,8,4,11,4,2,2,1756,1610612756,1610612760,0,1,0,0,0,4,14
21300935,2,0,6,2,0,0,1432,1610612747,1610612760,0,1,1,0,0,1,4
21300955,7,3,10,4,0,0,1710,1610612745,1610612760,0,0,0,0,1,3,11
21300970,9,3,10,4,0,0,1711,1610612747,1610612760,0,2,0,0,1,3,11
21300992,5,1,10,3,0,0,1340,1610612742,1610612760,0,1,0,1,0,1,7
21300999,6,3,8,3,3,3,1757,1610612741,1610612760,2,0,0,0,1,2,12
21301018,6,2,10,3,0,0,1582,1610612739,1610612760,1,2,2,0,0,1,8
21301024,4,1,9,1,2,1,2136,1610612761,1610612760,1,2,5,1,0,6,4
21301053,7,3,19,10,0,0,1743,1610612743,1610612760,0,0,0,0,0,4,23
21301059,6,2,10,4,0,0,2025,1610612742,1610612760,0,1,2,1,0,2,10
21301083,6,2,10,2,0,0,1570,1610612758,1610612760,0,3,0,0,1,1,6
21301093,5,5,8,5,0,0,1566,1610612762,1610612760,0,1,0,0,0,2,15
21301127,4,1,5,1,2,1,1818,1610612759,1610612760,0,2,5,0,0,1,4
21301139,5,3,10,4,2,2,2122,1610612745,1610612760,0,2,0,0,0,4,13
21301156,3,1,6,1,2,2,1580,1610612756,1610612760,0,0,0,1,0,3,5
