@relation Cartier_Martin
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
7,3,8,4,6,6,1005,1610612742,1610612737,1,1,1,0,0,3,17
3,2,4,2,4,2,1422,1610612761,1610612737,0,0,0,1,1,1,8
6,3,7,3,0,0,1669,1610612747,1610612737,0,3,0,0,1,4,9
3,1,7,2,4,4,1491,1610612758,1610612737,0,2,2,0,1,0,9
4,0,7,0,2,1,1386,1610612743,1610612737,1,0,3,0,0,4,1
3,0,7,3,1,1,1317,1610612753,1610612737,0,2,2,0,0,0,7
4,3,7,5,4,3,1213,1610612766,1610612737,0,1,1,0,1,4,16
10,3,13,5,0,0,1562,1610612752,1610612737,0,1,0,2,0,0,13
3,0,6,0,0,0,751,1610612755,1610612737,0,0,0,0,1,2,0
3,2,5,3,0,0,941,1610612752,1610612737,0,0,0,0,2,0,8
3,1,6,1,2,2,1208,1610612748,1610612737,0,3,1,0,0,2,5
1,0,3,1,0,0,585,1610612765,1610612737,0,1,2,0,3,1,2
3,0,5,1,0,0,776,1610612765,1610612737,0,0,0,0,0,0,2
2,1,5,2,0,0,905,1610612738,1610612737,0,1,0,0,0,1,5
1,1,3,2,2,2,985,1610612753,1610612737,0,0,0,0,1,3,7
7,4,10,5,0,0,1996,1610612745,1610612737,0,0,0,0,1,2,14
4,1,5,1,0,0,1307,1610612742,1610612737,0,1,0,0,2,2,3
4,2,7,4,3,2,1843,1610612764,1610612737,1,1,0,1,3,2,12
5,2,7,2,0,0,1196,1610612759,1610612737,0,0,1,0,1,5,6
2,1,2,1,0,0,513,1610612746,1610612737,0,0,0,0,0,0,3
2,2,5,5,0,0,664,1610612739,1610612737,0,0,0,0,1,1,12
0,0,1,0,0,0,351,1610612760,1610612737,0,0,0,0,0,1,0
0,0,0,0,0,0,19,1610612764,1610612737,0,0,0,0,0,0,0
4,2,4,2,0,0,838,1610612738,1610612737,0,0,1,0,3,2,6
0,0,0,0,0,0,258,1610612751,1610612737,0,0,0,0,0,1,0
2,2,5,4,2,1,1563,1610612766,1610612741,0,0,0,0,0,0,11
3,1,3,1,2,1,507,1610612764,1610612741,1,1,1,0,1,1,4
0,0,0,0,0,0,372,1610612755,1610612741,0,1,0,0,0,0,0
0,0,0,0,0,0,118,1610612739,1610612741,0,0,0,0,0,1,0
0,0,0,0,0,0,234,1610612746,1610612741,0,0,0,0,0,0,0
0,0,0,0,0,0,63,1610612750,1610612741,0,0,0,0,0,1,0
2,1,4,1,0,0,773,1610612765,1610612737,0,0,1,0,1,1,3
3,2,5,3,0,0,720,1610612754,1610612737,0,1,0,0,0,2,8
2,1,3,2,0,0,544,1610612763,1610612737,0,0,1,0,0,0,5
1,1,1,1,0,0,314,1610612741,1610612737,0,0,0,0,1,0,3
4,1,9,4,2,1,1349,1610612761,1610612737,0,0,0,0,0,0,10
5,3,7,4,2,1,1218,1610612754,1610612737,1,1,0,1,1,1,12
0,0,2,1,2,2,1451,1610612764,1610612737,0,0,0,0,1,2,4
3,1,4,2,2,1,1159,1610612765,1610612737,1,2,0,1,1,1,6
0,0,2,0,0,0,288,1610612752,1610612737,0,0,0,0,0,2,0
0,0,0,0,0,0,138,1610612741,1610612737,0,0,0,0,0,0,0
1,0,2,1,2,2,413,1610612738,1610612737,0,0,0,0,1,3,4
5,1,14,7,2,1,1412,1610612757,1610612737,3,0,3,0,0,1,16
1,0,4,2,3,3,1026,1610612744,1610612737,1,1,0,0,1,0,7
3,0,4,0,0,0,604,1610612746,1610612737,0,0,0,0,0,1,0
3,1,4,1,0,0,951,1610612762,1610612737,0,0,0,0,0,0,3
2,1,3,2,0,0,566,1610612749,1610612737,0,0,0,0,0,1,5
3,0,3,0,0,0,266,1610612743,1610612737,0,0,0,0,0,0,0
0,0,0,0,0,0,277,1610612766,1610612737,0,0,0,0,0,0,0
4,2,8,3,1,0,951,1610612761,1610612737,0,0,0,0,0,1,8
2,0,2,0,2,2,722,1610612740,1610612737,0,1,1,0,0,2,2
2,0,6,3,1,1,810,1610612750,1610612737,0,1,0,0,0,1,7
5,2,8,5,2,1,1725,1610612764,1610612737,0,2,2,1,1,3,13
4,2,8,2,4,3,1319,1610612754,1610612737,2,1,0,0,1,2,9
0,0,0,0,0,0,4,1610612738,1610612737,0,0,0,0,0,0,0
0,0,1,0,0,0,262,1610612751,1610612737,0,1,0,0,1,1,0
0,0,0,0,0,0,278,1610612748,1610612737,0,1,1,0,0,0,0
4,1,11,3,3,3,2135,1610612766,1610612737,0,1,0,0,0,1,10
3,2,7,5,5,2,1452,1610612749,1610612737,1,1,3,0,1,1,14
1,0,1,0,0,0,102,1610612749,1610612765,0,0,0,0,0,0,0
3,0,3,0,0,0,461,1610612746,1610612765,0,0,0,0,0,1,0
3,1,4,2,0,0,836,1610612744,1610612765,0,0,0,0,0,1,5
1,0,3,0,0,0,319,1610612747,1610612765,0,0,0,0,1,1,0
3,2,3,2,0,0,720,1610612738,1610612765,0,0,0,0,0,1,6
4,1,7,4,0,0,1400,1610612755,1610612765,0,2,0,0,2,2,9
2,0,4,0,0,0,931,1610612760,1610612765,0,2,0,0,0,1,0
1,0,2,0,0,0,547,1610612757,1610612765,0,1,0,0,0,0,0
1,0,2,1,0,0,326,1610612761,1610612765,0,0,0,0,0,0,2
0,0,0,0,0,0,165,1610612753,1610612765,0,0,0,0,0,1,0
0,0,0,0,0,0,213,1610612752,1610612765,0,0,0,0,0,1,0
0,0,0,0,0,0,161,1610612740,1610612765,0,0,0,0,0,0,0
1,0,1,0,0,0,134,1610612755,1610612765,0,0,0,0,0,0,0
2,0,3,0,0,0,576,1610612749,1610612765,0,1,0,0,0,0,0
0,0,1,0,0,0,662,1610612754,1610612765,0,0,0,1,0,2,0
2,0,3,0,0,0,941,1610612741,1610612765,0,0,0,0,2,2,0
2,0,3,0,0,0,1204,1610612764,1610612765,0,1,1,0,0,2,0
2,2,2,2,0,0,331,1610612745,1610612765,0,0,1,0,0,2,6
1,0,2,0,0,0,939,1610612744,1610612765,0,2,0,0,0,1,0
2,0,4,2,0,0,275,1610612757,1610612765,0,0,0,0,0,0,4
1,0,1,0,0,0,314,1610612741,1610612765,0,0,0,0,0,2,0
1,0,2,1,0,0,140,1610612766,1610612765,0,0,1,0,0,0,2
