@relation Channing_Frye
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300015,5,1,7,3,0,0,1342,1610612757,1610612756,0,0,1,0,1,4,7
21300030,1,0,7,2,0,0,1335,1610612762,1610612756,1,1,1,2,1,2,4
21300044,8,3,14,7,2,2,2024,1610612760,1610612756,0,0,1,2,2,4,19
21300055,2,0,6,2,0,0,1133,1610612740,1610612756,0,0,1,0,1,3,4
21300068,2,1,4,1,0,0,1187,1610612759,1610612756,0,0,0,0,0,1,3
21300083,4,1,10,2,2,2,1828,1610612743,1610612756,2,0,1,0,1,2,7
21300096,2,0,6,1,2,1,1224,1610612740,1610612756,1,0,2,1,2,4,3
21300120,3,0,6,1,0,0,1571,1610612757,1610612756,1,0,0,0,1,4,2
21300132,4,2,8,4,3,3,1719,1610612751,1610612756,1,1,1,1,0,4,13
21300160,6,3,13,7,0,0,1812,1610612758,1610612756,4,1,0,1,1,3,17
21300171,1,0,2,0,0,0,983,1610612758,1610612756,0,0,0,2,1,2,0
21300176,7,5,10,6,4,3,1669,1610612766,1610612756,0,1,2,1,0,4,20
21300199,9,2,15,6,1,0,1986,1610612753,1610612756,1,1,1,2,2,3,14
21300205,8,4,12,6,0,0,1891,1610612748,1610612756,1,3,3,0,1,3,16
21300226,5,3,12,10,2,2,2472,1610612757,1610612756,1,2,1,2,0,3,25
21300239,5,3,7,5,0,0,1345,1610612762,1610612756,1,1,0,1,0,4,13
21300246,6,3,12,7,0,0,2021,1610612762,1610612756,3,2,1,0,1,4,17
21300265,4,2,5,3,0,0,1457,1610612763,1610612756,0,2,0,0,1,4,8
21300271,6,2,12,6,0,0,1984,1610612745,1610612756,0,3,2,1,0,4,14
21300287,1,0,4,1,0,0,1057,1610612761,1610612756,1,1,1,0,1,4,2
21300317,4,1,10,5,0,0,1597,1610612747,1610612756,1,2,0,0,0,1,11
21300340,6,3,8,3,2,2,2198,1610612758,1610612756,1,0,0,2,3,3,11
21300355,7,5,12,7,2,1,1883,1610612744,1610612756,0,0,0,0,2,5,20
21300378,4,4,11,8,2,2,1575,1610612759,1610612756,0,1,2,1,4,3,22
21300390,2,0,6,1,2,1,1289,1610612743,1610612756,1,1,2,0,1,1,3
21300400,6,4,14,6,2,2,1555,1610612742,1610612756,4,0,0,0,1,3,18
21300416,8,1,10,3,0,0,1639,1610612747,1610612756,0,2,0,2,1,1,7
21300435,5,1,9,3,2,2,1230,1610612744,1610612756,1,2,0,0,1,1,9
21300445,3,0,9,4,0,0,1579,1610612755,1610612756,3,4,1,2,2,5,8
21300459,7,4,10,4,0,0,1258,1610612746,1610612756,1,3,2,2,0,1,12
21300478,10,4,14,5,0,0,2102,1610612763,1610612756,1,1,1,0,2,2,14
21300495,9,6,12,7,2,2,1966,1610612749,1610612756,0,1,1,2,2,3,22
21300513,3,1,11,5,0,0,1604,1610612741,1610612756,3,1,0,0,1,3,11
21300524,10,5,17,8,1,1,2169,1610612750,1610612756,0,1,0,1,0,3,22
21300534,10,2,15,4,0,0,1782,1610612763,1610612756,1,2,0,2,1,2,10
