@relation Chris_Copeland
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
2,0,2,0,0,0,215,1610612739,1610612754,0,1,0,0,0,0,0
1,0,1,0,0,0,61,1610612741,1610612754,0,0,0,0,0,0,0
2,1,2,1,0,0,191,1610612763,1610612754,0,0,0,0,0,0,3
2,2,4,2,0,0,172,1610612749,1610612754,0,0,0,0,0,1,6
4,3,5,4,2,2,990,1610612741,1610612754,0,1,1,1,0,1,13
3,1,3,1,0,0,395,1610612752,1610612754,0,0,0,0,0,2,3
2,1,2,1,0,0,465,1610612738,1610612754,0,0,0,0,0,0,3
3,1,3,1,0,0,689,1610612755,1610612754,0,0,0,1,0,4,3
3,0,3,0,0,0,524,1610612766,1610612754,0,1,0,0,1,0,0
1,0,1,0,0,0,234,1610612764,1610612754,0,1,0,0,0,1,0
1,0,4,1,0,0,401,1610612760,1610612754,0,0,0,0,0,0,2
1,1,1,1,0,0,339,1610612745,1610612754,0,1,0,0,2,0,3
2,0,4,1,0,0,259,1610612738,1610612754,0,0,1,1,0,1,2
0,0,0,0,0,0,139,1610612751,1610612754,0,0,0,0,0,0,0
0,0,1,1,0,0,160,1610612764,1610612754,0,0,0,0,0,0,2
0,0,3,2,0,0,291,1610612758,1610612754,0,1,0,0,0,2,4
1,1,1,1,2,1,329,1610612752,1610612754,1,0,0,0,0,1,4
1,1,1,1,0,0,137,1610612746,1610612754,0,0,0,1,0,1,3
2,1,3,2,1,1,366,1610612756,1610612754,0,1,0,0,0,2,6
0,0,1,1,0,0,104,1610612743,1610612754,0,0,0,0,0,0,2
0,0,3,1,0,0,255,1610612753,1610612754,1,0,0,0,0,0,2
3,0,4,1,2,2,436,1610612743,1610612754,0,0,0,0,0,1,4
2,1,2,1,0,0,207,1610612737,1610612754,1,0,0,0,0,0,3
