@relation Clint_Capela
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,0,0,4,0,373,1610612759,1610612745,0,1,0,0,1,1,0
0,0,6,0,2,0,256,1610612763,1610612745,3,0,1,1,2,1,0
0,0,0,0,0,0,1,1610612750,1610612745,0,0,0,0,0,0,0
0,0,1,0,0,0,72,1610612744,1610612745,0,0,0,0,0,0,0
0,0,3,0,2,0,359,1610612747,1610612745,0,0,0,0,0,1,0
0,0,0,0,0,0,130,1610612746,1610612745,0,0,0,0,0,0,0
0,0,5,4,3,0,1152,1610612761,1610612745,3,0,0,2,2,2,8
0,0,3,2,2,0,583,1610612758,1610612745,2,0,0,3,0,2,4
0,0,0,0,2,0,13,1610612742,1610612745,1,0,0,0,0,1,0
0,0,3,1,0,0,376,1610612759,1610612745,1,0,0,0,0,0,2
0,0,4,4,4,2,1019,1610612766,1610612745,0,0,0,1,0,1,10
0,0,4,3,4,2,1045,1610612762,1610612745,0,1,0,2,0,5,8
0,0,5,3,4,2,971,1610612742,1610612745,1,0,0,2,1,3,8
0,0,4,2,2,1,629,1610612742,1610612745,0,1,0,2,0,0,5
0,0,2,2,3,3,368,1610612742,1610612745,0,0,0,0,0,2,7
0,0,1,1,2,2,269,1610612742,1610612745,0,0,0,0,0,2,4
0,0,2,1,2,0,407,1610612742,1610612745,1,1,0,0,1,1,2
0,0,1,1,0,0,344,1610612746,1610612745,1,0,0,1,0,0,2
0,0,0,0,0,0,197,1610612746,1610612745,1,0,0,0,0,1,0
0,0,3,0,2,1,329,1610612746,1610612745,1,0,0,1,0,0,1
0,0,3,1,2,0,700,1610612746,1610612745,3,0,0,0,0,4,2
0,0,4,4,2,0,683,1610612746,1610612745,1,2,0,0,0,3,8
0,0,1,1,0,0,246,1610612746,1610612745,1,0,0,0,0,1,2
0,0,0,0,2,2,341,1610612746,1610612745,0,0,0,1,1,0,2
0,0,4,4,2,1,778,1610612744,1610612745,1,1,1,1,0,1,9
0,0,1,1,4,2,247,1610612744,1610612745,0,0,0,0,0,0,4
0,0,0,0,0,0,191,1610612744,1610612745,1,0,1,0,0,1,0
0,0,7,4,2,1,1495,1610612743,1610612745,6,0,2,3,1,2,9
0,0,4,3,1,1,1065,1610612744,1610612745,1,1,0,2,2,2,7
0,0,5,5,0,0,847,1610612748,1610612745,1,0,0,1,1,2,10
0,0,2,2,0,0,643,1610612760,1610612745,0,0,1,1,1,4,4
0,0,5,4,0,0,1129,1610612753,1610612745,3,1,1,1,0,1,8
0,0,8,6,3,1,1580,1610612758,1610612745,2,2,0,4,2,5,13
0,0,3,3,4,3,1134,1610612746,1610612745,2,0,0,1,0,4,9
0,0,5,4,0,0,646,1610612751,1610612745,1,0,0,2,1,2,8
0,0,2,1,4,2,783,1610612743,1610612745,0,0,1,0,0,0,4
0,0,3,2,6,3,1385,1610612742,1610612745,4,1,1,0,0,1,7
0,0,4,2,4,1,1099,1610612738,1610612745,4,1,1,2,0,0,5
0,0,5,2,0,0,763,1610612757,1610612745,2,0,1,1,0,1,4
0,0,0,0,2,1,744,1610612763,1610612745,1,0,0,1,0,0,1
0,0,9,7,5,2,1804,1610612752,1610612745,6,1,1,0,2,6,16
0,0,4,3,0,0,491,1610612763,1610612745,1,1,2,3,0,2,6
0,0,13,6,2,1,1497,1610612755,1610612745,2,0,0,2,2,1,13
0,0,11,7,8,4,2184,1610612752,1610612745,5,0,3,1,1,2,18
