@relation D'Angelo_Russell
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
3,0,7,2,0,0,1550,1610612750,1610612747,2,2,0,0,3,3,4
5,2,10,5,2,1,1382,1610612758,1610612747,0,2,0,0,1,0,13
7,2,13,4,0,0,1642,1610612742,1610612747,0,1,1,1,1,0,10
5,1,11,3,0,0,1225,1610612743,1610612747,0,6,0,0,1,4,7
3,2,9,6,2,2,1401,1610612751,1610612747,1,0,3,0,1,1,16
0,0,7,3,1,0,1703,1610612752,1610612747,2,3,3,0,2,2,6
1,0,6,2,0,0,1265,1610612748,1610612747,0,4,1,0,2,1,4
5,2,15,6,0,0,1883,1610612753,1610612747,0,3,1,1,3,1,14
4,2,7,3,2,1,1417,1610612742,1610612747,1,5,1,0,1,3,9
6,1,9,3,2,2,1254,1610612765,1610612747,0,2,0,0,1,0,9
3,1,13,5,2,2,1647,1610612756,1610612747,2,2,1,1,1,2,13
7,3,16,7,0,0,2016,1610612761,1610612747,0,2,1,1,2,3,17
4,2,10,4,4,3,2147,1610612757,1610612747,0,6,0,0,3,0,13
2,0,8,4,0,0,1551,1610612744,1610612747,0,2,2,0,1,1,8
4,2,11,6,2,2,2262,1610612757,1610612747,0,5,0,0,2,4,16
4,0,11,4,0,0,1573,1610612754,1610612747,1,3,0,0,2,0,8
