@relation Danny_Green
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
3,1,7,3,0,0,1355,1610612763,1610612759,0,1,0,2,4,0,7
2,1,6,1,0,0,1252,1610612747,1610612759,0,1,2,0,0,1,3
1,0,3,0,0,0,1022,1610612757,1610612759,0,0,0,1,0,1,0
3,0,7,2,0,0,1466,1610612743,1610612759,0,1,1,1,1,2,4
6,3,11,8,0,0,2145,1610612756,1610612759,0,2,2,4,2,2,19
5,1,6,1,0,0,1700,1610612744,1610612759,1,1,0,0,0,0,3
9,6,11,8,2,2,1372,1610612752,1610612759,0,0,1,1,1,3,24
7,5,9,6,1,1,1924,1610612755,1610612759,0,3,1,1,0,2,18
3,0,3,0,0,0,1340,1610612764,1610612759,0,4,1,0,2,2,0
4,2,7,3,0,0,1394,1610612762,1610612759,1,1,0,0,1,3,8
5,3,6,4,0,0,1376,1610612738,1610612759,0,2,1,1,0,1,11
0,0,2,0,0,0,1013,1610612763,1610612759,0,1,2,0,3,0,0
7,5,10,6,0,0,1274,1610612739,1610612759,0,0,2,0,1,1,17
3,1,6,2,0,0,1197,1610612740,1610612759,0,2,5,1,2,0,5
4,0,7,2,0,0,1553,1610612760,1610612759,1,1,0,1,1,0,4
3,2,5,2,1,1,1287,1610612753,1610612759,0,3,1,2,0,1,7
5,1,8,3,0,0,1487,1610612745,1610612759,0,1,3,1,1,1,7
5,1,7,1,0,0,1352,1610612737,1610612759,2,1,0,1,0,2,3
4,0,6,1,4,3,1489,1610612750,1610612759,0,4,1,1,2,4,5
2,0,4,1,0,0,1000,1610612754,1610612759,0,0,0,0,0,0,2
4,2,7,5,2,2,1554,1610612761,1610612759,0,2,1,2,0,3,14
5,2,8,4,0,0,1088,1610612749,1610612759,0,3,3,0,2,1,10
1,0,2,0,0,0,666,1610612750,1610612759,0,0,0,0,2,1,0
3,1,4,1,0,0,1032,1610612762,1610612759,0,0,0,1,0,2,3
2,1,6,3,0,0,1139,1610612746,1610612759,1,1,2,0,3,2,7
1,0,3,2,3,1,1264,1610612756,1610612759,0,1,0,1,0,2,5
8,3,14,4,0,0,1791,1610612744,1610612759,0,1,2,1,2,2,11
4,1,6,2,2,2,2036,1610612760,1610612759,0,3,1,2,2,1,7
