@relation Dante_Exum
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
1,1,3,2,0,0,577,1610612745,1610612762,0,1,1,0,1,0,5
3,0,4,1,0,0,1165,1610612742,1610612762,0,0,0,0,2,1,2
4,3,4,3,4,1,1057,1610612756,1610612762,0,3,2,1,1,3,10
3,0,6,3,2,1,994,1610612746,1610612762,0,2,0,1,1,2,7
3,0,5,1,2,1,1496,1610612739,1610612762,0,5,0,0,0,2,3
4,2,7,4,2,1,1616,1610612742,1610612762,0,5,0,0,1,4,11
1,0,4,2,5,5,1249,1610612765,1610612762,1,5,1,0,0,2,9
4,1,5,1,0,0,1152,1610612754,1610612762,1,0,1,0,0,3,3
2,0,5,1,0,0,1129,1610612737,1610612762,0,2,0,1,0,4,2
3,1,3,1,0,0,1011,1610612752,1610612762,0,2,0,1,3,0,3
1,1,4,2,2,1,1060,1610612761,1610612762,0,2,1,0,3,1,6
5,3,5,3,0,0,924,1610612760,1610612762,0,5,0,0,0,2,9
2,0,5,1,0,0,1342,1610612744,1610612762,0,5,1,0,2,2,2
1,0,5,1,0,0,1149,1610612740,1610612762,0,1,1,0,0,4,2
0,0,1,0,0,0,640,1610612741,1610612762,0,1,0,0,0,0,0
2,0,4,1,2,1,1011,1610612760,1610612762,0,0,0,0,1,2,3
4,1,7,2,0,0,1167,1610612746,1610612762,0,1,0,0,2,2,5
0,0,2,0,2,2,753,1610612743,1610612762,0,0,0,0,1,0,2
2,0,3,1,1,0,846,1610612761,1610612762,0,1,0,1,1,0,2
2,1,3,1,0,0,1175,1610612753,1610612762,0,1,0,0,1,0,3
1,0,3,1,0,0,950,1610612758,1610612762,0,0,0,0,1,2,2
3,2,5,2,0,0,974,1610612759,1610612762,0,2,0,0,1,1,6
3,1,4,2,0,0,872,1610612748,1610612762,0,2,0,0,0,0,5
1,1,2,1,0,0,747,1610612764,1610612762,0,2,1,0,1,0,3
2,1,7,5,1,1,1237,1610612740,1610612762,1,2,1,1,2,2,12
3,2,5,4,0,0,1460,1610612748,1610612762,0,3,0,0,3,3,10
0,0,2,1,0,0,917,1610612753,1610612762,0,0,2,0,3,3,2
6,2,7,2,0,0,1353,1610612766,1610612762,1,2,0,0,3,2,6
3,2,3,2,0,0,1314,1610612763,1610612762,0,3,0,0,0,1,6
3,0,5,0,4,3,946,1610612755,1610612762,0,0,1,0,0,4,3
1,1,6,3,0,0,1630,1610612746,1610612762,1,3,1,0,1,1,7
3,0,4,0,0,0,873,1610612750,1610612762,0,1,0,0,1,0,0
7,3,9,5,0,0,1348,1610612737,1610612762,2,2,3,0,1,3,13
5,1,7,1,0,0,1396,1610612750,1610612762,0,2,0,0,1,0,3
9,3,14,5,0,0,1784,1610612754,1610612762,0,0,0,0,0,3,13
2,0,3,1,0,0,1425,1610612741,1610612762,0,3,0,0,0,1,2
3,1,3,1,0,0,981,1610612760,1610612762,0,4,1,0,2,1,3
1,0,2,1,2,1,452,1610612745,1610612762,0,0,0,0,1,1,3
3,0,3,0,0,0,1338,1610612744,1610612762,0,2,0,0,1,1,0
2,0,2,0,0,0,962,1610612747,1610612762,1,2,0,0,0,3,0
1,0,5,1,0,0,1192,1610612759,1610612762,2,4,1,0,0,1,2
3,0,5,2,0,0,1732,1610612739,1610612762,0,5,0,0,4,1,4
