@relation Darius_Miller
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300273,1,0,1,0,0,0,60,1610612742,1610612740,0,0,0,0,0,1,0
21300286,1,0,1,0,0,0,324,1610612760,1610612740,0,0,0,0,0,0,0
21300354,0,0,0,0,0,0,393,1610612743,1610612740,0,0,0,0,0,0,0
21300368,2,0,5,1,0,0,1402,1610612744,1610612740,0,3,0,0,0,3,2
21300417,0,0,0,0,0,0,373,1610612758,1610612740,1,0,0,1,0,2,0
21300432,4,3,4,3,3,2,1149,1610612743,1610612740,0,1,0,1,1,4,11
21300442,1,0,3,1,0,0,700,1610612745,1610612740,0,2,0,0,0,1,2
21300470,0,0,1,1,1,1,451,1610612750,1610612740,0,1,0,0,0,0,3
21300484,0,0,0,0,0,0,785,1610612738,1610612740,0,0,0,0,0,1,0
21300489,0,0,0,0,0,0,557,1610612754,1610612740,0,0,0,0,0,1,0
21300511,0,0,1,1,0,0,210,1610612748,1610612740,0,0,0,0,0,0,2
21300536,1,0,4,2,0,0,1133,1610612742,1610612740,0,0,0,0,0,2,4
21300549,5,4,5,4,0,0,1167,1610612742,1610612740,0,1,1,0,1,4,12
21300559,2,1,3,1,0,0,1248,1610612759,1610612740,0,2,1,0,0,4,3
21300572,3,0,6,1,0,0,1791,1610612745,1610612740,1,3,1,1,3,4,2
21300599,3,1,4,2,1,1,903,1610612744,1610612740,1,1,1,0,0,0,6
21300611,1,0,3,1,0,0,636,1610612763,1610612740,1,0,0,0,0,1,2
21300618,2,1,2,1,0,0,1007,1610612758,1610612740,0,0,1,0,0,3,3
21300639,1,0,1,0,3,3,934,1610612765,1610612740,0,1,0,0,0,0,3
21300656,3,3,4,3,0,0,584,1610612753,1610612740,0,1,0,1,0,4,9
21300668,2,0,3,1,3,3,767,1610612739,1610612740,0,1,0,0,0,2,5
21300680,1,0,3,0,0,0,414,1610612750,1610612740,0,0,0,0,0,3,0
21300715,0,0,0,0,0,0,237,1610612759,1610612740,0,1,0,0,0,2,0
21300759,1,0,2,0,4,2,968,1610612751,1610612740,2,2,1,0,0,2,2
21300856,0,0,3,3,0,0,639,1610612742,1610612740,0,1,0,0,1,2,6
21300873,2,0,3,1,0,0,278,1610612756,1610612740,0,0,0,1,1,2,2
21300882,2,0,4,0,0,0,957,1610612746,1610612740,0,0,0,0,3,1,0
21300923,0,0,0,0,0,0,162,1610612749,1610612740,0,0,0,0,0,1,0
21300963,2,0,4,2,3,3,1195,1610612763,1610612740,0,0,0,0,0,1,7
21300977,1,0,1,0,0,0,384,1610612757,1610612740,0,0,0,0,0,0,0
21301012,1,0,2,0,0,0,715,1610612761,1610612740,0,0,1,0,0,2,0
21301025,1,1,2,1,0,0,628,1610612737,1610612740,0,0,1,0,1,1,3
21301052,1,0,1,0,0,0,164,1610612751,1610612740,0,0,0,0,0,0,0
21301066,2,1,9,7,3,1,1725,1610612746,1610612740,0,1,1,0,1,2,16
21301082,3,1,7,3,6,5,1466,1610612762,1610612740,0,1,1,1,0,3,12
21301092,1,0,5,1,0,0,1491,1610612759,1610612740,0,1,0,0,2,4,2
21301108,0,0,4,3,0,0,1730,1610612758,1610612740,0,1,1,1,1,2,6
21301124,1,0,5,3,4,3,1235,1610612743,1610612740,0,1,0,1,0,1,9
21301138,7,2,8,2,0,0,1201,1610612762,1610612740,0,1,1,0,1,4,6
21301157,1,1,3,1,0,0,1410,1610612757,1610612740,0,1,1,0,1,3,3
21301170,4,1,9,5,3,3,1889,1610612756,1610612740,1,2,2,0,1,4,14
21301184,5,2,13,7,2,2,1844,1610612760,1610612740,0,3,1,0,1,2,18
21301194,1,0,8,3,0,0,1790,1610612745,1610612740,0,4,2,1,0,5,6
21301210,7,2,12,4,0,0,2212,1610612760,1610612740,0,5,4,0,3,3,10
21301219,1,1,7,4,0,0,2056,1610612745,1610612740,2,1,2,0,0,1,9
21400045,0,0,0,0,0,0,238,1610612763,1610612740,0,2,0,0,0,0,0
21400128,0,0,3,1,0,0,1013,1610612750,1610612740,0,0,0,0,1,4,2
21400153,0,0,0,0,0,0,275,1610612757,1610612740,0,0,1,0,0,1,0
21400181,0,0,1,0,0,0,214,1610612743,1610612740,0,0,0,0,0,0,0
21400208,1,0,3,0,0,0,862,1610612758,1610612740,0,0,0,0,0,3,0
