@relation DeMar_DeRozan
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
3,1,19,6,2,0,2424,1610612738,1610612761,0,2,2,0,5,3,13
5,2,23,14,2,1,2195,1610612737,1610612761,0,2,1,1,2,3,31
3,1,14,5,8,6,2096,1610612749,1610612761,1,5,2,0,2,1,17
3,0,15,8,5,5,2386,1610612748,1610612761,0,3,1,0,2,3,21
5,2,16,5,2,2,2277,1610612766,1610612761,0,3,0,0,1,4,14
1,0,15,2,2,2,2166,1610612754,1610612761,1,3,1,0,1,1,6
3,1,14,5,7,7,1440,1610612762,1610612761,1,3,1,0,1,1,18
2,0,25,6,11,10,3173,1610612745,1610612761,1,1,4,1,0,1,22
1,1,13,7,3,3,1972,1610612763,1610612761,2,4,2,1,1,0,18
6,4,22,13,10,7,2239,1610612741,1610612761,0,1,0,0,3,3,37
5,1,27,11,8,6,2809,1610612757,1610612761,0,3,0,0,4,2,29
5,3,19,10,12,10,2297,1610612755,1610612761,0,0,0,1,1,3,33
2,0,14,7,4,3,2201,1610612764,1610612761,1,4,0,1,4,2,17
6,4,15,9,5,5,2344,1610612751,1610612761,0,3,1,0,3,0,27
7,2,20,10,7,3,2638,1610612748,1610612761,1,3,1,1,3,1,25
3,1,14,5,8,6,2127,1610612743,1610612761,1,4,1,1,3,3,17
4,2,18,10,5,4,2561,1610612744,1610612761,0,3,0,0,3,2,26
3,0,15,5,4,3,2333,1610612756,1610612761,0,2,2,0,2,5,13
3,0,19,8,11,10,2478,1610612747,1610612761,0,5,3,2,2,4,26
2,0,16,6,7,7,1792,1610612759,1610612761,0,7,0,1,2,2,19
7,2,19,9,9,7,2373,1610612755,1610612761,1,6,1,0,2,2,27
2,0,14,7,2,1,2322,1610612741,1610612761,0,4,0,1,2,2,15
4,0,26,11,10,8,2449,1610612766,1610612761,0,1,3,1,2,3,30
2,1,18,6,3,2,2539,1610612742,1610612761,2,9,1,1,6,1,15
0,0,20,7,5,3,2290,1610612760,1610612761,0,4,0,0,2,4,17
4,1,16,5,2,2,2136,1610612759,1610612761,1,3,1,0,3,3,13
5,2,13,7,14,9,2148,1610612752,1610612761,2,2,0,1,3,2,25
3,0,18,7,7,6,2187,1610612752,1610612761,0,4,3,0,3,3,20
1,0,12,3,7,5,2146,1610612741,1610612761,1,1,0,0,4,1,11
1,0,24,9,9,8,2344,1610612754,1610612761,2,3,3,0,3,1,26
0,0,14,7,7,6,2161,1610612764,1610612761,1,5,1,1,0,1,20
4,1,19,11,4,3,2279,1610612748,1610612761,1,7,2,0,1,3,26
4,0,22,9,11,10,2234,1610612754,1610612761,0,6,1,0,0,2,28
1,0,15,3,16,13,2130,1610612765,1610612761,1,4,2,2,3,0,19
1,1,18,9,8,7,2234,1610612751,1610612761,2,5,1,1,2,3,26
3,0,16,8,5,3,1966,1610612749,1610612761,2,7,1,1,1,2,19
2,1,22,9,9,4,2229,1610612738,1610612761,2,3,1,0,1,4,23
2,1,17,5,5,4,2419,1610612750,1610612761,1,5,2,0,3,3,15
3,0,24,10,4,3,2492,1610612747,1610612761,0,7,1,0,1,4,23
3,1,23,10,5,4,2326,1610612766,1610612761,2,2,3,0,1,3,25
1,1,22,15,14,9,2269,1610612742,1610612761,1,3,1,1,4,1,40
3,1,22,10,16,13,2330,1610612755,1610612761,3,1,0,0,3,2,34
2,2,6,2,4,4,1282,1610612746,1610612761,0,3,1,0,0,1,10
1,0,17,6,8,7,1959,1610612743,1610612761,1,1,1,0,3,0,19
4,2,29,14,9,6,2464,1610612757,1610612761,1,12,0,1,3,3,36
3,2,15,7,7,7,2240,1610612762,1610612761,0,4,1,0,0,2,23
4,1,17,5,7,7,2257,1610612758,1610612761,2,4,2,0,3,4,18
4,1,21,9,19,17,2458,1610612746,1610612761,1,8,2,1,0,2,36
5,1,21,7,10,7,2421,1610612740,1610612761,0,4,1,0,3,2,22
3,2,19,11,7,7,2053,1610612737,1610612761,2,3,2,0,1,4,31
3,0,13,6,3,2,2436,1610612764,1610612761,0,3,0,1,3,3,14
4,0,25,11,11,10,2542,1610612741,1610612761,1,1,0,0,2,3,32
0,0,14,5,4,4,2310,1610612739,1610612761,0,5,0,0,1,1,14
1,0,17,9,6,6,1904,1610612753,1610612761,0,4,0,1,5,4,24
1,0,25,12,13,9,2401,1610612739,1610612761,1,6,1,0,0,3,33
1,0,23,11,14,12,3444,1610612764,1610612761,1,6,2,0,4,3,34
2,1,16,10,12,11,2532,1610612744,1610612761,0,6,1,0,0,2,32
0,0,13,4,10,7,1955,1610612758,1610612761,0,6,1,1,2,3,15
3,2,17,8,9,7,2034,1610612750,1610612761,1,0,0,1,4,5,25
2,0,9,3,8,8,2120,1610612751,1610612761,0,1,0,0,2,3,14
3,1,20,8,9,8,2448,1610612765,1610612761,0,3,1,0,0,3,25
2,1,12,4,8,7,2580,1610612763,1610612761,0,2,1,0,4,4,16
1,0,16,6,5,5,2344,1610612756,1610612761,1,7,4,0,3,3,17
1,0,18,8,14,13,2702,1610612737,1610612761,0,6,1,0,3,4,29
4,2,19,9,13,11,2324,1610612740,1610612761,0,4,3,0,1,3,31
3,0,23,9,16,15,2921,1610612760,1610612761,0,3,2,0,6,3,33
3,2,18,8,4,3,2254,1610612737,1610612761,0,3,0,1,4,3,21
1,0,16,5,7,3,2283,1610612739,1610612761,0,8,1,0,1,4,13
1,0,13,5,11,10,2384,1610612738,1610612761,1,3,0,0,4,4,20
2,0,27,12,6,6,2105,1610612738,1610612761,0,4,1,0,1,3,30
2,1,14,6,16,15,2277,1610612753,1610612761,0,1,1,0,0,1,28
2,0,14,8,1,0,2357,1610612748,1610612761,0,7,2,0,2,3,16
3,1,19,10,10,8,2407,1610612745,1610612761,0,4,2,0,2,5,29
1,0,19,8,5,4,2375,1610612754,1610612761,0,9,0,1,3,3,20
1,0,19,7,10,9,2302,1610612749,1610612761,0,5,1,0,2,3,23
1,0,14,4,10,9,2038,1610612755,1610612761,1,5,0,0,2,0,17
4,2,18,6,13,12,2573,1610612752,1610612761,1,5,0,0,4,2,26
4,2,19,10,10,8,2254,1610612765,1610612761,0,3,0,0,0,3,30
0,0,5,2,6,5,1309,1610612752,1610612761,2,1,1,0,3,1,9
1,0,16,4,10,7,2098,1610612737,1610612761,3,3,6,0,5,3,15
1,0,18,9,10,8,1781,1610612753,1610612761,1,1,1,0,0,1,26
1,1,22,11,12,7,2449,1610612748,1610612761,1,1,4,0,2,1,30
3,1,12,4,9,7,1843,1610612760,1610612761,0,3,0,0,2,1,16
1,0,25,9,6,5,2383,1610612738,1610612761,0,6,2,0,2,3,23
0,0,13,7,11,11,2136,1610612764,1610612761,0,1,1,0,3,2,25
0,0,12,8,8,8,1542,1610612755,1610612761,1,2,2,1,3,1,24
2,0,15,4,9,8,1987,1610612753,1610612761,0,4,1,0,0,3,16
1,0,17,3,4,4,2013,1610612741,1610612761,0,2,1,0,0,3,10
1,0,17,10,8,7,2183,1610612762,1610612761,1,2,1,0,0,0,27
1,0,22,10,2,1,2276,1610612763,1610612761,1,4,2,0,1,1,21
0,0,8,1,6,5,1716,1610612749,1610612761,0,5,0,0,3,1,7
1,0,18,7,7,6,2509,1610612739,1610612761,0,3,1,0,3,3,20
0,0,20,7,13,9,2190,1610612756,1610612761,1,1,1,0,1,2,23
3,2,16,8,9,9,1959,1610612737,1610612761,1,2,0,0,5,2,27
0,0,8,0,0,0,1219,1610612742,1610612761,1,2,0,0,2,2,0
0,0,14,9,4,2,1726,1610612755,1610612761,0,3,1,1,3,1,20
2,1,18,11,4,2,1946,1610612737,1610612761,0,2,2,0,4,1,25
4,1,18,7,9,7,2154,1610612740,1610612761,0,1,1,0,1,3,22
3,0,9,0,1,0,1552,1610612749,1610612761,1,4,0,0,1,3,0
0,0,11,2,2,2,1950,1610612763,1610612761,0,1,0,1,2,1,6
2,0,14,4,0,0,1734,1610612755,1610612761,1,1,1,0,3,1,8
2,1,14,8,10,8,2085,1610612765,1610612761,0,4,2,0,0,1,25
1,0,15,7,13,10,1994,1610612754,1610612761,1,2,2,0,4,4,24
3,1,13,5,4,1,1880,1610612758,1610612761,1,6,1,0,2,4,12
1,0,17,9,9,8,2452,1610612751,1610612761,0,9,1,0,1,3,26
0,0,16,5,9,5,2575,1610612764,1610612761,2,7,0,1,3,4,15
2,0,16,5,8,6,1523,1610612749,1610612761,0,2,1,0,2,3,16
2,0,13,5,3,3,2089,1610612751,1610612761,1,6,0,0,3,2,13
1,0,16,6,13,12,1910,1610612746,1610612761,1,8,2,0,0,1,24
1,0,14,4,12,10,2162,1610612759,1610612761,0,4,3,1,3,4,18
2,1,18,6,10,10,2121,1610612764,1610612761,1,2,3,0,3,1,23
4,1,16,9,2,2,1660,1610612737,1610612761,0,1,3,0,3,2,21
0,0,14,4,3,2,2264,1610612745,1610612761,0,3,3,1,5,4,10
1,0,15,6,4,2,1876,1610612740,1610612761,1,1,1,0,1,1,14
2,0,21,7,5,4,2094,1610612742,1610612761,1,4,0,0,3,1,18
1,0,16,4,6,6,1584,1610612744,1610612761,1,0,0,0,3,2,14
0,0,15,3,8,7,2418,1610612752,1610612761,0,2,3,0,0,3,13
3,1,24,12,10,10,2294,1610612755,1610612761,0,5,2,0,2,1,35
3,2,19,10,3,3,2366,1610612739,1610612761,0,0,1,0,2,2,25
0,0,26,14,2,2,2345,1610612766,1610612761,0,3,1,1,1,2,30
2,0,22,11,2,2,2156,1610612760,1610612761,1,9,0,0,3,4,24
1,0,18,8,7,5,2314,1610612759,1610612761,0,4,1,0,1,5,21
1,0,12,3,13,12,2283,1610612748,1610612761,3,6,0,0,3,4,18
1,0,18,9,5,4,2093,1610612757,1610612761,1,2,1,0,2,1,22
0,0,19,6,11,10,2194,1610612754,1610612761,0,3,0,0,1,2,22
3,3,14,8,10,8,2238,1610612741,1610612761,1,3,0,0,2,2,27
1,1,15,8,6,6,2180,1610612752,1610612761,1,5,0,0,2,0,23
2,0,17,5,12,12,2523,1610612765,1610612761,1,4,0,0,3,2,22
0,0,19,7,6,6,2343,1610612741,1610612761,0,5,1,0,2,1,20
0,0,10,1,6,4,2438,1610612747,1610612761,1,7,1,0,1,4,6
4,2,27,14,17,12,2466,1610612745,1610612761,1,1,1,1,6,2,42
1,1,12,6,5,4,1817,1610612750,1610612761,1,3,1,0,1,0,17
3,0,20,10,8,7,2463,1610612751,1610612761,3,8,1,0,5,2,27
1,0,25,14,12,10,2603,1610612738,1610612761,0,3,1,0,6,1,38
3,0,16,6,7,6,2027,1610612766,1610612761,1,7,0,3,1,0,18
5,3,21,10,6,6,2234,1610612753,1610612761,2,5,0,0,1,2,29
1,1,17,7,11,9,2218,1610612748,1610612761,0,2,4,0,4,4,24
2,0,13,8,0,0,2040,1610612766,1610612761,1,6,2,0,4,1,16
