@relation Dennis_Schroder
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21300012,2,1,5,2,0,0,1109,1610612742,1610612737,0,5,0,0,2,3,5
21300023,0,0,5,2,0,0,957,1610612761,1610612737,0,1,0,0,2,0,4
21300046,2,0,11,4,4,2,1294,1610612747,1610612737,0,4,0,0,1,1,10
21300059,1,0,7,3,0,0,1145,1610612758,1610612737,0,7,0,0,0,4,6
21300086,1,0,8,0,0,0,598,1610612753,1610612737,0,1,0,0,1,0,0
21300098,0,0,2,2,0,0,578,1610612766,1610612737,0,1,0,0,0,3,4
21300116,1,0,1,0,0,0,527,1610612752,1610612737,0,2,0,0,4,1,0
21300127,0,0,0,0,2,1,737,1610612755,1610612737,1,1,0,0,3,0,1
21300158,0,0,0,0,2,1,312,1610612748,1610612737,0,0,1,0,1,0,1
21300213,0,0,1,1,2,2,319,1610612753,1610612737,0,0,1,0,0,0,4
21300221,2,0,5,2,2,2,1623,1610612745,1610612737,0,5,2,0,4,2,6
21300384,0,0,3,1,0,0,484,1610612762,1610612737,0,3,0,0,1,1,2
21300423,0,0,0,0,0,0,5,1610612739,1610612737,0,0,0,0,1,0,0
21300449,1,0,3,2,3,2,788,1610612753,1610612737,0,1,0,0,0,3,6
21300460,0,0,0,0,0,0,361,1610612738,1610612737,0,0,1,0,2,0,0
21300579,0,0,7,4,0,0,1143,1610612751,1610612737,0,2,2,0,3,0,8
21300635,0,0,4,1,2,2,1383,1610612759,1610612737,0,2,1,0,2,1,4
21300650,1,0,6,1,2,2,1058,1610612749,1610612737,0,2,1,0,2,1,4
21300666,2,2,6,4,0,0,794,1610612760,1610612737,0,1,0,0,0,0,10
21300677,1,0,3,1,0,0,414,1610612765,1610612737,0,1,0,0,0,0,2
21300690,0,0,5,3,3,3,1014,1610612755,1610612737,0,1,0,0,1,1,9
21300699,0,0,0,0,0,0,369,1610612750,1610612737,0,2,0,0,0,0,0
21300721,0,0,3,2,0,0,583,1610612754,1610612737,0,2,0,0,2,1,4
21300779,1,0,5,0,2,1,1224,1610612761,1610612737,0,2,0,0,0,2,1
21300792,1,0,2,0,2,2,499,1610612754,1610612737,0,1,0,0,2,0,2
21300804,0,0,2,1,0,0,684,1610612764,1610612737,0,1,0,0,1,1,2
21300827,0,0,0,0,0,0,389,1610612752,1610612737,0,0,0,0,0,1,0
21300854,0,0,3,2,0,0,1038,1610612738,1610612737,0,1,1,0,2,2,4
21300889,0,0,0,0,0,0,110,1610612756,1610612737,0,0,0,0,1,0,0
21300913,2,0,7,2,3,1,1383,1610612757,1610612737,0,3,0,0,1,1,5
21300927,3,1,8,3,0,0,1157,1610612744,1610612737,0,4,0,0,0,2,7
21300933,0,0,2,2,0,0,808,1610612746,1610612737,0,2,0,0,1,1,4
21300948,0,0,5,2,0,0,824,1610612762,1610612737,0,3,0,0,0,0,4
21300969,0,0,6,4,0,0,905,1610612749,1610612737,1,5,0,0,0,1,8
21300983,1,1,7,2,2,0,692,1610612743,1610612737,0,1,1,0,3,0,5
21300996,2,1,3,2,1,1,781,1610612766,1610612737,1,0,0,0,0,3,6
21301004,3,1,6,2,0,0,768,1610612761,1610612737,0,3,1,0,0,1,5
21301025,1,0,5,2,0,0,736,1610612740,1610612737,2,3,1,0,2,3,4
21301040,2,1,6,2,1,1,744,1610612761,1610612737,0,2,0,0,0,2,6
21301048,0,0,0,0,0,0,603,1610612756,1610612737,0,1,0,0,2,0,0
21301065,1,0,2,1,0,0,642,1610612750,1610612737,0,1,0,0,3,0,2
21301071,1,0,2,0,0,0,652,1610612757,1610612737,0,0,0,0,1,2,0
21301089,2,1,5,2,6,3,882,1610612764,1610612737,0,1,1,0,2,2,8
21301103,0,0,5,2,0,0,874,1610612755,1610612737,0,2,2,0,1,0,4
21301120,1,0,5,2,2,1,776,1610612741,1610612737,0,0,0,0,1,3,5
21301132,2,0,5,1,0,0,696,1610612739,1610612737,0,0,0,0,2,1,2
21301179,1,0,4,1,0,0,745,1610612751,1610612737,0,4,0,0,0,0,2
21301207,3,1,4,1,0,0,1421,1610612766,1610612737,0,6,1,0,3,3,3
21301217,1,0,4,1,2,2,856,1610612749,1610612737,0,3,0,0,1,1,4
21400008,0,0,0,0,2,1,217,1610612761,1610612737,0,0,0,0,0,3,1
21400064,3,1,6,4,0,0,491,1610612759,1610612737,1,1,0,0,0,1,9
21400071,0,0,4,3,4,4,832,1610612766,1610612737,0,1,2,0,0,1,10
21400084,0,0,5,4,4,3,1222,1610612752,1610612737,0,2,5,0,1,1,11
21400100,1,0,8,4,6,6,1677,1610612752,1610612737,1,4,1,0,4,0,14
21400110,0,0,4,2,2,1,1087,1610612762,1610612737,0,3,0,0,3,0,5
21400124,3,0,10,4,2,2,1509,1610612748,1610612737,0,6,2,0,0,0,10
21400133,2,0,5,2,2,2,889,1610612739,1610612737,0,4,0,0,2,1,6
21400155,0,0,3,2,2,1,1044,1610612747,1610612737,0,4,0,0,3,0,5
21400174,2,0,9,3,0,0,848,1610612765,1610612737,0,2,0,0,2,0,6
21400205,3,0,6,2,0,0,1008,1610612764,1610612737,1,3,2,0,1,0,4
21400215,1,1,6,5,2,2,955,1610612761,1610612737,0,6,0,0,0,5,13
21400225,1,0,9,5,2,1,1031,1610612740,1610612737,0,2,0,0,3,3,11
21400237,2,2,8,4,2,2,1021,1610612766,1610612737,0,1,0,0,0,1,12
21400254,2,0,12,6,5,3,1368,1610612738,1610612737,0,4,0,0,3,1,15
21400267,3,2,9,6,2,2,1346,1610612748,1610612737,0,3,1,0,1,1,16
21400280,2,1,9,5,3,2,1064,1610612751,1610612737,0,5,4,0,0,2,13
21400295,1,1,7,2,2,2,1074,1610612743,1610612737,1,3,1,0,2,1,7
21400301,0,0,4,3,0,0,817,1610612754,1610612737,1,1,0,0,4,3,6
21400319,2,0,9,2,2,1,1255,1610612755,1610612737,0,3,4,0,0,1,5
21400330,1,0,7,1,4,3,1113,1610612753,1610612737,0,5,2,0,2,1,5
21400343,3,0,13,4,2,2,1090,1610612753,1610612737,1,3,0,0,3,2,10
21400358,1,0,6,2,0,0,799,1610612741,1610612737,0,2,0,0,0,1,4
21400370,1,0,6,4,2,2,1326,1610612739,1610612737,0,10,0,0,1,1,10
21400396,1,0,9,3,2,2,1826,1610612745,1610612737,0,6,0,0,4,4,8
21400413,1,0,15,9,8,4,1884,1610612742,1610612737,1,6,1,0,5,4,22
21400420,0,0,8,2,2,1,1431,1610612746,1610612737,0,4,1,0,4,3,5
21400434,3,0,9,1,2,1,1168,1610612749,1610612737,0,2,0,0,3,4,3
21400449,1,0,3,0,0,0,388,1610612749,1610612737,1,0,0,0,1,0,0
21400466,0,0,7,5,1,1,920,1610612739,1610612737,0,4,1,0,4,1,11
21400492,0,0,2,0,0,0,739,1610612762,1610612737,1,2,0,0,1,2,0
21400501,0,0,5,2,1,1,764,1610612757,1610612737,0,2,1,0,2,0,5
21400519,3,1,9,3,0,0,934,1610612746,1610612737,1,2,2,0,1,3,7
21400526,1,0,4,1,4,2,825,1610612763,1610612737,1,2,3,0,3,1,4
21400540,1,0,5,3,2,2,796,1610612765,1610612737,0,2,0,0,1,3,8
21400558,3,2,14,4,0,0,1215,1610612764,1610612737,0,4,1,0,2,2,10
21400568,3,2,10,5,2,1,1516,1610612755,1610612737,0,6,1,0,4,2,13
21400580,2,0,6,2,0,0,985,1610612738,1610612737,0,2,0,0,1,0,4
21400592,0,0,6,4,1,1,1099,1610612761,1610612737,0,4,0,0,1,0,9
21400613,0,0,5,1,2,2,1068,1610612765,1610612737,0,6,0,0,0,1,4
21400628,1,1,4,2,0,0,937,1610612754,1610612737,0,4,0,1,1,2,5
21400642,5,1,11,4,4,4,1073,1610612760,1610612737,0,5,0,0,1,1,13
21400661,1,0,9,5,1,1,984,1610612750,1610612737,0,4,0,0,0,1,11
21400683,1,1,8,5,2,2,1051,1610612751,1610612737,0,2,0,0,2,1,13
21400697,0,0,8,3,0,0,1456,1610612757,1610612737,0,7,2,0,3,3,6
21400708,3,2,11,6,2,1,1666,1610612755,1610612737,1,6,1,0,3,3,15
21400722,2,0,13,4,2,2,1127,1610612740,1610612737,1,5,0,0,0,0,10
21400732,0,0,8,4,3,2,1103,1610612764,1610612737,0,4,0,0,1,3,10
21400749,1,1,9,4,0,0,1054,1610612744,1610612737,0,7,1,0,1,2,9
21400767,3,2,9,4,1,1,885,1610612763,1610612737,0,3,0,0,1,1,11
21400779,1,0,8,3,2,2,1189,1610612750,1610612737,0,2,1,0,1,3,8
21400789,1,0,6,3,2,2,1045,1610612738,1610612737,0,2,0,0,3,1,8
21400805,3,2,6,3,0,0,1314,1610612761,1610612737,1,4,0,0,3,1,8
21400822,4,1,10,3,5,5,1580,1610612749,1610612737,0,9,0,0,6,1,12
21400843,5,3,15,7,0,0,1266,1610612742,1610612737,0,4,0,0,1,3,17
21400858,2,1,8,1,0,0,827,1610612753,1610612737,0,3,0,0,4,2,3
21400871,1,1,14,5,6,5,2121,1610612748,1610612737,2,10,2,0,5,0,16
21400915,1,1,12,5,4,4,1453,1610612739,1610612737,1,8,0,0,1,4,15
21400927,3,1,13,6,4,3,1852,1610612755,1610612737,1,6,0,1,5,4,16
21400939,3,2,9,4,2,2,1111,1610612758,1610612737,2,8,2,0,2,2,12
21400958,1,0,10,4,6,5,1154,1610612743,1610612737,0,1,0,1,2,2,13
21400974,2,0,10,4,4,3,1406,1610612756,1610612737,0,6,2,0,3,1,11
21400989,5,1,16,7,11,9,2251,1610612747,1610612737,1,10,1,0,3,2,24
21400998,2,0,12,3,5,4,1363,1610612758,1610612737,0,6,0,0,1,1,10
21401026,5,3,14,7,4,4,1911,1610612760,1610612737,0,4,0,0,2,1,21
21401039,4,2,13,8,0,0,1412,1610612759,1610612737,1,5,1,1,2,1,18
21401062,6,2,13,4,2,1,1211,1610612753,1610612737,2,3,0,0,3,2,11
21401077,2,0,10,3,6,6,1954,1610612748,1610612737,0,11,1,0,2,3,12
21401087,3,3,12,5,4,4,1506,1610612766,1610612737,2,11,0,0,2,2,17
21401103,1,0,2,0,4,4,346,1610612749,1610612737,0,1,0,0,0,0,4
21401163,4,1,9,4,0,0,966,1610612751,1610612737,0,3,0,0,1,3,9
21401176,2,2,10,6,0,0,1155,1610612766,1610612737,0,5,0,0,3,1,14
21401217,3,2,13,9,1,1,1001,1610612741,1610612737,0,0,0,0,2,1,21
41400101,3,1,9,5,2,2,1461,1610612751,1610612737,0,2,1,0,4,2,13
41400102,2,1,11,5,1,1,1142,1610612751,1610612737,0,6,2,0,1,2,12
41400103,2,0,9,1,2,1,1383,1610612751,1610612737,0,2,0,0,2,0,3
41400104,1,0,9,4,2,2,848,1610612751,1610612737,0,3,0,0,4,1,10
41400106,3,0,13,6,0,0,1253,1610612751,1610612737,0,4,0,0,2,0,12
41400201,2,1,7,4,0,0,849,1610612764,1610612737,1,4,0,0,1,1,9
41400202,0,0,4,2,6,5,897,1610612764,1610612737,0,4,0,0,0,2,9
41400203,3,1,12,6,5,5,1170,1610612764,1610612737,0,5,1,0,0,4,18
41400204,3,2,13,5,4,2,1755,1610612764,1610612737,2,8,0,0,2,1,14
41400205,3,0,12,3,0,0,1482,1610612764,1610612737,1,7,1,0,4,2,6
41400206,3,1,12,3,2,2,1337,1610612764,1610612737,0,4,3,0,1,4,9
41400301,3,0,10,2,2,2,1112,1610612739,1610612737,1,4,1,0,1,2,6
41400302,3,1,11,6,0,0,737,1610612739,1610612737,0,1,0,0,1,0,13
21500001,5,2,14,8,2,2,1522,1610612765,1610612737,1,4,2,0,1,1,20
21500019,3,1,11,6,0,0,1095,1610612752,1610612737,0,2,0,0,1,0,13
21500026,3,0,15,6,2,2,1981,1610612766,1610612737,0,2,2,0,2,2,14
21500039,2,0,9,3,0,0,1271,1610612766,1610612737,1,3,1,0,1,2,6
21500055,0,0,6,1,2,2,961,1610612748,1610612737,0,3,1,0,4,1,4
21500062,6,3,15,7,4,3,1694,1610612751,1610612737,1,4,1,0,4,2,20
21500081,4,3,8,6,0,0,1115,1610612740,1610612737,0,5,0,0,1,0,15
21500086,4,0,10,3,0,0,1435,1610612764,1610612737,0,7,2,0,3,3,6
21500117,4,2,11,5,0,0,1332,1610612740,1610612737,0,4,1,0,3,1,12
21500129,3,0,10,3,5,4,1420,1610612738,1610612737,0,7,0,0,2,1,10
21500148,2,1,10,3,6,4,2008,1610612762,1610612737,1,9,0,0,0,4,11
21500159,4,1,11,3,2,1,1756,1610612751,1610612737,0,10,0,0,3,3,8
21500169,9,3,21,9,2,1,1948,1610612758,1610612737,0,6,0,0,1,3,22
21500191,3,1,8,3,0,0,970,1610612739,1610612737,1,2,2,0,2,3,7
21500210,2,0,7,1,4,4,1166,1610612738,1610612737,0,4,0,0,5,0,6
21500222,1,0,8,1,0,0,868,1610612750,1610612737,2,2,2,0,1,0,2
21500233,5,1,8,1,4,4,1127,1610612763,1610612737,0,4,1,0,1,2,7
21500242,2,0,7,4,1,1,1034,1610612759,1610612737,1,6,3,0,1,0,9
